layer	consum_money	enter_prop	convey_prop	exp	bonus	instance_id	week_bonus	monsters	loop_prop
88	0	[]	[]	5838400	[]	50055001	[]	[6000633,6000634,6000635,6000636]	[24000035,14000035]
87	0	[]	[]	5718600	[]	50045005	[]	[6000630,6000631,6000632]	[24000035,14000035]
86	0	[]	[]	5600800	[]	50035004	[]	[6000624,6000625,6000626,6000627,6000628,6000629]	[24000035,14000035]
85	0	[]	[]	5485000	[]	50025003	[]	[6000618,6000619,6000620,6000621,6000622,6000623]	[24000035,14000035]
84	0	[]	[]	5371200	[]	50015002	[]	[6000613,6000614,6000615,6000616,6000617]	[24000035,14000035]
83	0	[]	[]	5259400	[]	50055001	[]	[6000608,6000609,6000610,6000611,6000612]	[24000035,14000035]
82	0	[]	[]	5149600	[]	50045005	[]	[6000604,6000605,6000606,6000607]	[24000035,14000035]
81	0	[]	[{24000034,8},{14000034,8}]	5041800	[]	50035004	[]	[6000601,6000602,6000603]	[24000035,14000035]
80	0	[]	[]	4936000	[]	50025003	[]	[6000571,6000572,6000573,6000574,6000575,6000576,6000577,6000578,6000579,6000580,6000581,6000582,6000583,6000584,6000585,6000586,6000587,6000588,6000589,6000590,6000591,6000592,6000593,6000594,6000595,6000596,6000597,6000598,6000599,6000600]	[24000035,14000035]
79	0	[]	[]	4832200	[]	50015002	[]	[6000562,6000563,6000564,6000565,6000566,6000567,6000568,6000569,6000570]	[24000035,14000035]
78	0	[]	[]	4730200	[]	50055001	[]	[6000558,6000559,6000560,6000561]	[24000035,14000035]
77	0	[]	[]	4630000	[]	50045005	[]	[6000555,6000556,6000557]	[24000035,14000035]
76	0	[]	[]	4531600	[]	50035004	[]	[6000549,6000550,6000551,6000552,6000553,6000554]	[24000035,14000035]
75	0	[]	[]	4435000	[]	50025003	[]	[6000543,6000544,6000545,6000546,6000547,6000548]	[24000035,14000035]
74	0	[]	[]	4340200	[]	50015002	[]	[6000538,6000539,6000540,6000541,6000542]	[24000035,14000035]
73	0	[]	[]	4247200	[]	50055001	[]	[6000533,6000534,6000535,6000536,6000537]	[24000035,14000035]
72	0	[]	[]	4156000	[]	50045005	[]	[6000529,6000530,6000531,6000532]	[24000035,14000035]
71	0	[]	[{24000034,7},{14000034,7}]	4066600	[]	50035004	[]	[6000526,6000527,6000528]	[24000035,14000035]
70	0	[]	[]	3979000	[]	50025003	[]	[6000496,6000497,6000498,6000499,6000500,6000501,6000502,6000503,6000504,6000505,6000506,6000507,6000508,6000509,6000510,6000511,6000512,6000513,6000514,6000515,6000516,6000517,6000518,6000519,6000520,6000521,6000522,6000523,6000524,6000525]	[24000035,14000035]
69	0	[]	[]	3893200	[]	50015002	[]	[6000487,6000488,6000489,6000490,6000491,6000492,6000493,6000494,6000495]	[24000035,14000035]
68	0	[]	[]	3808900	[]	50055001	[]	[6000483,6000484,6000485,6000486]	[24000035,14000035]
67	0	[]	[]	3726100	[]	50045005	[]	[6000480,6000481,6000482]	[24000035,14000035]
66	0	[]	[]	3644800	[]	50035004	[]	[6000474,6000475,6000476,6000477,6000478,6000479]	[24000035,14000035]
65	0	[]	[]	3565000	[]	50025003	[]	[6000468,6000469,6000470,6000471,6000472,6000473]	[24000035,14000035]
64	0	[]	[]	3486700	[]	50015002	[]	[6000463,6000464,6000465,6000466,6000467]	[24000035,14000035]
63	0	[]	[]	3409900	[]	50055001	[]	[6000458,6000459,6000460,6000461,6000462]	[24000035,14000035]
62	0	[]	[]	3334600	[]	50045005	[]	[6000454,6000455,6000456,6000457]	[24000035,14000035]
61	0	[]	[{24000034,6},{14000034,6}]	3260800	[]	50035004	[]	[6000451,6000452,6000453]	[24000035,14000035]
60	0	[]	[]	3188500	[]	50025003	[]	[6000421,6000422,6000423,6000424,6000425,6000426,6000427,6000428,6000429,6000430,6000431,6000432,6000433,6000434,6000435,6000436,6000437,6000438,6000439,6000440,6000441,6000442,6000443,6000444,6000445,6000446,6000447,6000448,6000449,6000450]	[24000035,14000035]
59	0	[]	[]	3117700	[]	50015002	[]	[6000412,6000413,6000414,6000415,6000416,6000417,6000418,6000419,6000420]	[24000035,14000035]
58	0	[]	[]	3047200	[]	50055001	[]	[6000408,6000409,6000410,6000411]	[24000035,14000035]
57	0	[]	[]	2977000	[]	50045005	[]	[6000405,6000406,6000407]	[24000035,14000035]
56	0	[]	[]	2907100	[]	50035004	[]	[6000399,6000400,6000401,6000402,6000403,6000404]	[24000035,14000035]
55	0	[]	[]	2837500	[]	50025003	[]	[6000393,6000394,6000395,6000396,6000397,6000398]	[24000035,14000035]
54	0	[]	[]	2768200	[]	50015002	[]	[6000388,6000389,6000390,6000391,6000392]	[24000035,14000035]
53	0	[]	[]	2699200	[]	50055001	[]	[6000383,6000384,6000385,6000386,6000387]	[24000035,14000035]
52	0	[]	[]	2630500	[]	50045005	[]	[6000379,6000380,6000381,6000382]	[24000035,14000035]
51	0	[]	[{24000034,5},{14000034,5}]	2562100	[]	50035004	[]	[6000376,6000377,6000378]	[24000035,14000035]
50	0	[]	[]	2494000	[]	50025003	[]	[6000346,6000347,6000348,6000349,6000350,6000351,6000352,6000353,6000354,6000355,6000356,6000357,6000358,6000359,6000360,6000361,6000362,6000363,6000364,6000365,6000366,6000367,6000368,6000369,6000370,6000371,6000372,6000373,6000374,6000375]	[24000035,14000035]
49	0	[]	[]	2426200	[]	50015002	[]	[6000337,6000338,6000339,6000340,6000341,6000342,6000343,6000344,6000345]	[24000035,14000035]
48	0	[]	[]	2359400	[]	50055001	[]	[6000333,6000334,6000335,6000336]	[24000035,14000035]
47	0	[]	[]	2293600	[]	50045005	[]	[6000330,6000331,6000332]	[24000035,14000035]
46	0	[]	[]	2228800	[]	50035004	[]	[6000324,6000325,6000326,6000327,6000328,6000329]	[24000035,14000035]
45	0	[]	[]	2165000	[]	50025003	[]	[6000318,6000319,6000320,6000321,6000322,6000323]	[24000035,14000035]
44	0	[]	[]	2102200	[]	50015002	[]	[6000313,6000314,6000315,6000316,6000317]	[24000035,14000035]
43	0	[]	[]	2040400	[]	50055001	[]	[6000308,6000309,6000310,6000311,6000312]	[24000035,14000035]
42	0	[]	[]	1979600	[]	50045005	[]	[6000304,6000305,6000306,6000307]	[24000035,14000035]
41	0	[]	[{24000034,4},{14000034,4}]	1919800	[]	50035004	[]	[6000301,6000302,6000303]	[24000035,14000035]
40	0	[]	[]	1861000	[]	50025003	[]	[6000271,6000272,6000273,6000274,6000275,6000276,6000277,6000278,6000279,6000280,6000281,6000282,6000283,6000284,6000285,6000286,6000287,6000288,6000289,6000290,6000291,6000292,6000293,6000294,6000295,6000296,6000297,6000298,6000299,6000300]	[24000035,14000035]
39	0	[]	[]	1803200	[]	50015002	[]	[6000262,6000263,6000264,6000265,6000266,6000267,6000268,6000269,6000270]	[24000035,14000035]
38	0	[]	[]	1746200	[]	50055001	[]	[6000258,6000259,6000260,6000261]	[24000035,14000035]
37	0	[]	[]	1690000	[]	50045005	[]	[6000255,6000256,6000257]	[24000035,14000035]
36	0	[]	[]	1634600	[]	50035004	[]	[6000249,6000250,6000251,6000252,6000253,6000254]	[24000035,14000035]
35	0	[]	[]	1580000	[]	50025003	[]	[6000243,6000244,6000245,6000246,6000247,6000248]	[24000035,14000035]
34	0	[]	[]	1526200	[]	50015002	[]	[6000238,6000239,6000240,6000241,6000242]	[24000035,14000035]
33	0	[]	[]	1473200	[]	50055001	[]	[6000233,6000234,6000235,6000236,6000237]	[24000035,14000035]
32	0	[]	[]	1421000	[]	50045005	[]	[6000229,6000230,6000231,6000232]	[24000035,14000035]
31	0	[]	[{24000034,3},{14000034,3}]	1369600	[]	50035004	[]	[6000226,6000227,6000228]	[24000035,14000035]
30	0	[]	[]	1319000	[]	50025003	[]	[6000196,6000197,6000198,6000199,6000200,6000201,6000202,6000203,6000204,6000205,6000206,6000207,6000208,6000209,6000210,6000211,6000212,6000213,6000214,6000215,6000216,6000217,6000218,6000219,6000220,6000221,6000222,6000223,6000224,6000225]	[24000035,14000035]
29	0	[]	[]	1269200	[]	50015002	[]	[6000187,6000188,6000189,6000190,6000191,6000192,6000193,6000194,6000195]	[24000035,14000035]
28	0	[]	[]	1219900	[]	50055001	[]	[6000183,6000184,6000185,6000186]	[24000035,14000035]
27	0	[]	[]	1171100	[]	50045005	[]	[6000180,6000181,6000182]	[24000035,14000035]
26	0	[]	[]	1122800	[]	50035004	[]	[6000174,6000175,6000176,6000177,6000178,6000179]	[24000035,14000035]
25	0	[]	[]	1075000	[]	50025003	[]	[6000168,6000169,6000170,6000171,6000172,6000173]	[24000035,14000035]
24	0	[]	[]	1027700	[]	50015002	[]	[6000163,6000164,6000165,6000166,6000167]	[24000035,14000035]
23	0	[]	[]	980900	[]	50055001	[]	[6000158,6000159,6000160,6000161,6000162]	[24000035,14000035]
22	0	[]	[]	934600	[]	50045005	[]	[6000154,6000155,6000156,6000157]	[24000035,14000035]
21	0	[]	[{24000034,2},{14000034,2}]	888800	[]	50035004	[]	[6000151,6000152,6000153]	[24000035,14000035]
20	0	[]	[]	843500	[]	50025003	[]	[6000121,6000122,6000123,6000124,6000125,6000126,6000127,6000128,6000129,6000130,6000131,6000132,6000133,6000134,6000135,6000136,6000137,6000138,6000139,6000140,6000141,6000142,6000143,6000144,6000145,6000146,6000147,6000148,6000149,6000150]	[24000035,14000035]
19	0	[]	[]	798700	[]	50015002	[]	[6000112,6000113,6000114,6000115,6000116,6000117,6000118,6000119,6000120]	[24000035,14000035]
18	0	[]	[]	754200	[]	50055001	[]	[6000108,6000109,6000110,6000111]	[24000035,14000035]
17	0	[]	[]	710000	[]	50045005	[]	[6000105,6000106,6000107]	[24000035,14000035]
16	0	[]	[]	666100	[]	50035004	[]	[6000099,6000100,6000101,6000102,6000103,6000104]	[24000035,14000035]
15	0	[]	[]	622500	[]	50025003	[]	[6000093,6000094,6000095,6000096,6000097,6000098]	[24000035,14000035]
14	0	[]	[]	579200	[]	50015002	[]	[6000088,6000089,6000090,6000091,6000092]	[24000035,14000035]
13	0	[]	[]	536200	[]	50055001	[]	[6000083,6000084,6000085,6000086,6000087]	[24000035,14000035]
12	0	[]	[]	493500	[]	50045005	[]	[6000079,6000080,6000081,6000082]	[24000035,14000035]
11	0	[]	[{24000034,1},{14000034,1}]	451100	[]	50035004	[]	[6000076,6000077,6000078]	[24000035,14000035]
10	0	[]	[]	409000	[]	50025003	[]	[6000046,6000047,6000048,6000049,6000050,6000051,6000052,6000053,6000054,6000055,6000056,6000057,6000058,6000059,6000060,6000061,6000062,6000063,6000064,6000065,6000066,6000067,6000068,6000069,6000070,6000071,6000072,6000073,6000074,6000075]	[24000035,14000035]
9	0	[]	[]	367200	[]	50015002	[]	[6000037,6000038,6000039,6000040,6000041,6000042,6000043,6000044,6000045]	[24000035,14000035]
8	0	[]	[]	325600	[]	50055001	[]	[6000033,6000034,6000035,6000036]	[24000035,14000035]
7	0	[]	[]	284200	[]	50045005	[]	[6000030,6000031,6000032]	[24000035,14000035]
6	0	[]	[]	243000	[]	50035004	[]	[6000024,6000025,6000026,6000027,6000028,6000029]	[24000035,14000035]
5	0	[]	[]	202000	[]	50025003	[]	[6000018,6000019,6000020,6000021,6000022,6000023]	[24000035,14000035]
4	0	[]	[]	161200	[]	50015002	[]	[6000013,6000014,6000015,6000016,6000017]	[24000035,14000035]
3	0	[]	[]	120600	[]	50055001	[]	[6000008,6000009,6000010,6000011,6000012]	[24000035,14000035]
2	0	[]	[]	80200	[]	50045005	[]	[6000004,6000005,6000006,6000007]	[24000035,14000035]
1	0	[]	[]	40000	[]	50035004	[]	[6000001,6000002,6000003]	[24000035,14000035]
