entry	name	class	displayed	equipmentset	level	qualty	requiredlevel	stackable	maxdurability	inventorytype	sockettype	allowableclass	useable	sellprice	damage	defense	states	spellid	spellcategory	spellcooldown	bonding	maxsoket	scriptname	questid	baserepaired	overdue_type	overdue_args	overdue_transform	enchant_ext
10013140	长相守抽奖券大礼包	90	1003661	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10013201	大厅登录礼包	0	2407083	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10014001	40级礼包	43	2400028	0	40	3	{40,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312,11313]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10015001	50级礼包	43	2400028	0	50	3	{50,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11401,11402,11403,11404,11405,11406,11407,11408,11409,11410,11411]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10016001	60级礼包	43	2400028	0	60	3	{60,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11501,11502,11503,11504,11505,11506,11507,11508,11509,11510]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10021001	白色活跃礼盒	0	2401084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[10501]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10022001	绿色活跃礼盒	0	2402084	0	1	1	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[10601,10602]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10023001	蓝色活跃礼盒	0	2403084	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[10701,10702,10703,10704]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10024001	紫色活跃礼盒	0	2404084	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[10801,10802,10803,10804,10805,10806,10807]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10025001	金色活跃礼盒	0	2405084	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[10901,10902,10903,10904,10905,10906,10907,10908,12134]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10027261	蓝钻仙宠礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10031001	新手卡礼包	0	2400026	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11601,11602,11603,11604,11605,11606,11607,11608]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10032001	首充礼包	0	1003201	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12301,12302,12303,12304,12305,12306,12307,12308,12309,12310,12311]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10033001	至尊VIP礼包	0	2400026	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11901,11902,11903,11904,11905,11906,11907]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10034001	长老馈赠礼包	0	2400026	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12001,12002,12003]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10035001	升级大礼包	0	2405084	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11601,11602,11603,11604,11605,11606,11607,11608]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036101	200元宝礼包	0	1003611	0	1	4	{1,101}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12401,12402,12403,12404,12405,12406]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036201	600元宝礼包	0	1003621	0	1	4	{1,102}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12501,12502,12503,12504,12505,12506,12507,12508,12509]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036301	4000元宝礼包	0	1003631	0	1	4	{1,103}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12601,12602,12603,12604,12605,12606,12607,12608,12609]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036401	8000元宝礼包	0	1003641	0	1	4	{1,104}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12701,12702,12703,12704,12705,12706,12707,12708,12709]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036501	20000元宝礼包	0	1003651	0	1	4	{1,105}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12801,12802,12803,12804,12805,12806,12807,12808,12809]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036601	40000元宝礼包	0	1003661	0	1	4	{1,106}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12901,12902,12903,12904,12905,12906,12907,12908,12909]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10036701	50000元宝礼包	0	1003671	0	1	4	{1,107}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[13001,13002,13003,13004,13005,13006,13007,13008,13009]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040101	晶石冠军礼盒	0	2405084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12101,12102,12103,12171]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040201	晶石亚军礼盒	0	2404084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12104,12105,12106,12172]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040301	晶石季军礼盒	0	2403084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12107,12108,12109,12173]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040401	晶石殿军礼盒	0	2402084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12110,12111,12112,12174]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040501	晶石参与礼盒	0	2401084	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12113,12114,12115,12175]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040601	夺旗优胜礼盒	0	2407083	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12116,12117,12118,12119,12176]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040701	夺旗参与礼盒	0	2403083	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12120,12121,12122,12123]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040801	群雄王者礼包	0	1400219	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12124,12125,12126,12127,12128]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10040901	群雄参与礼包	0	1400221	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12129,12130,12131,12132,12133]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10041001	斗战优胜礼包	0	1400219	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12135,12136,12137,12138]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10041101	斗战参与礼包	0	1400221	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12139,12140,12141,12142]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10041201	斗圣遗宝	0	2405084	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10041202	斗尊遗宝	0	2404084	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10041203	斗宗遗宝	0	2403084	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10041204	斗者遗宝	0	2402084	0	1	1	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10051001	一重回馈礼包	43	1400219	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12143,12144,12145,12146]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10052001	二重回馈礼包	43	1400219	0	30	3	{30,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12148,12149,12150,12151]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10053001	三重回馈礼包	43	1400219	0	40	3	{40,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12153,12154,12155]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10054001	四重回馈礼包	43	1400219	0	45	3	{45,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12157,12158,12159]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10055001	内测回馈礼包（一）	43	1400219	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12160,12161]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10056001	内测回馈礼包（二）	43	1400219	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[12162,12163,12164,12165]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057000	封印装备大礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[14001]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057001	1级仙宠书礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057011	2级仙宠书礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057021	首充礼包（1-59）	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057031	首充礼包（60-99）	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057041	欢乐大礼包（40级）	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057051	充值大礼包（1-59）	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057061	充值大礼包（60-99）	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057071	仙宠四源宝盒	43	2400030	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057081	幸运礼包	43	2400134	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057091	仙宠大礼包	43	1400024	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057100	莲花折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057101	莲花折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057110	仙宠折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057111	仙宠折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057120	升星折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057121	升星折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057130	药品折扣袋	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057131	药品折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057140	宝石折扣礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057141	宝石折扣袋	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057150	升星大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057151	升星大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057161	七夕礼包	0	1005715	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057171	黄钻特权礼包	0	1005717	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057180	一级成就礼盒	0	1103611	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21501,21502]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057181	一级成就礼盒	0	1103611	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21501,21502]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057190	二级成就礼盒	0	1103621	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21503,21504,21505]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057191	二级成就礼盒	0	1103621	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21503,21504,21505]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057200	三级成就礼盒	0	1103631	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21506,21507,21508,21509]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057201	三级成就礼盒	0	1103631	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21506,21507,21508,21509]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057210	四级成就礼盒	0	1103641	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21510,21511,21512,21513]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057211	四级成就礼盒	0	1103641	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21510,21511,21512,21513]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057220	五级成就礼盒	0	1103651	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21514,21515,21516,21517]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057221	五级成就礼盒	0	1103651	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21514,21515,21516,21517]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057230	六级成就礼盒	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21518,21519,21520,21521]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10057231	六级成就礼盒	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21518,21519,21520,21521]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10057241	大厅专属礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057251	蓝钻仙宠礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057271	黄钻仙宠礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057281	黄钻仙宠礼包	43	1400222	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057290	7星大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057291	7星大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057301	黄钻皇家礼包	0	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057311	老玩家回归礼包	0	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057321	国庆回馈礼包	0	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057331	国庆青铜礼包	0	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057341	国庆黄金礼包	0	2400037	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057351	黄钻续费一重礼包	43	1003611	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057361	黄钻续费二重礼包	43	1003621	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057371	黄钻续费三重礼包	43	1003631	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057381	黄钻续费四重礼包	43	1003641	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057391	黄钻续费五重礼包	43	1003651	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057401	Q+会员礼包	43	2400037	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057411	Q+年费礼包	43	2400037	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057420	开服优惠大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057421	开服优惠大礼包	0	1409303	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057430	器灵礼包	0	1005743	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057431	器灵礼包	0	1005743	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057440	仙宠优惠礼包	0	1005744	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057441	仙宠优惠礼包	0	1005744	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057450	炼神优惠礼包	0	1005745	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057451	炼神优惠礼包	0	1005745	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057460	占星优惠礼包	0	1005746	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057461	占星优惠礼包	0	1005746	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057510	凡品宝箱	0	10057510	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057510	凡品宝箱	0	10057510	0	1	1	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057511	凡品宝箱	0	10057510	0	1	0	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057511	凡品宝箱	0	10057510	0	1	1	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057520	中品宝箱	0	10057520	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057520	中品宝箱	0	10057520	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057521	中品宝箱	0	10057520	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057521	中品宝箱	0	10057520	0	1	2	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057530	上品宝箱	0	10057530	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057530	上品宝箱	0	10057530	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10057531	上品宝箱	0	10057530	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10057531	上品宝箱	0	10057530	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10058010	伏魔域霸主礼包	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21522,21523,21524,21525,21526]	0	0	0	0	0	loot_rules_gift	0	0	0	[]	[]	[]
10058011	伏魔域霸主礼包	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[21522,21523,21524,21525,21526]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10059010	无尘境霸主礼包	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10059011	无尘境霸主礼包	0	1103661	0	1	3	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
