npcid	quest_action
2030001	{[100300001,101000017,100300023,100300024,100300027,100300028,100300036,100300037,100300042,100300012,100300013,100300014,100300046,100300047,100500019,100300052,100300058,100300060,100300061,100300063,100300065,100300066,100300067,110050001,110050002,110050003,110050004,110050005,110050006,110050007,110050008,110050009,110050010,110051001,110051002,110051003,110051004,110051005,110051006,110051007,110051008,110051009,110051010,110052001,110052002,110052003,110052004,110052005,110052006,110052007,110052008,110052009,110052010,110053001,110053002,110053003,110053004,110053005,110053006,110053007,110053008,110053009,110053010,110054001,110054002,110054003,110054004,110054005,110054006,110054007,110054008,110054009,110054010],[100200007,101000016,100300022,100300023,100500018,100300027,100300035,100300036,100300041,100300045,100300012,100300013,100300014,100300046,100300051,100500030,100300057,100700007,100700015,100700021,100700029,100300065,100300066,110050001,110050002,110050003,110050004,110050005,110050006,110050007,110050008,110050009,110050010,110051001,110051002,110051003,110051004,110051005,110051006,110051007,110051008,110051009,110051010,110052001,110052002,110052003,110052004,110052005,110052006,110052007,110052008,110052009,110052010,110053001,110053002,110053003,110053004,110053005,110053006,110053007,110053008,110053009,110053010,110054001,110054002,110054003,110054004,110054005,110054006,110054007,110054008,110054009,110054010]}
2020004	{[100200006,100200007],[100200005,100200006]}
2020003	{[100200005],[100200004]}
2020002	{[100200004],[100200001,100200002,100200003]}
2020001	{[100200001,100200002,100200003],[100100016]}
2010009	{[100100016],[100100015]}
2010008	{[100100015],[100100014]}
2010007	{[100100014],[100100011,100100012,100100013]}
2010006	{[100100011,100100012,100100013],[100100010]}
2010005	{[100100010],[100100009]}
2010004	{[100100006,100100007,100100008,100100009],[100100005,100100006,100100007,100100008]}
2010003	{[100100005],[100100002,100100003,100100004]}
2010002	{[100100002,100100003,100100004],[100100001]}
2010001	{[10001,100100001],[10001]}
