id	itemid	showindex	guild_contribution	base_price	discount	minlevel	limitnum	itemtype
15000012	14000047	12	4	{2,8}	{2,6}	1	20	3
15000013	14200025	13	4	{2,38}	{2,27}	1	2	2
16000001	14000001	1	1	{2,8}	{2,6}	1	35	1
16000002	14000004	2	1	{2,8}	{2,6}	1	35	1
16000003	14000017	3	1	{2,9}	{2,7}	1	30	4
16000004	14000022	4	1	{2,48}	{2,36}	1	4	4
16000005	14000018	5	2	{2,28}	{2,25}	1	4	4
16000006	14100025	6	2	{2,18}	{2,13}	1	4	2
16000007	14000020	7	2	{2,18}	{2,13}	1	12	4
16000008	14000007	8	2	{2,4}	{2,3}	1	12	1
16000009	14000005	9	3	{2,18}	{2,15}	1	25	1
16000010	14000002	10	3	{2,18}	{2,13}	1	25	1
16000011	14000046	11	4	{2,8}	{2,6}	1	20	3
16000012	14000047	12	4	{2,8}	{2,6}	1	20	3
16000013	14200025	13	4	{2,38}	{2,27}	1	2	2
16000014	14000049	14	5	{2,8}	{2,6}	1	20	3
16000015	14000050	15	5	{2,12}	{2,9}	1	20	3
16000016	14000008	16	5	{2,8}	{2,6}	1	10	1
17000001	14000001	1	1	{2,8}	{2,6}	1	35	1
17000002	14000004	2	1	{2,8}	{2,6}	1	35	1
17000003	14000017	3	1	{2,9}	{2,7}	1	35	4
17000004	14000022	4	1	{2,48}	{2,36}	1	5	4
17000005	14000018	5	2	{2,28}	{2,25}	1	4	4
17000006	14100025	6	2	{2,18}	{2,13}	1	4	2
17000007	14000020	7	2	{2,18}	{2,13}	1	14	4
17000008	14000007	8	2	{2,4}	{2,3}	1	14	1
17000009	14000005	9	3	{2,18}	{2,15}	1	25	1
17000010	14000002	10	3	{2,18}	{2,13}	1	25	1
17000011	14000046	11	4	{2,8}	{2,6}	1	25	3
17000012	14000047	12	4	{2,8}	{2,6}	1	25	3
17000013	14200025	13	4	{2,38}	{2,27}	1	3	2
17000014	14000049	14	5	{2,8}	{2,6}	1	20	3
17000015	14000050	15	5	{2,12}	{2,9}	1	20	3
17000016	14000008	16	5	{2,8}	{2,6}	1	10	1
17000017	14000006	17	5	{2,28}	{2,25}	1	20	1
17000018	14000003	18	5	{2,28}	{2,20}	1	20	1
17000019	14300025	19	5	{2,58}	{2,42}	1	2	2
18000001	14000001	1	1	{2,8}	{2,6}	1	40	1
18000002	14000004	2	1	{2,8}	{2,6}	1	40	1
18000003	14000017	3	1	{2,9}	{2,7}	1	35	4
18000004	14000022	4	1	{2,48}	{2,36}	1	5	4
18000005	14000018	5	2	{2,28}	{2,25}	1	5	4
18000006	14100025	6	2	{2,18}	{2,13}	1	5	2
18000007	14000020	7	2	{2,18}	{2,13}	1	14	4
18000008	14000007	8	2	{2,4}	{2,3}	1	14	1
18000009	14000005	9	3	{2,18}	{2,15}	1	30	1
18000010	14000002	10	3	{2,18}	{2,13}	1	30	1
18000011	14000046	11	4	{2,8}	{2,6}	1	25	3
18000012	14000047	12	4	{2,8}	{2,6}	1	25	3
18000013	14200025	13	4	{2,38}	{2,27}	1	3	2
18000014	14000049	14	5	{2,8}	{2,6}	1	25	3
18000015	14000050	15	5	{2,12}	{2,9}	1	25	3
18000016	14000008	16	5	{2,8}	{2,6}	1	12	1
18000017	14000006	17	5	{2,28}	{2,25}	1	20	1
18000018	14000003	18	5	{2,28}	{2,20}	1	20	1
18000019	14300025	19	5	{2,58}	{2,42}	1	2	2
18000020	14100003	20	6	{2,38}	{2,27}	1	20	1
18000021	14100006	21	6	{2,48}	{2,42}	1	20	1
18000022	14000016	22	6	{2,18}	{2,14}	1	2	1
19000001	14000001	1	1	{2,8}	{2,6}	1	40	1
19000002	14000004	2	1	{2,8}	{2,6}	1	40	1
19000003	14000017	3	1	{2,9}	{2,7}	1	40	4
19000004	14000022	4	1	{2,48}	{2,36}	1	6	4
19000005	14000018	5	2	{2,28}	{2,25}	1	5	4
19000006	14100025	6	2	{2,18}	{2,13}	1	5	2
19000007	14000020	7	2	{2,18}	{2,13}	1	16	4
19000008	14000007	8	2	{2,4}	{2,3}	1	16	1
19000009	14000005	9	3	{2,18}	{2,15}	1	30	1
19000010	14000002	10	3	{2,18}	{2,13}	1	30	1
19000011	14000046	11	4	{2,8}	{2,6}	1	30	3
19000012	14000047	12	4	{2,8}	{2,6}	1	30	3
19000013	14200025	13	4	{2,38}	{2,27}	1	4	2
19000014	14000049	14	5	{2,8}	{2,6}	1	25	3
19000015	14000050	15	5	{2,12}	{2,9}	1	25	3
19000016	14000008	16	5	{2,8}	{2,6}	1	12	1
19000017	14000006	17	5	{2,28}	{2,25}	1	25	1
19000018	14000003	18	5	{2,28}	{2,20}	1	25	1
19000019	14300025	19	5	{2,58}	{2,42}	1	3	2
19000020	14100003	20	6	{2,38}	{2,27}	1	20	1
19000021	14100006	21	6	{2,48}	{2,42}	1	20	1
19000022	14000016	22	6	{2,18}	{2,14}	1	2	1
19000023	14400025	23	6	{2,88}	{2,63}	1	2	2
19000024	14100058	24	6	{2,18}	{2,13}	1	20	4
19000025	14100009	25	6	{2,38}	{2,27}	1	10	1
20000001	14000001	1	1	{2,8}	{2,6}	1	45	1
20000002	14000004	2	1	{2,8}	{2,6}	1	45	1
20000003	14000017	3	1	{2,9}	{2,7}	1	40	4
20000004	14000022	4	1	{2,48}	{2,36}	1	6	4
20000005	14000018	5	2	{2,28}	{2,25}	1	6	4
20000006	14100025	6	2	{2,18}	{2,13}	1	6	2
20000007	14000020	7	2	{2,18}	{2,13}	1	16	4
20000008	14000007	8	2	{2,4}	{2,3}	1	16	1
20000009	14000005	9	3	{2,18}	{2,15}	1	35	1
20000010	14000002	10	3	{2,18}	{2,13}	1	35	1
20000011	14000046	11	4	{2,8}	{2,6}	1	30	3
20000012	14000047	12	4	{2,8}	{2,6}	1	30	3
20000013	14200025	13	4	{2,38}	{2,27}	1	4	2
20000014	14000049	14	5	{2,8}	{2,6}	1	30	3
20000015	14000050	15	5	{2,12}	{2,9}	1	30	3
20000016	14000008	16	5	{2,8}	{2,6}	1	14	1
20000017	14000006	17	5	{2,28}	{2,25}	1	25	1
20000018	14000003	18	5	{2,28}	{2,20}	1	25	1
20000019	14300025	19	5	{2,58}	{2,42}	1	3	2
20000020	14100003	20	6	{2,38}	{2,27}	1	25	1
20000021	14100006	21	6	{2,48}	{2,42}	1	25	1
20000022	14000016	22	6	{2,18}	{2,14}	1	3	1
20000023	14400025	23	6	{2,88}	{2,63}	1	2	2
20000024	14100058	24	6	{2,18}	{2,13}	1	20	4
20000025	14100009	25	6	{2,38}	{2,27}	1	10	1
21000001	14000001	1	1	{2,8}	{2,6}	1	45	1
21000002	14000004	2	1	{2,8}	{2,6}	1	45	1
21000003	14000017	3	1	{2,9}	{2,7}	1	45	4
21000004	14000022	4	1	{2,48}	{2,36}	1	7	4
21000005	14000018	5	2	{2,28}	{2,25}	1	6	4
21000006	14100025	6	2	{2,18}	{2,13}	1	6	2
21000007	14000020	7	2	{2,18}	{2,13}	1	18	4
21000008	14000007	8	2	{2,4}	{2,3}	1	18	1
21000009	14000005	9	3	{2,18}	{2,15}	1	35	1
21000010	14000002	10	3	{2,18}	{2,13}	1	35	1
21000011	14000046	11	4	{2,8}	{2,6}	1	35	3
21000012	14000047	12	4	{2,8}	{2,6}	1	35	3
21000013	14200025	13	4	{2,38}	{2,27}	1	5	2
21000014	14000049	14	5	{2,8}	{2,6}	1	30	3
21000015	14000050	15	5	{2,12}	{2,9}	1	30	3
21000016	14000008	16	5	{2,8}	{2,6}	1	14	1
21000017	14000006	17	5	{2,28}	{2,25}	1	30	1
21000018	14000003	18	5	{2,28}	{2,20}	1	30	1
21000019	14300025	19	5	{2,58}	{2,42}	1	4	2
21000020	14100003	20	6	{2,38}	{2,27}	1	25	1
21000021	14100006	21	6	{2,48}	{2,42}	1	25	1
21000022	14000016	22	6	{2,18}	{2,14}	1	3	1
21000023	14400025	23	6	{2,88}	{2,63}	1	3	2
21000024	14100058	24	6	{2,18}	{2,13}	1	25	4
21000025	14100009	25	6	{2,38}	{2,27}	1	12	1
22000001	14000001	1	1	{2,8}	{2,6}	1	50	1
22000002	14000004	2	1	{2,8}	{2,6}	1	50	1
22000003	14000017	3	1	{2,9}	{2,7}	1	45	4
22000004	14000022	4	1	{2,48}	{2,36}	1	7	4
22000005	14000018	5	2	{2,28}	{2,25}	1	7	4
22000006	14100025	6	2	{2,18}	{2,13}	1	7	2
22000007	14000020	7	2	{2,18}	{2,13}	1	18	4
22000008	14000007	8	2	{2,4}	{2,3}	1	18	1
22000009	14000005	9	3	{2,18}	{2,15}	1	40	1
22000010	14000002	10	3	{2,18}	{2,13}	1	40	1
22000011	14000046	11	4	{2,8}	{2,6}	1	35	3
22000012	14000047	12	4	{2,8}	{2,6}	1	35	3
22000013	14200025	13	4	{2,38}	{2,27}	1	5	2
22000014	14000049	14	5	{2,8}	{2,6}	1	35	3
22000015	14000050	15	5	{2,12}	{2,9}	1	35	3
22000016	14000008	16	5	{2,8}	{2,6}	1	16	1
22000017	14000006	17	5	{2,28}	{2,25}	1	30	1
22000018	14000003	18	5	{2,28}	{2,20}	1	30	1
22000019	14300025	19	5	{2,58}	{2,42}	1	4	2
22000020	14100003	20	6	{2,38}	{2,27}	1	30	1
22000021	14100006	21	6	{2,48}	{2,42}	1	30	1
22000022	14000016	22	6	{2,18}	{2,14}	1	4	1
22000023	14400025	23	6	{2,88}	{2,63}	1	3	2
22000024	14100058	24	6	{2,18}	{2,13}	1	25	4
22000025	14100009	25	6	{2,38}	{2,27}	1	12	1
23000001	14000001	1	1	{2,8}	{2,6}	1	50	1
23000002	14000004	2	1	{2,8}	{2,6}	1	50	1
23000003	14000017	3	1	{2,9}	{2,7}	1	50	4
23000004	14000022	4	1	{2,48}	{2,36}	1	8	4
23000005	14000018	5	2	{2,28}	{2,25}	1	7	4
23000006	14100025	6	2	{2,18}	{2,13}	1	7	2
23000007	14000020	7	2	{2,18}	{2,13}	1	20	4
23000008	14000007	8	2	{2,4}	{2,3}	1	20	1
23000009	14000005	9	3	{2,18}	{2,15}	1	40	1
23000010	14000002	10	3	{2,18}	{2,13}	1	40	1
23000011	14000046	11	4	{2,8}	{2,6}	1	40	3
23000012	14000047	12	4	{2,8}	{2,6}	1	40	3
23000013	14200025	13	4	{2,38}	{2,27}	1	6	2
23000014	14000049	14	5	{2,8}	{2,6}	1	35	3
23000015	14000050	15	5	{2,12}	{2,9}	1	35	3
23000016	14000008	16	5	{2,8}	{2,6}	1	16	1
23000017	14000006	17	5	{2,28}	{2,25}	1	35	1
23000018	14000003	18	5	{2,28}	{2,20}	1	35	1
23000019	14300025	19	5	{2,58}	{2,42}	1	5	2
23000020	14100003	20	6	{2,38}	{2,27}	1	30	1
23000021	14100006	21	6	{2,48}	{2,42}	1	30	1
23000022	14000016	22	6	{2,18}	{2,14}	1	4	1
23000023	14400025	23	6	{2,88}	{2,63}	1	4	2
23000024	14100058	24	6	{2,18}	{2,13}	1	30	4
23000025	14100009	25	6	{2,38}	{2,27}	1	14	1
24000001	14000001	1	1	{2,8}	{2,6}	1	55	1
24000002	14000004	2	1	{2,8}	{2,6}	1	55	1
24000003	14000017	3	1	{2,9}	{2,7}	1	50	4
24000004	14000022	4	1	{2,48}	{2,36}	1	8	4
24000005	14000018	5	2	{2,28}	{2,25}	1	8	4
24000006	14100025	6	2	{2,18}	{2,13}	1	8	2
24000007	14000020	7	2	{2,18}	{2,13}	1	20	4
24000008	14000007	8	2	{2,4}	{2,3}	1	20	1
24000009	14000005	9	3	{2,18}	{2,15}	1	45	1
24000010	14000002	10	3	{2,18}	{2,13}	1	45	1
24000011	14000046	11	4	{2,8}	{2,6}	1	40	3
24000012	14000047	12	4	{2,8}	{2,6}	1	40	3
24000013	14200025	13	4	{2,38}	{2,27}	1	6	2
24000014	14000049	14	5	{2,8}	{2,6}	1	40	3
24000015	14000050	15	5	{2,12}	{2,9}	1	40	3
24000016	14000008	16	5	{2,8}	{2,6}	1	18	1
24000017	14000006	17	5	{2,28}	{2,25}	1	35	1
24000018	14000003	18	5	{2,28}	{2,20}	1	35	1
24000019	14300025	19	5	{2,58}	{2,42}	1	5	2
24000020	14100003	20	6	{2,38}	{2,27}	1	35	1
24000021	14100006	21	6	{2,48}	{2,42}	1	35	1
24000022	14000016	22	6	{2,18}	{2,14}	1	5	1
24000023	14400025	23	6	{2,88}	{2,63}	1	4	2
24000024	14100058	24	6	{2,18}	{2,13}	1	30	4
24000025	14100009	25	6	{2,38}	{2,27}	1	14	1
25000001	14000001	1	1	{2,8}	{2,6}	1	55	1
25000002	14000004	2	1	{2,8}	{2,6}	1	55	1
25000003	14000017	3	1	{2,9}	{2,7}	1	55	4
25000004	14000022	4	1	{2,48}	{2,36}	1	9	4
25000005	14000018	5	2	{2,28}	{2,25}	1	8	4
25000006	14100025	6	2	{2,18}	{2,13}	1	8	2
25000007	14000020	7	2	{2,18}	{2,13}	1	22	4
25000008	14000007	8	2	{2,4}	{2,3}	1	22	1
25000009	14000005	9	3	{2,18}	{2,15}	1	45	1
25000010	14000002	10	3	{2,18}	{2,13}	1	45	1
25000011	14000046	11	4	{2,8}	{2,6}	1	45	3
25000012	14000047	12	4	{2,8}	{2,6}	1	45	3
25000013	14200025	13	4	{2,38}	{2,27}	1	7	2
25000014	14000049	14	5	{2,8}	{2,6}	1	40	3
25000015	14000050	15	5	{2,12}	{2,9}	1	40	3
25000016	14000008	16	5	{2,8}	{2,6}	1	18	1
25000017	14000006	17	5	{2,28}	{2,25}	1	40	1
25000018	14000003	18	5	{2,28}	{2,20}	1	40	1
25000019	14300025	19	5	{2,58}	{2,42}	1	6	2
25000020	14100003	20	6	{2,38}	{2,27}	1	35	1
25000021	14100006	21	6	{2,48}	{2,42}	1	35	1
25000022	14000016	22	6	{2,18}	{2,14}	1	5	1
25000023	14400025	23	6	{2,88}	{2,63}	1	5	2
25000024	14100058	24	6	{2,18}	{2,13}	1	35	4
25000025	14100009	25	6	{2,38}	{2,27}	1	16	1
26000001	14000001	1	1	{2,8}	{2,6}	1	60	1
26000002	14000004	2	1	{2,8}	{2,6}	1	60	1
26000003	14000017	3	1	{2,9}	{2,7}	1	55	4
26000004	14000022	4	1	{2,48}	{2,36}	1	9	4
26000005	14000018	5	2	{2,28}	{2,25}	1	9	4
26000006	14100025	6	2	{2,18}	{2,13}	1	9	2
26000007	14000020	7	2	{2,18}	{2,13}	1	22	4
26000008	14000007	8	2	{2,4}	{2,3}	1	22	1
26000009	14000005	9	3	{2,18}	{2,15}	1	50	1
26000010	14000002	10	3	{2,18}	{2,13}	1	50	1
26000011	14000046	11	4	{2,8}	{2,6}	1	45	3
26000012	14000047	12	4	{2,8}	{2,6}	1	45	3
26000013	14200025	13	4	{2,38}	{2,27}	1	7	2
26000014	14000049	14	5	{2,8}	{2,6}	1	45	3
26000015	14000050	15	5	{2,12}	{2,9}	1	45	3
26000016	14000008	16	5	{2,8}	{2,6}	1	20	1
26000017	14000006	17	5	{2,28}	{2,25}	1	40	1
26000018	14000003	18	5	{2,28}	{2,20}	1	40	1
26000019	14300025	19	5	{2,58}	{2,42}	1	6	2
26000020	14100003	20	6	{2,38}	{2,27}	1	40	1
26000021	14100006	21	6	{2,48}	{2,42}	1	40	1
26000022	14000016	22	6	{2,18}	{2,14}	1	6	1
26000023	14400025	23	6	{2,88}	{2,63}	1	5	2
26000024	14100058	24	6	{2,18}	{2,13}	1	35	4
26000025	14100009	25	6	{2,38}	{2,27}	1	16	1
27000001	14000001	1	1	{2,8}	{2,6}	1	60	1
27000002	14000004	2	1	{2,8}	{2,6}	1	60	1
27000003	14000017	3	1	{2,9}	{2,7}	1	60	4
27000004	14000022	4	1	{2,48}	{2,36}	1	10	4
27000005	14000018	5	2	{2,28}	{2,25}	1	9	4
27000006	14100025	6	2	{2,18}	{2,13}	1	9	2
27000007	14000020	7	2	{2,18}	{2,13}	1	24	4
27000008	14000007	8	2	{2,4}	{2,3}	1	24	1
27000009	14000005	9	3	{2,18}	{2,15}	1	50	1
27000010	14000002	10	3	{2,18}	{2,13}	1	50	1
27000011	14000046	11	4	{2,8}	{2,6}	1	50	3
27000012	14000047	12	4	{2,8}	{2,6}	1	50	3
27000013	14200025	13	4	{2,38}	{2,27}	1	8	2
27000014	14000049	14	5	{2,8}	{2,6}	1	45	3
27000015	14000050	15	5	{2,12}	{2,9}	1	45	3
27000016	14000008	16	5	{2,8}	{2,6}	1	20	1
27000017	14000006	17	5	{2,28}	{2,25}	1	45	1
27000018	14000003	18	5	{2,28}	{2,20}	1	45	1
27000019	14300025	19	5	{2,58}	{2,42}	1	7	2
27000020	14100003	20	6	{2,38}	{2,27}	1	40	1
27000021	14100006	21	6	{2,48}	{2,42}	1	40	1
27000022	14000016	22	6	{2,18}	{2,14}	1	6	1
27000023	14400025	23	6	{2,88}	{2,63}	1	6	2
27000024	14100058	24	6	{2,18}	{2,13}	1	40	4
27000025	14100009	25	6	{2,38}	{2,27}	1	18	1
28000001	14000001	1	1	{2,8}	{2,6}	1	65	1
28000002	14000004	2	1	{2,8}	{2,6}	1	65	1
28000003	14000017	3	1	{2,9}	{2,7}	1	60	4
28000004	14000022	4	1	{2,48}	{2,36}	1	10	4
28000005	14000018	5	2	{2,28}	{2,25}	1	10	4
28000006	14100025	6	2	{2,18}	{2,13}	1	10	2
28000007	14000020	7	2	{2,18}	{2,13}	1	24	4
28000008	14000007	8	2	{2,4}	{2,3}	1	24	1
28000009	14000005	9	3	{2,18}	{2,15}	1	55	1
28000010	14000002	10	3	{2,18}	{2,13}	1	55	1
28000011	14000046	11	4	{2,8}	{2,6}	1	50	3
28000012	14000047	12	4	{2,8}	{2,6}	1	50	3
28000013	14200025	13	4	{2,38}	{2,27}	1	8	2
28000014	14000049	14	5	{2,8}	{2,6}	1	50	3
28000015	14000050	15	5	{2,12}	{2,9}	1	50	3
28000016	14000008	16	5	{2,8}	{2,6}	1	22	1
28000017	14000006	17	5	{2,28}	{2,25}	1	45	1
28000018	14000003	18	5	{2,28}	{2,20}	1	45	1
28000019	14300025	19	5	{2,58}	{2,42}	1	7	2
28000020	14100003	20	6	{2,38}	{2,27}	1	45	1
28000021	14100006	21	6	{2,48}	{2,42}	1	45	1
28000022	14000016	22	6	{2,18}	{2,14}	1	7	1
28000023	14400025	23	6	{2,88}	{2,63}	1	6	2
28000024	14100058	24	6	{2,18}	{2,13}	1	40	4
28000025	14100009	25	6	{2,38}	{2,27}	1	18	1
29000001	14000001	1	1	{2,8}	{2,6}	1	65	1
29000002	14000004	2	1	{2,8}	{2,6}	1	65	1
29000003	14000017	3	1	{2,9}	{2,7}	1	65	4
29000004	14000022	4	1	{2,48}	{2,36}	1	11	4
29000005	14000018	5	2	{2,28}	{2,25}	1	10	4
29000006	14100025	6	2	{2,18}	{2,13}	1	10	2
29000007	14000020	7	2	{2,18}	{2,13}	1	26	4
29000008	14000007	8	2	{2,4}	{2,3}	1	26	1
29000009	14000005	9	3	{2,18}	{2,15}	1	55	1
29000010	14000002	10	3	{2,18}	{2,13}	1	55	1
29000011	14000046	11	4	{2,8}	{2,6}	1	55	3
29000012	14000047	12	4	{2,8}	{2,6}	1	55	3
29000013	14200025	13	4	{2,38}	{2,27}	1	9	2
29000014	14000049	14	5	{2,8}	{2,6}	1	50	3
29000015	14000050	15	5	{2,12}	{2,9}	1	50	3
29000016	14000008	16	5	{2,8}	{2,6}	1	22	1
29000017	14000006	17	5	{2,28}	{2,25}	1	50	1
29000018	14000003	18	5	{2,28}	{2,20}	1	50	1
29000019	14300025	19	5	{2,58}	{2,42}	1	8	2
29000020	14100003	20	6	{2,38}	{2,27}	1	45	1
29000021	14100006	21	6	{2,48}	{2,42}	1	45	1
29000022	14000016	22	6	{2,18}	{2,14}	1	7	1
29000023	14400025	23	6	{2,88}	{2,63}	1	7	2
29000024	14100058	24	6	{2,18}	{2,13}	1	45	4
29000025	14100009	25	6	{2,38}	{2,27}	1	20	1
