id	itemlist	brdid
{boss_loot,1701202}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1700902}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1700602}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1700302}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{loot,1032140}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032136}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032132}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032128}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032124}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032120}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032116}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032112}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032108}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032104}	[13070010,12351430,12351630,12601430,12601630]	102
{loot,1032040}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032036}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032032}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032028}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032024}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032020}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032016}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032012}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030,13150010]	102
{loot,1032008}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030]	102
{loot,1032004}	[13070010,12351130,12351330,12351030,12601130,12601330,12601030]	102
{loot,1060305}	[12350130,12350330,12350530,12350230,12350430,12350630,12350730,12350180,12350380,12350580,12350280,12350480,12350680]	26
{treasure_chest,21000631}	[]	24
{treasure_chest,13150011}	[]	24
{treasure_chest,19010661}	[]	24
{treasure_chest,21000630}	[]	24
{treasure_chest,13150010}	[]	24
{treasure_chest,19010660}	[]	24
{treasure_chest,12601741}	[]	24
{treasure_chest,12601641}	[]	24
{treasure_chest,12601541}	[]	24
{treasure_chest,12601441}	[]	24
{treasure_chest,12601341}	[]	24
{treasure_chest,12601241}	[]	24
{treasure_chest,12601141}	[]	24
{treasure_chest,12601041}	[]	24
{treasure_chest,19000601}	[]	24
{treasure_chest,12351741}	[]	24
{treasure_chest,12351641}	[]	24
{treasure_chest,12351541}	[]	24
{treasure_chest,12351441}	[]	24
{treasure_chest,12351341}	[]	24
{treasure_chest,12351241}	[]	24
{treasure_chest,12351141}	[]	24
{treasure_chest,12351041}	[]	24
{treasure_chest,19000581}	[]	24
{treasure_chest,12601740}	[]	24
{treasure_chest,12601640}	[]	24
{treasure_chest,12601540}	[]	24
{treasure_chest,12601440}	[]	24
{treasure_chest,12601340}	[]	24
{treasure_chest,12601240}	[]	24
{treasure_chest,12601140}	[]	24
{treasure_chest,12601040}	[]	24
{treasure_chest,19000600}	[]	24
{treasure_chest,12351740}	[]	24
{treasure_chest,12351640}	[]	24
{treasure_chest,12351540}	[]	24
{treasure_chest,12351440}	[]	24
{treasure_chest,12351340}	[]	24
{treasure_chest,12351240}	[]	24
{treasure_chest,12351140}	[]	24
{treasure_chest,12351040}	[]	24
{treasure_chest,19000580}	[]	24
{monster_kill,1032140}	[]	95
{monster_kill,1032136}	[]	94
{monster_kill,1032132}	[]	93
{monster_kill,1032128}	[]	92
{monster_kill,1032124}	[]	91
{monster_kill,1032120}	[]	90
{monster_kill,1032116}	[]	89
{monster_kill,1032112}	[]	88
{monster_kill,1032040}	[]	87
{monster_kill,1032036}	[]	86
{monster_kill,1032032}	[]	85
{monster_kill,1032028}	[]	84
{monster_kill,1032024}	[]	83
{monster_kill,1032020}	[]	82
{monster_kill,1032016}	[]	81
{monster_kill,1032012}	[]	80
{monster_kill,4500609}	[]	5
{monster_kill,4500608}	[]	5
{monster_kill,4500607}	[]	5
{monster_kill,4500606}	[]	5
{monster_kill,4500605}	[]	5
{monster_kill,4500604}	[]	5
{monster_kill,4500603}	[]	5
{monster_kill,4500602}	[]	5
{monster_kill,4500601}	[]	5
{monster_kill,4410901}	[]	5
{monster_kill,4410801}	[]	5
{monster_kill,4410701}	[]	5
{monster_kill,4410601}	[]	5
{monster_kill,4410501}	[]	5
{monster_kill,4410401}	[]	5
{monster_kill,4410301}	[]	5
{monster_kill,4410201}	[]	5
{monster_kill,4410101}	[]	5
{monster_born,4410901}	[]	4
{monster_born,4410801}	[]	4
{monster_born,4410701}	[]	4
{monster_born,4410601}	[]	4
{monster_born,4410501}	[]	4
{monster_born,4410401}	[]	4
{monster_born,4410301}	[]	4
{monster_born,4410201}	[]	4
{monster_born,4410101}	[]	4
{loot,4500618}	[12800180,12800280,12800380,12800480,12800580,12800680,12800780,13030030]	170
{loot,4500617}	[12700880,13030030,12700980]	169
{loot,4500616}	[12700180,12700280,12700380,12700480,12700580,12700680,12700780,13030030]	168
{loot,4500615}	[12600880,13030020,12600980]	167
{loot,4500614}	[12600180,12600280,12600380,12600480,12600580,12600680,12600780,13030020]	166
{loot,4500613}	[12500880,13030020,12500980]	165
{loot,4500612}	[12500180,12500280,12500380,12500480,12500580,12500680,12500780,13030020]	164
{loot,4500611}	[12350880,12350980,13030020]	163
{loot,4500610}	[12350780,13030020,12350730]	162
{loot,4410901}	[12800180,12800280,12800380,12800480,12800580,12800680,12800780,12800880,12800980,12800130,12800230,12800330,12800430,12800530,12800630,12800730,12800830,12800930,13030030]	161
{loot,4410801}	[12700880,13030030,12700980,12700830,12700930]	160
{loot,4410701}	[12700180,12700280,12700380,12700480,12700580,12700680,12700780,12700130,12700230,12700330,12700430,12700530,12700630,12700730,13030030]	159
{loot,4410601}	[12600880,13030020,12600980,12600830,12600930]	158
{loot,4410501}	[12600180,12600280,12600380,12600480,12600580,12600680,12600780,12600130,12600230,12600330,12600430,12600530,12600630,12600730,13030020]	157
{loot,4410401}	[12500880,13030020,12500980,12500830,12500930]	156
{loot,4410301}	[12500180,12500280,12500380,12500480,12500580,12500680,12500780,12500130,12500230,12500330,12500430,12500530,12500630,12500730,12500140,12500240,12500340,12500440,12500540,12500640,13030020]	155
{loot,4410201}	[12350880,12350980,12350830,12350930,13030020]	154
{loot,4410101}	[12350780,13030020,12350730]	153
{mail,10032001}	[]	36
