protoid	name	species	femina_rate	class	min_take_level	quality_to_growth	born_abilities	born_attr	born_talents	born_skills	happiness_cast	born_quality	born_quality_up	can_delete	can_explore
10	乔巴小兵	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
11	机关人	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
12	小雪灵	3	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
13	小炎灵	3	0	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
14	灵狐宝宝	3	0	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
15	麒麟宝宝	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
16	喵喵宝宝	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
17	灵蛇宝宝	4	100	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
18	青龙宝宝	4	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
19	白虎宝宝	4	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
20	朱雀宝宝	2	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
21	玄武宝宝	1	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
23	地球小子	1	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
27	布鲁	1	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
31	黄钻麒麟	1	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
41	蓝钻麒麟	1	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2001	小蜻蜓	2	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	1
2002	霜狼	2	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2003	熊猫红帽	2	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2004	幽冥虎	2	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2005	刃豹	2	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2006	蝶仙	1	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2007	粉红仙女	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2008	俏喵喵	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2009	寒冰比蒙	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2010	乔巴小兵	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2011	机关斗士	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2012	冰雪仆从	3	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2013	炎火	3	0	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2014	三尾灵狐	3	0	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2015	幼年麒麟	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2016	幼年喵喵	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2017	幼年灵蛇	4	100	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2018	幼年青龙	4	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2019	幼年白虎	4	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2020	幼年朱雀	2	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2021	幼年玄武	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2023	地球少年	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2027	布鲁	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2031	黄钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
2041	蓝钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{40,85,10,60,200}	{10,10,10,10}	{{100,200},{100,200},{100,200},{100,200}}	[]	{7,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3001	小蜻蜓	2	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	1
