quality_value	rate	needs	protect	money
65	[{1,625},{2,125},{3,25},{-1,1875},{-2,375},{-3,75}]	120	121	500
64	[{1,75},{2,15},{3,3},{-1,175},{-2,35},{-3,7}]	120	121	500
63	[{1,75},{2,15},{3,3},{-1,175},{-2,35},{-3,7}]	120	121	500
62	[{1,75},{2,15},{3,3},{-1,175},{-2,35},{-3,7}]	120	121	500
61	[{1,75},{2,15},{3,3},{-1,175},{-2,35},{-3,7}]	120	121	500
60	[{1,75},{2,15},{3,3},{0,217},{-1,0},{-2,0},{-3,0}]	120	121	500
59	[{1,875},{2,175},{3,35},{-1,1625},{-2,325},{-3,65}]	120	121	500
58	[{1,875},{2,175},{3,35},{-1,1625},{-2,325},{-3,65}]	120	121	500
57	[{1,875},{2,175},{3,35},{-1,1625},{-2,325},{-3,65}]	120	121	500
56	[{1,875},{2,175},{3,35},{-1,1625},{-2,325},{-3,65}]	120	121	500
55	[{1,875},{2,175},{3,35},{-1,1625},{-2,325},{-3,65}]	120	121	500
54	[{1,100},{2,20},{3,4},{-1,150},{-2,30},{-3,6}]	120	121	500
53	[{1,100},{2,20},{3,4},{-1,150},{-2,30},{-3,6}]	120	121	500
52	[{1,100},{2,20},{3,4},{-1,150},{-2,30},{-3,6}]	120	121	500
51	[{1,100},{2,20},{3,4},{-1,150},{-2,30},{-3,6}]	120	121	500
50	[{1,100},{2,20},{3,4},{0,186},{-1,0},{-2,0},{-3,0}]	120	121	500
49	[{1,1125},{2,225},{3,45},{-1,1375},{-2,275},{-3,55}]	120	121	500
48	[{1,1125},{2,225},{3,45},{-1,1375},{-2,275},{-3,55}]	120	121	500
47	[{1,1125},{2,225},{3,45},{-1,1375},{-2,275},{-3,55}]	120	121	500
46	[{1,1125},{2,225},{3,45},{-1,1375},{-2,275},{-3,55}]	120	121	500
45	[{1,1125},{2,225},{3,45},{-1,1375},{-2,275},{-3,55}]	120	121	500
44	[{1,125},{2,25},{3,5},{-1,125},{-2,25},{-3,5}]	120	121	500
43	[{1,125},{2,25},{3,5},{-1,125},{-2,25},{-3,5}]	120	121	500
42	[{1,125},{2,25},{3,5},{-1,125},{-2,25},{-3,5}]	120	121	500
41	[{1,125},{2,25},{3,5},{-1,125},{-2,25},{-3,5}]	120	121	500
40	[{1,125},{2,25},{3,5},{0,155},{-1,0},{-2,0},{-3,0}]	120	121	500
39	[{1,1375},{2,275},{3,55},{-1,1125},{-2,225},{-3,45}]	120	121	500
38	[{1,1375},{2,275},{3,55},{-1,1125},{-2,225},{-3,45}]	120	121	500
37	[{1,1375},{2,275},{3,55},{-1,1125},{-2,225},{-3,45}]	120	121	500
36	[{1,1375},{2,275},{3,55},{-1,1125},{-2,225},{-3,45}]	120	121	500
35	[{1,1375},{2,275},{3,55},{-1,1125},{-2,225},{-3,45}]	120	121	500
34	[{1,150},{2,30},{3,6},{-1,100},{-2,20},{-3,4}]	120	121	500
33	[{1,150},{2,30},{3,6},{-1,100},{-2,20},{-3,4}]	120	121	500
32	[{1,150},{2,30},{3,6},{-1,100},{-2,20},{-3,4}]	120	121	500
31	[{1,150},{2,30},{3,6},{-1,100},{-2,20},{-3,4}]	120	121	500
30	[{1,150},{2,30},{3,6},{0,124},{-1,0},{-2,0},{-3,0}]	120	121	500
29	[{1,175},{2,35},{3,7},{-1,75},{-2,15},{-3,3}]	120	121	500
28	[{1,175},{2,35},{3,7},{-1,75},{-2,15},{-3,3}]	120	121	500
27	[{1,175},{2,35},{3,7},{-1,75},{-2,15},{-3,3}]	120	121	500
26	[{1,175},{2,35},{3,7},{-1,75},{-2,15},{-3,3}]	120	121	500
25	[{1,175},{2,35},{3,7},{-1,75},{-2,15},{-3,3}]	120	121	500
24	[{1,200},{2,40},{3,8},{-1,50},{-2,10},{-3,2}]	120	121	500
23	[{1,200},{2,40},{3,8},{-1,50},{-2,10},{-3,2}]	120	121	500
22	[{1,200},{2,40},{3,8},{-1,50},{-2,10},{-3,2}]	120	121	500
21	[{1,200},{2,40},{3,8},{-1,50},{-2,10},{-3,2}]	120	121	500
20	[{1,200},{2,40},{3,8},{0,62},{-1,0},{-2,0},{-3,0}]	120	121	500
19	[{1,225},{2,45},{3,9},{-1,25},{-2,5},{-3,1}]	120	121	500
18	[{1,225},{2,45},{3,9},{-1,25},{-2,5},{-3,1}]	120	121	500
17	[{1,225},{2,45},{3,9},{-1,25},{-2,5},{-3,1}]	120	121	500
16	[{1,225},{2,45},{3,9},{-1,25},{-2,5},{-3,1}]	120	121	500
15	[{1,225},{2,45},{3,9},{-1,25},{-2,5},{-3,1}]	120	121	500
14	[{1,50},{2,11},{3,1},{-1,0},{-2,0},{-3,0}]	120	121	500
13	[{1,50},{2,11},{3,1},{-1,0},{-2,0},{-3,0}]	120	121	500
12	[{1,50},{2,11},{3,1},{-1,0},{-2,0},{-3,0}]	120	121	500
11	[{1,50},{2,11},{3,1},{-1,0},{-2,0},{-3,0}]	120	121	500
10	[{1,50},{2,11},{3,1},{-1,0},{-2,0},{-3,0}]	120	121	500
