ruleid	name	roleflag	itemsdroprate
11805	中品掉落绑定	1	[{19010081,450},{19010381,750},{19010121,450},{11050711,150},{11050811,150},{11050911,150},{13040011,300},{13050021,30},{14000111,60},{14000211,60},{14000311,60},{14000411,60},{14000511,60},{14000611,60},{14000711,60},{14000811,60},{14000911,60},{14001011,60},{14001111,60},{14001211,60},{14001311,60},{14000121,120},{14000221,120},{14000321,120},{14000421,120},{14000521,120},{14000621,120},{14000721,120},{14000821,120},{14000921,120},{14001021,120},{14001121,120},{14001221,120},{14001321,90},{13010011,200},{13010021,80},{13030021,600},{19010661,60},{13150011,60},{13020031,270},{13080011,600},{19000581,90},{12351041,6},{12351141,3},{12351241,6},{12351341,3},{12351441,6},{12351541,3},{12351641,6},{12351741,2}]
11806	上品掉落绑定	1	[{19010091,240},{19010391,900},{19010121,900},{11051011,150},{11051111,150},{11051211,150},{13040011,750},{13050021,210},{14000121,330},{14000221,330},{14000321,330},{14000421,330},{14000521,330},{14000621,330},{14000721,330},{14000821,330},{14000921,380},{14001021,380},{14001121,380},{14001221,380},{14001321,380},{14000131,120},{14000231,120},{14000331,120},{14000431,120},{14000531,120},{14000631,120},{14000731,120},{14000831,120},{14000931,150},{14001031,150},{14001131,150},{14001231,150},{14001331,150},{13010031,120},{13030031,400},{13020041,500},{19010661,120},{13150011,120},{13080021,600},{19000601,105},{12601041,5},{12601141,4},{12601241,5},{12601341,4},{12601441,5},{12601541,4},{12601641,5},{12601741,4}]
11901	凡品经验丹	1	[{19010381,2},{0,1}]
11902	凡品灵力丹	1	[{19010121,2},{0,1}]
11903	凡品铜钱符	1	[{19010081,1},{0,2}]
11904	凡品礼券符	1	[{19010011,1},{0,2}]
11905	中品升星开运石	1	[{13030021,1},{0,3}]
11906	4星保护石	1	[{13020041,1},{0,3}]
11907	重铸灵石	1	[{13040011,1},{0,2}]
12001	军官任务神行鞋*3	1	[{19000301,1,3}]
12002	军官任务九转紫金丹*2	1	[{19000271,1,2}]
12003	军官任务1.5倍经验丹*1	1	[{19010281,1,1}]
12101	灵符冠军礼包 悟性成长符*3	1	[{19010651,1,3}]
12102	灵符冠军礼包 器灵碎片*20	1	[{13040001,1,20}]
12103	灵符冠军礼包 2星保护石	1	[{13020021,1,15}]
12104	灵符亚军礼包 悟性成长符*2	1	[{19010651,1,2}]
12105	灵符亚军礼包 器灵碎片*16	1	[{13040001,1,16}]
12106	灵符亚军礼包 2星保护石	1	[{13020021,1,12}]
12107	灵符季军礼包 悟性成长符*2	1	[{19010651,1,2}]
12108	灵符季军礼包 器灵碎片*12	1	[{13040001,1,12}]
12109	灵符季军礼包 2星保护石	1	[{13020021,1,9}]
12110	灵符四强礼包 悟性成长符*2	1	[{19010651,1,2}]
12111	灵符四强礼包 器灵碎片*8	1	[{13040001,1,8}]
12112	灵符四强礼包 2星保护石	1	[{13020021,1,6}]
12113	灵符参与礼包 悟性成长符*1	1	[{19010651,1,1}]
12114	灵符参与礼包 器灵碎片*4	1	[{13040001,1,4}]
12115	灵符参与礼包 2星保护石	1	[{13020021,1,3}]
12116	夺旗优胜礼包 中品强化石*2	1	[{13010021,1,2}]
12117	夺旗优胜礼包 凡品强化石*2	1	[{13010011,1,2}]
12118	夺旗优胜礼包 中品开运石*2	1	[{13030021,1,2}]
12119	夺旗优胜礼包 2星保护石*4	1	[{13020021,1,4}]
12120	夺旗参与礼包 中品强化石*1	1	[{13010021,1,1}]
12121	夺旗参与礼包 凡品强化石*1	1	[{13010011,1,1}]
12122	夺旗参与礼包 中品开运石*1	1	[{13030021,1,1}]
12123	夺旗参与礼包 2星保护石*2	1	[{13020021,1,2}]
12124	群雄王者礼包 2级攻击宝石*1	1	[{14000821,1}]
12125	群雄王者礼包 2级生命宝石*1	1	[{14000421,1}]
12126	群雄王者礼包 2级近防宝石*1	1	[{14000721,1}]
12127	群雄王者礼包 2级远防宝石*1	1	[{14000621,1}]
12128	群雄王者礼包 2级魔防宝石*1	1	[{14000521,1}]
12129	群雄参与礼包 1级攻击宝石*1	1	[{14000811,1}]
12130	群雄参与礼包 1级生命宝石*1	1	[{14000411,1}]
12131	群雄参与礼包 1级近防宝石*1	1	[{14000711,1}]
12132	群雄参与礼包 1级远防宝石*1	1	[{14000611,1}]
12133	群雄参与礼包 1级魔防宝石*1	1	[{14000511,1}]
12134	120活跃度宝箱 宝石拆卸符*1	1	[{13060011,1}]
12135	冰火优胜礼包 中品星之砂*2	1	[{13010021,1,2}]
12136	冰火优胜礼包 凡品星之砂*4	1	[{13010011,1,4}]
12137	冰火优胜礼包 中品开运石*5	1	[{13030021,1,5}]
12138	冰火优胜礼包 2星保护石*5	1	[{13020021,1,5}]
12139	冰火参与礼包 中品星之砂*1	1	[{13010021,1,1}]
12140	冰火参与礼包 凡品星之砂*2	1	[{13010011,1,2}]
12141	冰火参与礼包 中品开运石*2	1	[{13030021,1,2}]
12142	冰火参与礼包 2星保护石*2	1	[{13020021,1,2}]
12143	一重回馈礼包 神行鞋*3	1	[{19000301,1,3}]
12144	一重回馈礼包 1.5倍经验丹*2	1	[{19010281,1,2}]
12145	一重回馈礼包 凡品星之砂*3	1	[{13010011,1,3}]
12146	一重回馈礼包 九转紫金丹*3	1	[{19000271,1,3}]
12147	一重回馈礼包 二重回馈礼包	1	[{10052001,1,1}]
12148	二重回馈礼包 凡品铜钱符*1	1	[{19010081,1,1}]
12149	二重回馈礼包 中品星之砂*3	1	[{13010021,1,3}]
12150	二重回馈礼包 中品灵符*2	1	[{19000461,1,2}]
12151	二重回馈礼包 赏善令*3	1	[{15000011,1,3}]
12152	二重回馈礼包 三重回馈礼包	1	[{10053001,1,1}]
12153	三重回馈礼包 凡品礼券符*2	1	[{19010011,1,2}]
12154	三重回馈礼包 三星升星保护石*3	1	[{13020031,1,3}]
12155	三重回馈礼包 40级紫色防御的套装随即一件*1	1	[{12351031,1},{12351231,1},{12351431,1},{12351631,1}]
12156	三重回馈礼包 四重回馈礼包	1	[{10054001,1,1}]
12157	四重回馈礼包 凡品灵力丹*5	1	[{19010121,1,5}]
12158	四重回馈礼包 中品升星开运石*5	1	[{13030021,1,5}]
12159	四重回馈礼包 赤眉吊睛虎*1	1	[{17000071,1,1}]
12160	凡品封测回馈礼包  一重	1	[{10051001,1,1}]
12161	凡品封测回馈礼包  二重	1	[{10052001,1,1}]
12162	上品封测回馈礼包 一重	1	[{10051001,1,1}]
12163	上品封测回馈礼包 二重	1	[{10052001,1,1}]
12164	上品封测回馈礼包 三重	1	[{10053001,1,1}]
12165	上品封测回馈礼包 四重	1	[{10054001,1,1}]
12171	灵符冠军礼包 宠物资质提升符*2	1	[{13120011,1,2}]
12172	灵符亚军礼包 宠物资质提升符*2	1	[{13120011,1,2}]
12173	灵符季军礼包 宠物资质提升符*2	1	[{13120011,1,2}]
12174	灵符四强礼包 宠物资质提升符*2	1	[{13120011,1,2}]
12175	灵符参与礼包 宠物资质提升符*1	1	[{13120011,1,1}]
12176	夺旗优胜礼包 宠物资质提升符*1	1	[{13120011,1,1}]
12201	凡品水珍珠*6	1	[{13110061,1,6}]
12202	紫水晶*8	1	[{13110021,1,8}]
12203	蓝水晶*16	1	[{13110011,1,16}]
12301	首充礼包 神行鞋*10	1	[{19000301,1,10}]
12302	首充礼包 小喇叭*10	1	[{19000491,1,10}]
12303	首充礼包 凡品打孔石*5	1	[{13050011,1,5}]
12304	首充礼包 一级生命石*5	1	[{14000411,1,5}]
12305	首充礼包 中品灵符*5	1	[{19000461,1,5}]
12306	首充礼包 中品星之砂*5	1	[{13010021,1,5}]
12307	首充礼包 中品升星开运石*5	1	[{13030021,1,5}]
12308	首充礼包 宠物资质提升符*3	1	[{13120011,1,3}]
12309	首充礼包 天魔精元*2	1	[{13040021,1,2}]
12310	首充礼包 地魔精元*2	1	[{13040031,1,2}]
12311	首充礼包 悟性成长符*1	1	[{19010651,1,1}]
12401	100元宝礼包 宠物进化丹*1	1	[{13150011,1,1}]
12402	100元宝礼包 悟性成长符*1	1	[{19010651,1,1}]
12403	100元宝礼包 蓝水晶*5	1	[{13110011,1,5}]
12404	100元宝礼包 紫水晶*3	1	[{13110021,1,3}]
12405	100元宝礼包 凡品水珍珠*2	1	[{13110061,1,2}]
12406	100元宝礼包 凡品星之砂*2	1	[{13010011,1,2}]
12501	500元宝礼包 宠物进化丹*1	1	[{13150011,1,1}]
12502	500元宝礼包 悟性成长符*3	1	[{19010651,1,3}]
12503	500元宝礼包 蓝水晶*10	1	[{13110011,1,10}]
12504	500元宝礼包 紫水晶*6	1	[{13110021,1,6}]
12505	500元宝礼包 凡品水珍珠*4	1	[{13110061,1,4}]
12506	500元宝礼包 宠物资质提升符*3	1	[{13120011,1,3}]
12507	500元宝礼包 中品灵符*2	1	[{19000461,1,3}]
12508	500元宝礼包 凡品铜钱符*3	1	[{19010080,1,3}]
12509	500元宝礼包 凡品星之砂*5	1	[{13010011,1,5}]
12601	3000元宝礼包 宠物进化丹*1	1	[{13150011,1,1}]
12602	3000元宝礼包 凡品灵兽丹*8	1	[{13160011,1,8}]
12603	3000元宝礼包 紫色宠物洗髓丹*5	1	[{13170031,1,5}]
12604	3000元宝礼包 宠物资质幸运符*1	1	[{13140011,1,1}]
12605	3000元宝礼包 破尘金装随机*1	1	[{12351041,1},{12351141,1},{12351241,1},{12351341,1},{12351441,1},{12351541,1},{12351641,1},{12351741,1}]
12606	3000元宝礼包 宠物资质提升符*3	1	[{13120011,1,3}]
12607	3000元宝礼包 中品灵符*3	1	[{19000461,1,3}]
12608	3000元宝礼包 凡品星之砂*5	1	[{13010011,1,5}]
12609	3000元宝礼包 中品升星开运石*2	1	[{13030021,1,2}]
12701	6000元宝礼包 宠物进化丹*1	1	[{13150011,1,1}]
12702	6000元宝礼包 中品兽灵丹*8	1	[{13160021,1,8}]
12703	6000元宝礼包 重铸灵石*10	1	[{13040011,1,10}]
12704	6000元宝礼包 宠物资质保护符*1	1	[{13130011,1,1}]
12705	6000元宝礼包 宠物进阶丹*8	1	[{13190011,1,8}]
12706	6000元宝礼包 中品铜钱符*5	1	[{19010091,1,5}]
12707	6000元宝礼包 中品灵符*5	1	[{19000461,1,5}]
12708	6000元宝礼包 中品星之砂*5	1	[{13010021,1,5}]
12709	6000元宝礼包 中品升星开运石*5	1	[{13030021,1,5}]
12710	6000元宝礼包 至尊经验丹*1	1	[{19010411,1}]
12801	15000元宝礼包 宠物进化丹*2	1	[{13150011,1,2}]
12802	15000元宝礼包 悟性成长符*5	1	[{19010651,1,5}]
12803	15000元宝礼包 悟性保护符*2	1	[{19010661,1,2}]
12804	15000元宝礼包 宠物资质保护符*2	1	[{13130011,1,2}]
12805	15000元宝礼包 宠物进阶丹*16	1	[{13190011,1,16}]
12806	15000元宝礼包 宠物资质提升符*5	1	[{13120011,1,5}]
12807	15000元宝礼包 中品灵符*10	1	[{19000461,1,10}]
12808	15000元宝礼包 凡品藏神石*2	1	[{13070021,1,2}]
12809	15000元宝礼包 凡品飞升符*5	1	[{13080011,1,5}]
12810	15000元宝礼包 至尊灵力丹*1	1	[{19010151,1}]
12901	30000元宝礼包 宠物进化丹*3	1	[{13150011,1,3}]
12902	30000元宝礼包 悟性成长符*10	1	[{19010651,1,10}]
12903	30000元宝礼包 悟性保护符*4	1	[{19010661,1,4}]
12904	30000元宝礼包 宠物资质保护符*4	1	[{13130011,1,4}]
12905	30000元宝礼包 宠物进阶丹*32	1	[{13190011,1,32}]
12906	30000元宝礼包 宠物资质提升符*10	1	[{13120011,1,10}]
12907	30000元宝礼包 中品灵符*20	1	[{19000461,1,20}]
12908	30000元宝礼包 凡品藏神石*3	1	[{13070021,1,3}]
12909	30000元宝礼包 凡品飞升符*10	1	[{13080011,1,10}]
13001	50000元宝礼包 宠物进化丹*3	1	[{13150011,1,3}]
13002	50000元宝礼包 悟性成长符*15	1	[{19010651,1,15}]
13003	50000元宝礼包 悟性保护符*3	1	[{19010661,1,3}]
13004	50000元宝礼包 宠物资质保护符*3	1	[{13130011,1,3}]
13005	50000元宝礼包 紫色宠物洗髓丹*20	1	[{13170031,1,20}]
13006	50000元宝礼包 宠物资质提升符*20	1	[{13120011,1,20}]
13007	50000元宝礼包 中品灵符*30	1	[{19000461,1,30}]
13008	50000元宝礼包 凡品藏神石*3	1	[{13070021,1,3}]
13009	50000元宝礼包 凡品飞升符*15	1	[{13080011,1,15}]
14001	封印装备礼包	1	[{12350180,3},{12350280,3},{12350380,3},{12350480,3},{12350580,3},{12350680,3},{12350780,3},{12350880,3},{12350980,3},{12500180,4},{12500280,4},{12500380,4},{12500480,4},{12500580,4},{12500680,4},{12500780,4},{12500880,4},{12500980,4},{12600180,3},{12600280,3},{12600380,3},{12600480,3},{12600580,3},{12600680,3},{12600780,3},{12600880,3},{12600980,3}]
14002	1级宠物书礼包	1	[{22000111,3},{22000211,3},{22000311,3},{22000411,3},{22000511,3},{22000611,3},{22000711,3},{22000811,3},{22000911,3},{22001011,3},{22001111,3},{22001211,3}]
14003	2级宠物书礼包	1	[{22000121,3},{22000221,3},{22000321,3},{22000421,3},{22000521,3},{22000621,3},{22000721,3},{22000821,3},{22000921,3},{22001021,3},{22001121,3},{22001221,3}]
14004	首充礼包（1-59级）蓝晶石*10	1	[{13110011,1,10}]
14005	首充礼包（1-59级）红晶石*5	1	[{13110021,1,5}]
14006	首充礼包（1-59级）五品*1	1	[{19000461,1,1}]
14007	首充礼包（1-59级）三星保护石*1	1	[{13020031,1,1}]
14008	首充礼包（1-59级）中品升星开运石*1	1	[{13030021,1,1}]
14009	首充礼包（1-59级）宠物资质提升符*1	1	[{13120011,1,1}]
14010	首充礼包（60-99级）蓝晶石*10	1	[{13110011,1,10}]
14011	首充礼包（60-99级）红晶石*5	1	[{13110021,1,5}]
14012	首充礼包（60-99级）七品*1	1	[{19000471,1,1}]
14013	首充礼包（60-99级）凡品魂晶*1	1	[{13080011,1,1}]
14014	首充礼包（60-99级）凡品灵兽丹*1	1	[{13160011,1,1}]
14015	首充礼包（60-99级）6星保护石*1	1	[{13020061,1,1}]
14016	首充礼包（60-99级）中品星之砂*1	1	[{13010021,1,1}]
14017	首充礼包（60-99级）中品升星开运石*1	1	[{13030021,1,1}]
14018	欢乐大礼包（40级）凡品经验丹	1	[{19010381,1,1}]
14019	欢乐大礼包（40级）凡品灵力丹	1	[{19010121,1,1}]
14020	欢乐大礼包（40级）凡品钱币符	1	[{19010081,1,1}]
14021	欢乐大礼包（40级）一定概率获得中品星之砂x1、3星保护石x1、中品打孔石x1、宠物资质提升符x1，蓝晶石x5	1	[{13010021,3},{13020031,3},{13050021,3},{13120011,3},{13110011,3,5},{0,15}]
14022	充值大礼包（1-59级）中品星之砂*1	1	[{13010021,1,1}]
14023	充值大礼包（1-59级）3星保护石*1	1	[{13020031,1,1}]
14024	充值大礼包（1-59级）中品升星开运石*1	1	[{13030021,1,1}]
14025	充值大礼包（1-59级）藏神石碎片*2	1	[{13070011,1,2}]
14026	充值大礼包（1-59级）赏善令*1	1	[{15000011,1,1}]
14027	充值大礼包（1-59级）九转紫金丹*1	1	[{19000271,1,1}]
14028	充值大礼包（1-59级）中品攻击丹*1	1	[{11050711,1,1}]
14029	充值大礼包（1-59级）中品防御丹*1	1	[{11050811,1,1}]
14030	充值大礼包（1-59级）中品生命丹*1	1	[{11050911,1,1}]
14031	充值大礼包（60-99级）中品星之砂*1	1	[{13010021,1,1}]
14032	充值大礼包（60-99级）4星保护石*1	1	[{13020041,1,1}]
14033	充值大礼包（60-99级）中品升星开运石*1	1	[{13030021,1,1}]
14034	充值大礼包（60-99级）藏神石碎片*2	1	[{13070011,1,2}]
14035	充值大礼包（60-99级）赏善令*1	1	[{15000011,1,1}]
14036	充值大礼包（60-99级）九转紫金丹*1	1	[{19000271,1,1}]
