level	hourexp	exchange
56	201600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
55	198000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
54	194400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
53	190800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
52	187200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
51	183600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
50	180000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
49	176400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
48	172800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
47	169200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
46	165600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
45	162000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
44	158400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
43	154800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
42	151200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
41	147600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
40	144000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
39	140400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
38	136800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
37	133200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
36	129600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
35	126000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
34	122400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
33	118800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
32	115200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
31	111600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
30	108000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
29	104400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
28	100800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
27	97200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
26	93600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
25	90000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
24	86400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
23	82800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
22	79200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
21	75600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
20	72000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
19	68400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
18	64800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
17	61200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
16	57600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
15	54000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
14	50400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
13	46800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
12	43200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
11	39600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
10	36000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
9	32400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
8	28800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
7	25200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
6	21600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
5	18000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
4	14400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
3	10800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
2	7200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
1	3600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
