id	name	level	npcflags	hpmax	mpmax	attacktype	power	commoncool	immunes	hitrate	dodge	criticalrate	criticaldestroyrate	toughness	debuff_resist	walkspeed	runspeed	exp	min_money	max_money	skills	skillrates	defense	hatredratio	alert_radius	bounding_radius	script_hatred	script_skill	displayid	walkdelaytime	faction	death_share	script_baseattr
1031202	木妖	65	2	5506	100	3	522	1500	{50,50,-50}	1354	476	50	933	455	{0,0,0,0,0}	4	8	195	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000047	0	2	1	[]
1031203	水魂	65	2	5506	100	3	522	1500	{50,50,-50}	1354	476	50	933	455	{0,0,0,0,0}	4	8	195	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000047	0	2	1	[]
1031204	火鬼	65	2	5506	100	3	522	1500	{50,50,-50}	1354	476	50	933	455	{0,0,0,0,0}	4	8	195	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000047	0	2	1	[]
1031205	土傀	65	2	5506	100	3	522	1500	{50,50,-50}	1354	476	50	933	455	{0,0,0,0,0}	4	8	195	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000047	0	2	1	[]
1031301	金灵	75	2	7852	100	3	850	1500	{50,50,-50}	1451	580	50	1023	552	{0,0,0,0,0}	4	8	225	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000045	0	2	1	[]
1031302	木妖	75	2	7852	100	3	850	1500	{50,50,-50}	1451	580	50	1023	552	{0,0,0,0,0}	4	8	225	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000045	0	2	1	[]
1031303	水魂	75	2	7852	100	3	850	1500	{50,50,-50}	1451	580	50	1023	552	{0,0,0,0,0}	4	8	225	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000045	0	2	1	[]
1031304	火鬼	75	2	7852	100	3	850	1500	{50,50,-50}	1451	580	50	1023	552	{0,0,0,0,0}	4	8	225	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000045	0	2	1	[]
1031305	土傀	75	2	7852	100	3	850	1500	{50,50,-50}	1451	580	50	1023	552	{0,0,0,0,0}	4	8	225	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000045	0	2	1	[]
1032001	鬼兵（近）	45	2	6803	0	3	204	1500	{0,0,0}	948	50	93	543	45	{0,0,0,0,0}	4	6	180	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032002	妖魅（远）	46	2	7162	0	2	222	1500	{0,0,0}	954	56	99	549	51	{0,0,0,0,0}	4	6	184	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032003	幽冥鬼火（魔）	47	2	7451	0	1	239	1500	{0,0,0}	958	60	103	553	55	{0,0,0,0,0}	4	6	188	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032004	范无救（BOSS）	48	2	39533	0	3	327	1500	{0,0,0}	964	67	109	559	61	{0,0,0,0,0}	4	6	960	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000061	4000	4	0	[]
1032005	妖狼（近）	49	2	8196	0	3	268	1500	{0,0,0}	968	71	112	562	65	{0,0,0,0,0}	4	6	196	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032006	僵尸弓手（远）	50	2	8568	0	2	285	1500	{0,0,0}	975	78	119	569	72	{0,0,0,0,0}	4	6	200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032007	紫炎鬼火（魔）	51	2	10509	0	1	396	1500	{0,0,0}	1025	130	164	614	119	{0,0,0,0,0}	4	6	204	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032008	谢必安（BOSS）	52	2	55090	0	2	674	1500	{0,0,0}	1034	140	174	624	129	{0,0,0,0,0}	4	6	1040	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100007	4000	4	0	[]
1032009	刀奴（近）	53	2	11417	0	3	428	1500	{0,0,0}	1040	146	178	628	134	{0,0,0,0,0}	4	6	212	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032010	妖魅（远）	54	2	12051	0	2	453	1500	{0,0,0}	1057	163	195	645	151	{0,0,0,0,0}	4	6	216	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032011	噬魂怪（魔）	55	2	14189	0	1	563	1500	{0,0,0}	1117	226	250	700	209	{0,0,0,0,0}	4	6	220	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032012	牛头（BOSS）	56	2	73760	0	1	1036	1500	{0,0,0}	1131	241	264	714	223	{0,0,0,0,0}	4	6	1120	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000062	4000	4	0	[]
1032013	无相（近）	57	2	15150	0	3	842	1500	{0,0,0}	1139	249	270	720	230	{0,0,0,0,0}	4	6	228	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032014	紫妖魅（远）	58	2	17802	0	2	1022	1500	{0,0,0}	1216	330	342	792	306	{0,0,0,0,0}	4	6	232	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032015	妖瞳（魔）	59	2	18279	0	1	1045	1500	{0,0,0}	1226	340	351	801	315	{0,0,0,0,0}	4	6	236	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032016	马面（BOSS）	60	2	108665	0	3	1782	1500	{0,0,0}	1326	444	445	895	413	{0,0,0,0,0}	4	6	1200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000049	4000	4	0	[]
1032017	鬼蜮（近）	61	2	22496	0	3	1421	1500	{0,0,0}	1338	457	455	905	424	{0,0,0,0,0}	4	6	244	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
1032018	魂师（远）	62	2	23480	0	2	1480	1500	{0,0,0}	1361	480	477	927	446	{0,0,0,0,0}	4	6	248	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032019	狐妖（魔）	63	2	26819	0	1	1735	1500	{0,0,0}	1451	575	560	1010	533	{0,0,0,0,0}	4	6	252	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032020	欲乐妖姬（BOSS）	64	2	139670	0	2	2424	1500	{0,0,0}	1478	602	586	1036	560	{0,0,0,0,0}	4	6	1280	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000046	4000	4	0	[]
1032021	妖僧（近）	65	2	28788	0	3	1962	1500	{0,0,0}	1491	617	597	1047	573	{0,0,0,0,0}	4	6	260	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032022	炽妖魅（远）	66	2	29711	0	2	2023	1500	{0,0,0}	1506	632	611	1061	587	{0,0,0,0,0}	4	6	264	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032023	腐蚀虫（魔）	67	2	33667	0	1	2345	1500	{0,0,0}	1610	741	706	1156	687	{0,0,0,0,0}	4	6	268	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032024	修罗（BOSS）	68	2	178798	0	1	3308	1500	{0,0,0}	1642	774	737	1187	720	{0,0,0,0,0}	4	6	1360	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000050	4000	4	0	[]
1032025	蛇妖（近）	70	2	44692	0	3	3264	1500	{0,0,0}	1869	1013	947	1397	941	{0,0,0,0,0}	4	6	280	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
1032026	火灵魅（远）	72	2	47236	0	2	3450	1500	{0,0,0}	1912	1058	986	1436	982	{0,0,0,0,0}	4	6	288	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032027	魑祟（魔）	74	2	49774	0	1	3636	1500	{0,0,0}	1954	1103	1024	1474	1023	{0,0,0,0,0}	4	6	296	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032028	花飘飘（BOSS）	76	2	270098	0	3	5215	1500	{0,0,0}	2016	1168	1082	1532	1084	{0,0,0,0,0}	4	6	1520	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100050	4000	4	0	[]
1032029	金鬼（近）	78	2	56626	0	3	4599	1500	{0,0,0}	2055	1209	1117	1567	1121	{0,0,0,0,0}	4	6	312	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032030	幽妖魅（远）	80	2	59132	0	2	4832	1500	{0,0,0}	2090	1246	1148	1598	1154	{0,0,0,0,0}	4	6	320	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032031	狐狸精（魔）	82	2	61648	0	1	5071	1500	{0,0,0}	2125	1283	1179	1629	1187	{0,0,0,0,0}	4	6	328	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032032	鼍龙（BOSS）	84	2	332600	0	2	8095	1500	{0,0,0}	2180	1340	1230	1680	1240	{0,0,0,0,0}	4	6	1680	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411110050	4000	4	0	[]
1032033	熊罴（近）	86	2	67960	0	3	5669	1500	{0,0,0}	2215	1377	1261	1711	1273	{0,0,0,0,0}	4	6	344	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
1032034	火灵（远）	88	2	68762	0	2	5785	1500	{0,0,0}	2250	1414	1292	1742	1306	{0,0,0,0,0}	4	6	352	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032035	美女蛇（魔）	89	2	69178	0	1	5843	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	356	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032036	金蟾（BOSS）	89	2	345888	0	1	11493	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	1780	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000050	4000	4	0	[]
1032037	木魃（近）	89	2	69178	0	3	11776	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	356	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032038	魂妖魅（远）	89	2	69178	0	2	12058	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	356	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032039	食腐花（魔）	89	2	69178	0	1	12341	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	356	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032040	烛九阴（BOSS）	89	2	345888	0	3	14318	1500	{0,0,0}	2268	1433	1307	1757	1322	{0,0,0,0,0}	4	6	1780	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000068	4000	4	0	[]
1032101	鬼兵（近）	45	2	6803	0	3	204	1500	{0,0,0}	948	50	93	543	45	{0,0,0,0,0}	4	6	180	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032101	鬼兵（近）	45	2	6803	0	3	204	1500	{0,0,0}	948	50	93	543	45	{0,0,0,0,0}	4	6	180	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032102	妖魅（远）	46	2	7162	0	2	222	1500	{0,0,0}	954	56	99	549	51	{0,0,0,0,0}	4	6	184	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032102	妖魅（远）	46	2	7162	0	2	222	1500	{0,0,0}	954	56	99	549	51	{0,0,0,0,0}	4	6	184	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032103	幽冥鬼火（魔）	47	2	7451	0	1	239	1500	{0,0,0}	958	60	103	553	55	{0,0,0,0,0}	4	6	188	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032103	幽冥鬼火（魔）	47	2	7451	0	1	239	1500	{0,0,0}	958	60	103	553	55	{0,0,0,0,0}	4	6	188	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032104	范无救（BOSS）	48	2	39533	0	3	327	1500	{0,0,0}	964	67	109	559	61	{0,0,0,0,0}	4	6	960	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000061	4000	4	0	[]
1032104	范无救（BOSS）	48	2	39533	0	3	327	1500	{0,0,0}	964	67	109	559	61	{0,0,0,0,0}	4	6	960	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000061	4000	4	0	[]
1032105	妖狼（近）	49	2	8196	0	3	268	1500	{0,0,0}	968	71	112	562	65	{0,0,0,0,0}	4	6	196	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032105	妖狼（近）	49	2	8196	0	3	268	1500	{0,0,0}	968	71	112	562	65	{0,0,0,0,0}	4	6	196	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000059	4000	4	0	[]
1032106	僵尸弓手（远）	50	2	8568	0	2	285	1500	{0,0,0}	975	78	119	569	72	{0,0,0,0,0}	4	6	200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032106	僵尸弓手（远）	50	2	8568	0	2	285	1500	{0,0,0}	975	78	119	569	72	{0,0,0,0,0}	4	6	200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032107	紫炎鬼火（魔）	51	2	10509	0	1	396	1500	{0,0,0}	1025	130	164	614	119	{0,0,0,0,0}	4	6	204	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032107	紫炎鬼火（魔）	51	2	10509	0	1	396	1500	{0,0,0}	1025	130	164	614	119	{0,0,0,0,0}	4	6	204	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032108	谢必安（BOSS）	52	2	55090	0	2	674	1500	{0,0,0}	1034	140	174	624	129	{0,0,0,0,0}	4	6	1040	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100007	4000	4	0	[]
1032108	谢必安（BOSS）	52	2	55090	0	2	674	1500	{0,0,0}	1034	140	174	624	129	{0,0,0,0,0}	4	6	1040	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100007	4000	4	0	[]
1032109	刀奴（近）	53	2	11417	0	3	428	1500	{0,0,0}	1040	146	178	628	134	{0,0,0,0,0}	4	6	212	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032109	刀奴（近）	53	2	11417	0	3	428	1500	{0,0,0}	1040	146	178	628	134	{0,0,0,0,0}	4	6	212	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032110	妖魅（远）	54	2	12051	0	2	453	1500	{0,0,0}	1057	163	195	645	151	{0,0,0,0,0}	4	6	216	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032110	妖魅（远）	54	2	12051	0	2	453	1500	{0,0,0}	1057	163	195	645	151	{0,0,0,0,0}	4	6	216	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032111	噬魂怪（魔）	55	2	14189	0	1	563	1500	{0,0,0}	1117	226	250	700	209	{0,0,0,0,0}	4	6	220	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032111	噬魂怪（魔）	55	2	14189	0	1	563	1500	{0,0,0}	1117	226	250	700	209	{0,0,0,0,0}	4	6	220	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032112	牛头（BOSS）	56	2	73760	0	1	1036	1500	{0,0,0}	1131	241	264	714	223	{0,0,0,0,0}	4	6	1120	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000062	4000	4	0	[]
1032112	牛头（BOSS）	56	2	73760	0	1	1036	1500	{0,0,0}	1131	241	264	714	223	{0,0,0,0,0}	4	6	1120	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000062	4000	4	0	[]
1032113	无相（近）	57	2	15150	0	3	842	1500	{0,0,0}	1139	249	270	720	230	{0,0,0,0,0}	4	6	228	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032113	无相（近）	57	2	15150	0	3	842	1500	{0,0,0}	1139	249	270	720	230	{0,0,0,0,0}	4	6	228	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032114	紫妖魅（远）	58	2	17802	0	2	1022	1500	{0,0,0}	1216	330	342	792	306	{0,0,0,0,0}	4	6	232	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032114	紫妖魅（远）	58	2	17802	0	2	1022	1500	{0,0,0}	1216	330	342	792	306	{0,0,0,0,0}	4	6	232	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032115	妖瞳（魔）	59	2	18279	0	1	1045	1500	{0,0,0}	1226	340	351	801	315	{0,0,0,0,0}	4	6	236	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032115	妖瞳（魔）	59	2	18279	0	1	1045	1500	{0,0,0}	1226	340	351	801	315	{0,0,0,0,0}	4	6	236	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032116	魔渊统领（BOSS）	60	2	108665	0	3	1782	1500	{0,0,0}	1326	444	445	895	413	{0,0,0,0,0}	4	6	1200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000049	4000	4	0	[]
1032116	魔渊统领（BOSS）	60	2	108665	0	3	1782	1500	{0,0,0}	1326	444	445	895	413	{0,0,0,0,0}	4	6	1200	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000049	4000	4	0	[]
1032117	鬼蜮（近）	61	2	22496	0	3	1421	1500	{0,0,0}	1338	457	455	905	424	{0,0,0,0,0}	4	6	244	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
1032117	鬼蜮（近）	61	2	22496	0	3	1421	1500	{0,0,0}	1338	457	455	905	424	{0,0,0,0,0}	4	6	244	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
1032118	魂师（远）	62	2	23480	0	2	1480	1500	{0,0,0}	1361	480	477	927	446	{0,0,0,0,0}	4	6	248	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032118	魂师（远）	62	2	23480	0	2	1480	1500	{0,0,0}	1361	480	477	927	446	{0,0,0,0,0}	4	6	248	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000047	4000	4	0	[]
1032119	狐妖（魔）	63	2	26819	0	1	1735	1500	{0,0,0}	1451	575	560	1010	533	{0,0,0,0,0}	4	6	252	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032119	狐妖（魔）	63	2	26819	0	1	1735	1500	{0,0,0}	1451	575	560	1010	533	{0,0,0,0,0}	4	6	252	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000048	4000	4	0	[]
1032120	欲乐妖姬（BOSS）	64	2	139670	0	2	2424	1500	{0,0,0}	1478	602	586	1036	560	{0,0,0,0,0}	4	6	1280	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000046	4000	4	0	[]
1032120	欲乐妖姬（BOSS）	64	2	139670	0	2	2424	1500	{0,0,0}	1478	602	586	1036	560	{0,0,0,0,0}	4	6	1280	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000046	4000	4	0	[]
1032121	妖僧（近）	65	2	28788	0	3	1962	1500	{0,0,0}	1491	617	597	1047	573	{0,0,0,0,0}	4	6	260	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032121	妖僧（近）	65	2	28788	0	3	1962	1500	{0,0,0}	1491	617	597	1047	573	{0,0,0,0,0}	4	6	260	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000045	4000	4	0	[]
1032122	炽妖魅（远）	66	2	29711	0	2	2023	1500	{0,0,0}	1506	632	611	1061	587	{0,0,0,0,0}	4	6	264	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032122	炽妖魅（远）	66	2	29711	0	2	2023	1500	{0,0,0}	1506	632	611	1061	587	{0,0,0,0,0}	4	6	264	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411000030	4000	4	0	[]
1032123	腐蚀虫（魔）	67	2	33667	0	1	2345	1500	{0,0,0}	1610	741	706	1156	687	{0,0,0,0,0}	4	6	268	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032123	腐蚀虫（魔）	67	2	33667	0	1	2345	1500	{0,0,0}	1610	741	706	1156	687	{0,0,0,0,0}	4	6	268	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	411100048	4000	4	0	[]
1032124	修罗（BOSS）	68	2	178798	0	1	3308	1500	{0,0,0}	1642	774	737	1187	720	{0,0,0,0,0}	4	6	1360	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000050	4000	4	0	[]
1032124	修罗（BOSS）	68	2	178798	0	1	3308	1500	{0,0,0}	1642	774	737	1187	720	{0,0,0,0,0}	4	6	1360	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000050	4000	4	0	[]
1032125	蛇妖（近）	70	2	44692	0	3	3264	1500	{0,0,0}	1869	1013	947	1397	941	{0,0,0,0,0}	4	6	280	0	0	[{560000001,1}]	0	{0,0,0}	1	80	80	3	[]	410000060	4000	4	0	[]
