chapter	stage	difficulty	class	section	spawns
2	8	1	3	2	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	2	2	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	1	2	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	3	1	[{1820801,{33,58}},{1820801,{33,43}}]
2	8	1	2	1	[{1820801,{33,58}},{1820801,{33,43}}]
2	8	1	1	1	[{1820801,{33,58}},{1820801,{33,43}}]
2	7	1	3	10	[{1820704,{45,52}}]
2	7	1	2	10	[{1820704,{45,52}}]
2	7	1	1	10	[{1820704,{45,52}}]
2	7	1	3	9	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	2	9	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	1	9	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	3	8	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	2	8	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	1	8	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	3	7	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	2	7	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	1	7	[{1820703,{33,58}},{1820703,{33,43}},{1820703,{39,58}},{1820703,{39,43}}]
2	7	1	3	6	[{1820703,{33,58}},{1820703,{33,43}}]
2	7	1	2	6	[{1820703,{33,58}},{1820703,{33,43}}]
2	7	1	1	6	[{1820703,{33,58}},{1820703,{33,43}}]
2	7	1	3	5	[{1820702,{45,52}}]
2	7	1	2	5	[{1820702,{45,52}}]
2	7	1	1	5	[{1820702,{45,52}}]
2	7	1	3	4	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	2	4	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	1	4	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	3	3	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	2	3	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	1	3	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	3	2	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	2	2	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	1	2	[{1820701,{33,58}},{1820701,{33,43}},{1820701,{39,58}},{1820701,{39,43}}]
2	7	1	3	1	[{1820701,{33,58}},{1820701,{33,43}}]
2	7	1	2	1	[{1820701,{33,58}},{1820701,{33,43}}]
2	7	1	1	1	[{1820701,{33,58}},{1820701,{33,43}}]
2	5	1	3	10	[{1820503,{55,54}}]
2	5	1	2	10	[{1820503,{55,54}}]
2	5	1	1	10	[{1820503,{55,54}}]
2	5	1	3	9	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	2	9	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	1	9	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	3	8	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	2	8	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	1	8	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	3	7	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	2	7	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	1	7	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	3	6	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	2	6	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	1	6	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	3	5	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	2	5	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	1	5	[{1820502,{49,86}},{1820502,{54,86}},{1820502,{85,54}},{1820502,{85,49}},{1820502,{55,54}}]
2	5	1	3	4	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	2	4	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	1	4	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	3	3	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	2	3	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	1	3	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	3	2	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	2	2	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	1	2	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	3	1	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	2	1	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	5	1	1	1	[{1820501,{49,86}},{1820501,{54,86}},{1820501,{85,54}},{1820501,{85,49}},{1820501,{55,54}}]
2	4	1	3	6	[{1820401,{55,54}}]
2	4	1	2	6	[{1820401,{55,54}}]
2	4	1	1	6	[{1820401,{55,54}}]
2	4	1	3	5	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	2	5	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	1	5	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	3	4	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	2	4	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	1	4	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}},{1820401,{55,54}}]
2	4	1	3	3	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}}]
2	4	1	2	3	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}}]
2	4	1	1	3	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}},{1820401,{85,49}}]
2	4	1	3	2	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
2	4	1	2	2	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
2	4	1	1	2	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
2	4	1	3	1	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
2	4	1	2	1	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
2	4	1	1	1	[{1820401,{49,86}},{1820401,{54,86}},{1820401,{85,54}}]
1	9	1	3	5	[{1810902,{43,66}}]
1	9	1	2	5	[{1810902,{43,66}}]
1	9	1	1	5	[{1810902,{43,66}}]
1	9	1	3	4	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}},{1810901,{46,63}}]
1	9	1	2	4	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}},{1810901,{46,63}}]
1	9	1	1	4	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}},{1810901,{46,63}}]
1	9	1	3	3	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}}]
1	9	1	2	3	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}}]
1	9	1	1	3	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}},{1810901,{46,70}}]
1	9	1	3	2	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	9	1	2	2	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	9	1	1	2	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	9	1	3	1	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	9	1	2	1	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	9	1	1	1	[{1810901,{43,66}},{1810901,{43,74}},{1810901,{43,59}}]
1	3	1	3	5	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}},{1810301,{61,53}}]
1	3	1	2	5	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}},{1810301,{61,53}}]
1	3	1	1	5	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}},{1810301,{61,53}}]
1	3	1	3	4	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	2	4	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	1	4	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	3	3	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	2	3	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	1	3	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}},{1810301,{61,64}}]
1	3	1	3	2	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
1	3	1	2	2	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
1	3	1	1	2	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
1	3	1	3	1	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
1	3	1	2	1	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
1	3	1	1	1	[{1810301,{44,77}},{1810301,{44,43}},{1810301,{61,58}}]
