setid	entry
51	[{11005011,1},{11005021,1},{11005031,1},{11005041,1},{11005051,1},{11005061,1},{11005071,1},{11005081,1},{11005091,1},{11005101,1},{11005111,1},{11005111,1},{11005121,1},{11005131,1},{11005131,1},{11005141,1},{11005151,1},{12000104,7},{12000204,7},{12000304,7},{12000404,7},{12000704,7},{12000804,7},{12001004,7},{12001104,7},{12001204,7},{12001304,7},{12001704,7},{12001804,7},{14300025,5},{14300025,1},{14300025,1},{14300025,1},{14300025,1},{14000017,99},{14000035,99}]
45	[{11004015,1},{11004025,1},{11004035,1},{11004045,1},{11004055,1},{11004065,1},{11004075,1},{11004085,1},{11004095,1},{11004105,1},{11004115,1},{11004115,1},{11004125,1},{11004135,1},{11004135,1},{11004145,1},{11004155,1},{12000103,7},{12000203,7},{12000303,7},{12000403,7},{12000703,7},{12000803,7},{12001003,7},{12001103,7},{12001203,7},{12001303,7},{12001703,7},{12001803,7},{14200025,5},{14200025,1},{14200025,1},{14200025,1},{14200025,1},{14000017,99},{14000035,99}]
44	[{11004014,1},{11004024,1},{11004034,1},{11004044,1},{11004054,1},{11004064,1},{11004074,1},{11004084,1},{11004094,1},{11004104,1},{11004114,1},{11004114,1},{11004124,1},{11004134,1},{11004134,1},{11004144,1},{11004154,1},{12000103,7},{12000203,7},{12000303,7},{12000403,7},{12000703,7},{12000803,7},{12001003,7},{12001103,7},{12001203,7},{12001303,7},{12001703,7},{12001803,7},{14200025,5},{14200025,1},{14200025,1},{14200025,1},{14200025,1},{14000017,99},{14000035,99}]
43	[{11004013,1},{11004023,1},{11004033,1},{11004043,1},{11004053,1},{11004063,1},{11004073,1},{11004083,1},{11004093,1},{11004103,1},{11004113,1},{11004113,1},{11004123,1},{11004133,1},{11004133,1},{11004143,1},{11004153,1},{12000103,7},{12000203,7},{12000303,7},{12000403,7},{12000703,7},{12000803,7},{12001003,7},{12001103,7},{12001203,7},{12001303,7},{12001703,7},{12001803,7},{14200025,5},{14200025,1},{14200025,1},{14200025,1},{14200025,1},{14000017,99},{14000035,99}]
42	[{11004012,1},{11004022,1},{11004032,1},{11004042,1},{11004052,1},{11004062,1},{11004072,1},{11004082,1},{11004092,1},{11004102,1},{11004112,1},{11004112,1},{11004122,1},{11004132,1},{11004132,1},{11004142,1},{11004152,1},{12000103,7},{12000203,7},{12000303,7},{12000403,7},{12000703,7},{12000803,7},{12001003,7},{12001103,7},{12001203,7},{12001303,7},{12001703,7},{12001803,7},{14200025,5},{14200025,1},{14200025,1},{14200025,1},{14200025,1},{14000017,99},{14000035,99}]
41	[{11004011,1},{11004021,1},{11004031,1},{11004041,1},{11004051,1},{11004061,1},{11004071,1},{11004081,1},{11004091,1},{11004101,1},{11004111,1},{11004111,1},{11004121,1},{11004131,1},{11004131,1},{11004141,1},{11004151,1},{12000103,7},{12000203,7},{12000303,7},{12000403,7},{12000703,7},{12000803,7},{12001003,7},{12001103,7},{12001203,7},{12001303,7},{12001703,7},{12001803,7},{14200025,5},{14200025,1},{14200025,1},{14200025,1},{14200025,1},{14000017,99},{14000035,99}]
35	[{11003015,1},{11003025,1},{11003035,1},{11003045,1},{11003055,1},{11003065,1},{11003075,1},{11003085,1},{11003095,1},{11003105,1},{11003115,1},{11003115,1},{11003125,1},{11003135,1},{11003135,1},{11003145,1},{11003155,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
34	[{11003014,1},{11003024,1},{11003034,1},{11003044,1},{11003054,1},{11003064,1},{11003074,1},{11003084,1},{11003094,1},{11003104,1},{11003114,1},{11003114,1},{11003124,1},{11003134,1},{11003134,1},{11003144,1},{11003154,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
33	[{11003013,1},{11003023,1},{11003033,1},{11003043,1},{11003053,1},{11003063,1},{11003073,1},{11003083,1},{11003093,1},{11003103,1},{11003113,1},{11003113,1},{11003123,1},{11003133,1},{11003133,1},{11003143,1},{11003153,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
32	[{11003012,1},{11003022,1},{11003032,1},{11003042,1},{11003052,1},{11003062,1},{11003072,1},{11003082,1},{11003092,1},{11003102,1},{11003112,1},{11003112,1},{11003122,1},{11003132,1},{11003132,1},{11003142,1},{11003152,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
31	[{11003011,1},{11003021,1},{11003031,1},{11003041,1},{11003051,1},{11003061,1},{11003071,1},{11003081,1},{11003091,1},{11003101,1},{11003111,1},{11003111,1},{11003121,1},{11003131,1},{11003131,1},{11003141,1},{11003151,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
25	[{11002015,1},{11002025,1},{11002035,1},{11002045,1},{11002055,1},{11002065,1},{11002075,1},{11002085,1},{11002095,1},{11002105,1},{11002115,1},{11002115,1},{11002125,1},{11002135,1},{11002135,1},{11002145,1},{11002155,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
24	[{11002014,1},{11002024,1},{11002034,1},{11002044,1},{11002054,1},{11002064,1},{11002074,1},{11002084,1},{11002094,1},{11002104,1},{11002114,1},{11002114,1},{11002124,1},{11002134,1},{11002134,1},{11002144,1},{11002154,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
23	[{11002013,1},{11002023,1},{11002033,1},{11002043,1},{11002053,1},{11002063,1},{11002073,1},{11002083,1},{11002093,1},{11002103,1},{11002113,1},{11002113,1},{11002123,1},{11002133,1},{11002133,1},{11002143,1},{11002153,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
22	[{11002012,1},{11002022,1},{11002032,1},{11002042,1},{11002052,1},{11002062,1},{11002072,1},{11002082,1},{11002092,1},{11002102,1},{11002112,1},{11002112,1},{11002122,1},{11002132,1},{11002132,1},{11002142,1},{11002152,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
21	[{11002011,1},{11002021,1},{11002031,1},{11002041,1},{11002051,1},{11002061,1},{11002071,1},{11002081,1},{11002091,1},{11002101,1},{11002111,1},{11002111,1},{11002121,1},{11002131,1},{11002131,1},{11002141,1},{11002151,1},{12000102,7},{12000202,7},{12000302,7},{12000402,7},{12000702,7},{12000802,7},{12001002,7},{12001102,7},{12001202,7},{12001302,7},{12001702,7},{12001802,7},{14100025,5},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
15	[{11001015,1},{11001025,1},{11001035,1},{11001045,1},{11001055,1},{11001065,1},{11001075,1},{11001085,1},{11001095,1},{11001105,1},{11001115,1},{11001115,1},{11001125,1},{11001135,1},{11001135,1},{11001145,1},{11001155,1},{12000101,7},{12000201,7},{12000301,7},{12000401,7},{12000701,7},{12000801,7},{12001001,7},{12001101,7},{12001201,7},{12001301,7},{12001701,7},{12001801,7},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
14	[{11001014,1},{11001024,1},{11001034,1},{11001044,1},{11001054,1},{11001064,1},{11001074,1},{11001084,1},{11001094,1},{11001104,1},{11001114,1},{11001114,1},{11001124,1},{11001134,1},{11001134,1},{11001144,1},{11001154,1},{12000101,7},{12000201,7},{12000301,7},{12000401,7},{12000701,7},{12000801,7},{12001001,7},{12001101,7},{12001201,7},{12001301,7},{12001701,7},{12001801,7},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
13	[{11001013,1},{11001023,1},{11001033,1},{11001043,1},{11001053,1},{11001063,1},{11001073,1},{11001083,1},{11001093,1},{11001103,1},{11001113,1},{11001113,1},{11001123,1},{11001133,1},{11001133,1},{11001143,1},{11001153,1},{12000101,7},{12000201,7},{12000301,7},{12000401,7},{12000701,7},{12000801,7},{12001001,7},{12001101,7},{12001201,7},{12001301,7},{12001701,7},{12001801,7},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
12	[{11001012,1},{11001022,1},{11001032,1},{11001042,1},{11001052,1},{11001062,1},{11001072,1},{11001082,1},{11001092,1},{11001102,1},{11001112,1},{11001112,1},{11001122,1},{11001132,1},{11001132,1},{11001142,1},{11001152,1},{12000101,7},{12000201,7},{12000301,7},{12000401,7},{12000701,7},{12000801,7},{12001001,7},{12001101,7},{12001201,7},{12001301,7},{12001701,7},{12001801,7},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
11	[{11001011,1},{11001021,1},{11001031,1},{11001041,1},{11001051,1},{11001061,1},{11001071,1},{11001081,1},{11001091,1},{11001101,1},{11001111,1},{11001111,1},{11001121,1},{11001131,1},{11001131,1},{11001141,1},{11001151,1},{12000101,7},{12000201,7},{12000301,7},{12000401,7},{12000701,7},{12000801,7},{12001001,7},{12001101,7},{12001201,7},{12001301,7},{12001701,7},{12001801,7},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14100025,1},{14000017,99},{14000035,99}]
