id	ntype	special_type	ishot	name	sort	price	discount	tips	displayid	restrict	bodcast
19010110	4	0	0	高级铜钱符	107	[{2,500}]	[]	这里填入信息	2430024	[]	0
19010141	0	0	0	高级灵力丹	510	[]	[]	这里填入信息	2410054	[]	0
19010180	4	203	1	周卡	103	[{2,200}]	[{1,99}]	这里填入信息	2410043	[]	0
19010190	4	203	1	月卡	102	[{2,800}]	[{1,499}]	这里填入信息	2420043	[]	0
19010210	4	203	0	至尊卡	101	[{2,4000}]	[{1,1999}]	这里填入信息	2440043	[]	0
19010240	4	207	0	背包扩充	110	[{2,200}]	[{1,88}]	这里填入信息	1400018	[]	0
19010241	0	0	0	背包扩充卡	508	[]	[]	这里填入信息	1400018	[]	0
19010250	4	208	0	仓库扩充	111	[{2,200}]	[{1,68}]	这里填入信息	1400027	[]	0
19010280	4	0	0	1.5倍经验丹	104	[{2,30}]	[{1,18}]	这里填入信息	1400022	[]	0
19010281	100	0	0	1.5倍经验丹	501	[{3,40}]	[]	这里填入信息	1400022	[]	0
19010650	4	0	0	悟性成长符	113	[{2,100}]	[{1,35}]	这里填入信息	1400085	[]	0
19010670	2	0	0	充气娃娃（空）	409	[{2,80}]	[{1,58}]	这里填入信息	1304106	[]	0
19010690	2	0	0	绣花针	410	[{2,100}]	[{1,88}]	这里填入信息	1205101	[]	0
19010900	4	206	0	弹劾令	118	[{2,800}]	[{1,388}]	这里填入信息	1400218	[]	0
19250530	4	0	0	建帮令	117	[{2,500}]	[{1,88}]	这里填入信息	1600007	[]	0
21000630	0	0	0	紫色宠物元神	700	[{2,5000}]	[{1,2888}]	这里填入信息	210000	[]	0
21000720	6	0	1	蓝色宠物元神	700	[{2,188}]	[]	这里填入信息	210000	[]	0
21000830	0	0	0	地球宝宝元神	699	[{2,6000}]	[{1,1688}]	这里填入信息	210000	[]	0
21080200	6	0	0	高级宠物口粮	712	[{2,5}]	[]	这里填入信息	1400105	[]	0
23000121	100	0	0	无字天书	508	[{3,80}]	[]	这里填入信息	1400227	[]	0
