level	exp	maxhp	sysaddattr
39	13860	820	{100,100,100,1,43,43,43,1,1,1,1,0,0,0}
38	13440	790	{96,96,96,1,33,33,33,1,1,1,1,0,0,0}
37	13020	760	{92,92,92,1,33,33,33,1,1,1,1,0,0,0}
36	12600	730	{88,88,88,1,33,33,33,1,1,1,1,0,0,0}
35	12180	700	{84,84,84,1,33,33,33,1,1,1,1,0,0,0}
34	11760	670	{80,80,80,1,33,33,33,1,1,1,1,0,0,0}
33	11340	640	{76,76,76,1,33,33,33,1,1,1,1,0,0,0}
32	10920	610	{72,72,72,1,33,33,33,1,1,1,1,0,0,0}
31	10500	580	{68,68,68,1,33,33,33,1,1,1,1,0,0,0}
30	10080	550	{64,64,64,1,33,33,33,1,1,1,1,0,0,0}
29	9660	530	{61,61,61,1,33,33,33,1,1,1,1,0,0,0}
28	9240	510	{58,58,58,1,23,23,23,1,1,1,1,0,0,0}
27	8820	490	{55,55,55,1,23,23,23,1,1,1,1,0,0,0}
26	8400	470	{52,52,52,1,23,23,23,1,1,1,1,0,0,0}
25	7980	450	{49,49,49,1,23,23,23,1,1,1,1,0,0,0}
24	7560	430	{46,46,46,1,23,23,23,1,1,1,1,0,0,0}
23	7140	410	{43,43,43,1,23,23,23,1,1,1,1,0,0,0}
22	6720	390	{40,40,40,1,23,23,23,1,1,1,1,0,0,0}
21	6300	370	{37,37,37,1,23,23,23,1,1,1,1,0,0,0}
20	5880	350	{34,34,34,1,23,23,23,1,1,1,1,0,0,0}
19	5460	295	{32,32,32,1,23,23,23,1,1,1,1,0,0,0}
18	5040	285	{30,30,30,1,13,13,13,1,1,1,1,0,0,0}
17	4620	275	{28,28,28,1,13,13,13,1,1,1,1,0,0,0}
16	4200	265	{26,26,26,1,13,13,13,1,1,1,1,0,0,0}
15	3780	255	{24,24,24,1,13,13,13,1,1,1,1,0,0,0}
14	3480	245	{22,22,22,1,13,13,13,1,1,1,1,0,0,0}
13	3180	235	{20,20,20,1,13,13,13,1,1,1,1,0,0,0}
12	2880	225	{18,18,18,1,13,13,13,1,1,1,1,0,0,0}
11	2580	215	{16,16,16,1,13,13,13,1,1,1,1,0,0,0}
10	2280	200	{14,14,14,1,13,13,13,1,1,1,1,0,0,0}
9	1980	180	{13,13,13,1,3,3,3,1,1,1,1,0,0,0}
8	1680	170	{12,12,12,1,3,3,3,1,1,1,1,0,0,0}
7	1380	160	{11,11,11,1,3,3,3,1,1,1,1,0,0,0}
6	1080	150	{10,10,10,1,3,3,3,1,1,1,1,0,0,0}
5	780	140	{9,9,9,1,3,3,3,1,1,1,1,0,0,0}
4	600	130	{8,8,8,1,3,3,3,1,1,1,1,0,0,0}
3	420	120	{7,7,7,1,3,3,3,1,1,1,1,0,0,0}
2	240	110	{6,6,6,1,3,3,3,1,1,1,1,0,0,0}
1	60	100	{5,5,5,1,3,3,3,1,1,1,1,0,0,0}
