id	mapid	coord	type	level	items	money	viplevel
88818401	18401	{61,59}	1	0	[]	0	0
88818309	18309	{79,62}	1	0	[]	0	0
88818308	18308	{56,89}	1	0	[]	0	0
88818307	18307	{58,39}	1	0	[]	0	0
88818306	18306	{58,39}	1	0	[]	0	0
88818310	18310	{60,65}	1	0	[]	0	0
88818305	18305	{61,59}	1	0	[]	0	0
88818304	18304	{62,57}	1	0	[]	0	0
88818303	18303	{62,57}	1	0	[]	0	0
88818302	18302	{62,57}	1	0	[]	0	0
88818301	18301	{62,57}	1	0	[]	0	0
88818210	18210	{44,57}	1	0	[]	0	0
88818209	18209	{44,57}	1	0	[]	0	0
88818206	18206	{43,99}	1	0	[]	0	0
88818205	18205	{48,48}	1	0	[]	0	0
88818204	18204	{48,48}	1	0	[]	0	0
88818208	18208	{35,50}	1	0	[]	0	0
88818207	18207	{35,50}	1	0	[]	0	0
88818203	18203	{39,40}	1	0	[]	0	0
88818202	18202	{69,83}	1	0	[]	0	0
88818201	18201	{69,83}	1	0	[]	0	0
88818112	18112	{52,66}	1	0	[]	0	0
88818111	18111	{52,66}	1	0	[]	0	0
88818110	18110	{70,65}	1	0	[]	0	0
88818109	18109	{57,66}	1	0	[]	0	0
88818108	18108	{72,57}	1	0	[]	0	0
88818107	18107	{61,59}	1	0	[]	0	0
88818106	18106	{97,71}	1	0	[]	0	0
88818105	18105	{65,65}	1	0	[]	0	0
88818103	18103	{42,61}	1	0	[]	0	0
88818104	18104	{71,64}	1	0	[]	0	0
88818102	18102	{71,64}	1	0	[]	0	0
88818101	18101	{63,60}	1	0	[]	0	0
3001601	10004	{67,95}	1	0	[]	0	0
150001600	1600	{129,15}	0	0	[]	0	0
41071600	1600	{137,46}	0	0	[]	0	0
5001600	1600	{98,84}	0	0	[]	0	0
160001500	1500	{52,103}	0	0	[]	0	0
120001500	1500	{62,21}	0	0	[]	0	0
41061500	1500	{135,33}	0	0	[]	0	0
5001500	1500	{192,268}	0	0	[]	0	0
1001403	14003	{23,48}	1	0	[]	0	0
5001403	14003	{32,48}	1	0	[]	0	0
14001401	10010	{180,121}	1	0	[]	0	0
14011400	1400	{19,202}	0	0	[]	0	0
12001400	1400	{114,99}	0	0	[]	0	0
41051400	1400	{172,270}	0	0	[]	0	0
41041400	1400	{261,160}	0	0	[]	0	0
41031400	1400	{145,49}	0	0	[]	0	0
7001400	1400	{44,137}	0	0	[]	0	0
13001301	1301	{45,19}	0	0	[]	0	0
13011300	1300	{226,183}	0	0	[]	0	0
12001300	1300	{68,204}	0	0	[]	0	0
41021300	1300	{293,249}	0	0	[]	0	0
7001300	1300	{46,102}	0	0	[]	0	0
30001206	1206	{261,156}	0	0	[]	0	4
30001205	1205	{261,156}	0	0	[]	0	4
12001202	1202	{262,161}	0	0	[]	0	0
3001201	10011	{43,43}	1	0	[]	0	0
150001200	1200	{117,97}	0	0	[]	0	0
12111411	1200	{320,217}	0	0	[]	0	0
12101410	1200	{325,262}	0	0	[]	0	0
3001200	1200	{142,165}	0	30	[]	0	0
7001200	1200	{276,150}	0	30	[]	0	0
14001200	1200	{272,182}	0	30	[]	0	0
13001200	1200	{290,165}	0	30	[]	0	0
4001100	1100	{278,174}	0	0	[]	0	0
3001001	10001	{82,118}	1	0	[]	0	0
10011000	1000	{107,160}	0	0	[]	0	0
7011000	1000	{141,186}	0	0	[]	0	0
7001000	1000	{135,69}	0	0	[]	0	0
3331000	1000	{56,140}	0	0	[]	0	0
6011000	1000	{91,155}	0	0	[]	0	0
6001000	1000	{135,217}	0	0	[]	0	0
3001000	1000	{131,67}	0	0	[]	0	0
9010902	10005	{118,94}	1	0	[]	0	0
5010901	10004	{115,71}	1	0	[]	0	0
3000900	900	{166,137}	0	0	[]	50	0
8000900	900	{126,182}	0	0	[]	0	0
9000800	800	{168,120}	0	0	[]	0	0
10000701	701	{234,166}	0	0	[]	0	0
6000700	700	{51,164}	0	0	[]	0	0
12000700	700	{190,139}	0	0	[]	0	0
10000700	700	{102,201}	0	0	[]	0	0
41010700	700	{185,266}	0	0	[]	0	0
13000700	700	{208,125}	0	0	[]	0	0
14000700	700	{233,150}	0	0	[]	0	0
3000700	700	{32,113}	0	0	[]	0	0
6000604	604	{24,73}	0	0	[]	0	0
3000802	10016	{177,91}	1	0	[]	0	0
3000801	10015	{177,91}	1	0	[]	0	0
3000605	10005	{217,130}	1	0	[]	0	0
3000603	10002	{34,110}	1	0	[]	0	0
6000602	602	{62,36}	0	0	[]	0	0
6000601	601	{62,36}	0	0	[]	0	0
10000601	60100	{55,43}	1	0	[]	0	0
7000600	600	{187,337}	0	0	[]	0	0
6040600	600	{235,97}	0	0	[]	0	0
6030600	600	{31,172}	0	0	[]	0	0
6020600	600	{79,229}	0	0	[]	0	0
6010600	600	{174,266}	0	0	[]	0	0
4000600	600	{360,218}	0	0	[]	0	0
41080600	600	{39,164}	0	0	[]	0	0
3000600	600	{284,171}	0	0	[]	50	0
10000600	600	{347,213}	0	0	[]	0	0
5000503	503	{50,29}	0	0	[]	0	0
3000502	10003	{197,153}	1	0	[]	0	0
5000501	501	{176,85}	0	0	[]	0	0
9020501	501	{101,45}	0	0	[]	0	0
9010501	501	{101,45}	0	0	[]	0	0
5030500	500	{201,212}	0	0	[]	0	0
16000500	500	{342,218}	0	0	[]	0	0
15000500	500	{132,77}	0	0	[]	0	0
14030500	500	{139,255}	0	0	[]	0	0
3000500	500	{40,81}	0	0	[]	0	0
11000400	400	{66,22}	0	0	[]	0	0
6000400	400	{18,76}	0	0	[]	0	0
2000400	400	{74,134}	0	0	[]	0	0
3000333	333	{173,292}	0	65	[]	0	0
41090333	333	{253,147}	0	0	[]	0	0
10000333	333	{172,288}	0	0	[]	0	0
3300331	331	{282,315}	0	60	[]	0	0
3000330	330	{282,315}	0	40	[]	0	0
3000321	30021	{54,57}	1	0	[]	0	0
3000320	30020	{54,57}	1	0	[]	0	0
3000313	313	{90,89}	0	75	[]	0	0
3000312	312	{90,89}	0	65	[]	0	0
3000311	311	{90,89}	0	55	[]	0	0
3000310	310	{90,89}	0	45	[]	0	0
3000309	309	{90,89}	0	35	[]	0	0
3010307	307	{46,37}	0	0	[]	0	0
30003068	20008	{33,33}	1	0	[]	8000	0
30003067	20007	{33,33}	1	0	[]	7000	0
30003066	20006	{33,33}	1	0	[]	6000	0
30003065	20005	{33,33}	1	0	[]	5000	0
30003064	20004	{33,33}	1	0	[]	4000	0
30003063	20003	{33,33}	1	0	[]	3000	0
30003062	20002	{33,33}	1	0	[]	2000	0
30003061	20001	{33,33}	1	0	[]	0	0
3000305	305	{49,56}	0	0	[]	0	0
3000304	304	{63,44}	0	0	[]	0	0
3060303	303	{45,45}	0	0	[]	0	0
3000303	303	{60,45}	0	0	[]	0	0
3000302	302	{63,44}	0	0	[]	0	0
3070301	301	{37,21}	0	0	[]	0	0
3000301	301	{46,36}	0	0	[]	0	0
70300300	300	{89,212}	0	0	[]	0	0
12010300	300	{74,193}	0	0	[]	0	0
12060300	300	{160,170}	0	0	[]	0	0
12050300	300	{160,170}	0	0	[]	0	0
80100300	300	{71,143}	0	0	[]	0	0
20010300	300	{79,167}	0	0	[]	0	0
5020300	300	{156,69}	0	0	[]	0	0
16010300	300	{215,309}	0	0	[]	0	0
8020300	300	{304,212}	0	0	[]	0	0
8010300	300	{304,212}	0	0	[]	0	0
6050300	300	{156,224}	0	0	[]	0	0
6030300	300	{156,224}	0	0	[]	0	0
10010300	300	{156,115}	0	0	[]	0	0
3330300	300	{75,157}	0	0	[]	0	0
3390300	300	{175,140}	0	0	[]	0	0
3310330	330	{55,30}	0	0	[]	0	0
3300300	300	{267,167}	0	0	[]	0	0
3130300	300	{265,152}	0	0	[]	0	0
3120300	300	{265,152}	0	0	[]	0	0
3110300	300	{265,152}	0	0	[]	0	0
3100300	300	{265,152}	0	0	[]	0	0
3090300	300	{265,152}	0	0	[]	0	0
12021200	300	{38,156}	0	0	[]	0	0
50020300	300	{71,141}	0	0	[]	0	0
50060300	300	{111,139}	0	0	[]	0	0
9000300	300	{211,148}	0	0	[]	50	0
3050300	300	{239,123}	0	0	[]	0	0
3040300	300	{150,108}	0	0	[]	0	0
3030300	300	{156,282}	0	0	[]	0	0
3020300	300	{155,225}	0	0	[]	0	0
3010300	300	{262,306}	0	0	[]	0	0
6000300	300	{211,148}	0	0	[]	50	0
10000300	300	{186,294}	0	0	[]	0	0
7000300	300	{254,256}	0	0	[]	0	0
2000300	300	{202,95}	0	0	[]	0	0
5000300	300	{261,158}	0	0	[]	0	0
4000200	200	{145,94}	0	0	[]	0	0
3000200	200	{75,50}	0	0	[]	0	0
11000401	100	{217,188}	1	0	[]	0	0
1403100	100	{201,194}	0	0	[]	0	0
2000100	100	{157,100}	0	0	[]	0	0
1000200	200	{48,131}	0	0	[]	0	0
