talnetid	level	affect
100003	7	[{criticaldestroyrate,64}]
100003	6	[{criticaldestroyrate,56}]
100003	5	[{criticaldestroyrate,48}]
100003	4	[{criticaldestroyrate,40}]
100003	3	[{criticaldestroyrate,32}]
100003	2	[{criticaldestroyrate,24}]
100003	1	[{criticaldestroyrate,16}]
100002	30	[{criticalrate,248}]
100002	29	[{criticalrate,240}]
100002	28	[{criticalrate,232}]
100002	27	[{criticalrate,224}]
100002	26	[{criticalrate,216}]
100002	25	[{criticalrate,208}]
100002	24	[{criticalrate,200}]
100002	23	[{criticalrate,192}]
100002	22	[{criticalrate,184}]
100002	21	[{criticalrate,176}]
100002	20	[{criticalrate,168}]
100002	19	[{criticalrate,160}]
100002	18	[{criticalrate,152}]
100002	17	[{criticalrate,144}]
100002	16	[{criticalrate,136}]
100002	15	[{criticalrate,128}]
100002	14	[{criticalrate,120}]
100002	13	[{criticalrate,112}]
100002	12	[{criticalrate,104}]
100002	11	[{criticalrate,96}]
100002	10	[{criticalrate,88}]
100002	9	[{criticalrate,80}]
100002	8	[{criticalrate,72}]
100002	7	[{criticalrate,64}]
100002	6	[{criticalrate,56}]
100002	5	[{criticalrate,48}]
100002	4	[{criticalrate,40}]
100002	3	[{criticalrate,32}]
100002	2	[{criticalrate,24}]
100002	1	[{criticalrate,16}]
100001	30	[{dodge,248}]
100001	29	[{dodge,240}]
100001	28	[{dodge,232}]
100001	27	[{dodge,224}]
100001	26	[{dodge,216}]
100001	25	[{dodge,208}]
100001	24	[{dodge,200}]
100001	23	[{dodge,192}]
100001	22	[{dodge,184}]
100001	21	[{dodge,176}]
100001	20	[{dodge,168}]
100001	19	[{dodge,160}]
100001	18	[{dodge,152}]
100001	17	[{dodge,144}]
100001	16	[{dodge,136}]
100001	15	[{dodge,128}]
100001	14	[{dodge,120}]
100001	13	[{dodge,112}]
100001	12	[{dodge,104}]
100001	11	[{dodge,96}]
100001	10	[{dodge,88}]
100001	9	[{dodge,80}]
100001	8	[{dodge,72}]
100001	7	[{dodge,64}]
100001	6	[{dodge,56}]
100001	5	[{dodge,48}]
100001	4	[{dodge,40}]
100001	3	[{dodge,32}]
100001	2	[{dodge,24}]
100001	1	[{dodge,16}]
100000	30	[{hitrate,248}]
100000	29	[{hitrate,240}]
100000	28	[{hitrate,232}]
100000	27	[{hitrate,224}]
100000	26	[{hitrate,216}]
100000	25	[{hitrate,208}]
100000	24	[{hitrate,200}]
100000	23	[{hitrate,192}]
100000	22	[{hitrate,184}]
100000	21	[{hitrate,176}]
100000	20	[{hitrate,168}]
100000	19	[{hitrate,160}]
100000	18	[{hitrate,152}]
100000	17	[{hitrate,144}]
100000	16	[{hitrate,136}]
100000	15	[{hitrate,128}]
100000	14	[{hitrate,120}]
100000	13	[{hitrate,112}]
100000	12	[{hitrate,104}]
100000	11	[{hitrate,96}]
100000	10	[{hitrate,88}]
100000	9	[{hitrate,80}]
100000	8	[{hitrate,72}]
100000	7	[{hitrate,64}]
100000	6	[{hitrate,56}]
100000	5	[{hitrate,48}]
100000	4	[{hitrate,40}]
100000	3	[{hitrate,32}]
100000	2	[{hitrate,24}]
100000	1	[{hitrate,16}]
