classid	level	strength	agile	intelligence	stamina	power	magicdefense	rangedefense	meleedefense	hprecover	hprecoverinterval	mprecover	mprecoverinterval	commoncool
3	59	62	50	13	105	0	0	0	0	7	5000	7	5000	1300
3	58	61	49	13	103	0	0	0	0	7	5000	7	5000	1300
3	57	60	48	13	101	0	0	0	0	7	5000	7	5000	1300
3	56	59	47	13	100	0	0	0	0	7	5000	7	5000	1300
3	55	58	46	12	98	0	0	0	0	7	5000	7	5000	1300
3	54	57	46	12	96	0	0	0	0	7	5000	7	5000	1300
3	53	56	45	12	95	0	0	0	0	7	5000	7	5000	1300
3	52	55	44	12	93	0	0	0	0	7	5000	7	5000	1300
3	51	54	43	12	91	0	0	0	0	7	5000	7	5000	1300
3	50	53	42	11	89	0	0	0	0	6	5000	6	5000	1300
3	49	52	42	11	88	0	0	0	0	6	5000	6	5000	1300
3	48	51	41	11	86	0	0	0	0	6	5000	6	5000	1300
3	47	50	40	11	84	0	0	0	0	6	5000	6	5000	1300
3	46	49	39	11	83	0	0	0	0	6	5000	6	5000	1300
3	45	48	38	10	81	0	0	0	0	6	5000	6	5000	1300
3	44	47	38	10	79	0	0	0	0	6	5000	6	5000	1300
3	43	46	37	10	78	0	0	0	0	6	5000	6	5000	1300
3	42	45	36	10	76	0	0	0	0	6	5000	6	5000	1300
3	41	44	35	10	74	0	0	0	0	6	5000	6	5000	1300
3	40	43	34	9	72	0	0	0	0	5	5000	5	5000	1300
3	39	42	34	9	71	0	0	0	0	5	5000	5	5000	1300
3	38	41	33	9	69	0	0	0	0	5	5000	5	5000	1300
3	37	40	32	9	67	0	0	0	0	5	5000	5	5000	1300
3	36	39	31	9	66	0	0	0	0	5	5000	5	5000	1300
3	35	38	30	8	64	0	0	0	0	5	5000	5	5000	1300
3	34	37	30	8	62	0	0	0	0	5	5000	5	5000	1300
3	33	36	29	8	61	0	0	0	0	5	5000	5	5000	1300
3	32	35	28	8	59	0	0	0	0	5	5000	5	5000	1300
3	31	34	27	8	57	0	0	0	0	5	5000	5	5000	1300
3	30	33	26	7	55	0	0	0	0	4	5000	4	5000	1300
3	29	32	26	7	54	0	0	0	0	4	5000	4	5000	1300
3	28	31	25	7	52	0	0	0	0	4	5000	4	5000	1300
3	27	30	24	7	50	0	0	0	0	4	5000	4	5000	1300
3	26	29	23	7	49	0	0	0	0	4	5000	4	5000	1300
3	25	28	22	6	47	0	0	0	0	4	5000	4	5000	1300
3	24	27	22	6	45	0	0	0	0	4	5000	4	5000	1300
3	23	26	21	6	44	0	0	0	0	4	5000	4	5000	1300
3	22	25	20	6	42	0	0	0	0	4	5000	4	5000	1300
3	21	24	19	6	40	0	0	0	0	4	5000	4	5000	1300
3	20	23	18	5	38	0	0	0	0	3	5000	3	5000	1300
3	19	22	18	5	37	0	0	0	0	3	5000	3	5000	1300
3	18	21	17	5	35	0	0	0	0	3	5000	3	5000	1300
3	17	20	16	5	33	0	0	0	0	3	5000	3	5000	1300
3	16	19	15	5	32	0	0	0	0	3	5000	3	5000	1300
3	15	18	14	4	30	0	0	0	0	3	5000	3	5000	1300
3	14	17	14	4	28	0	0	0	0	3	5000	3	5000	1300
3	13	16	13	4	27	0	0	0	0	3	5000	3	5000	1300
3	12	15	12	4	25	0	0	0	0	3	5000	3	5000	1300
3	11	14	11	4	23	0	0	0	0	3	5000	3	5000	1300
3	10	13	10	3	21	0	0	0	0	2	5000	2	5000	1300
3	9	12	10	3	20	0	0	0	0	2	5000	2	5000	1300
3	8	11	9	3	18	0	0	0	0	2	5000	2	5000	1300
3	7	10	8	3	16	0	0	0	0	2	5000	2	5000	1300
3	6	9	7	3	15	0	0	0	0	2	5000	2	5000	1300
3	5	8	6	2	13	0	0	0	0	2	5000	2	5000	1300
3	4	7	6	2	11	0	0	0	0	2	5000	2	5000	1300
3	3	6	5	2	10	0	0	0	0	2	5000	2	5000	1300
3	2	5	4	2	8	0	0	0	0	2	5000	2	5000	1300
3	1	4	3	2	6	0	0	0	0	2	5000	2	5000	1300
2	100	102	143	62	103	0	0	0	0	11	5000	11	5000	1300
2	99	101	142	62	102	0	0	0	0	11	5000	11	5000	1300
2	98	100	141	61	101	0	0	0	0	11	5000	11	5000	1300
2	97	99	139	61	100	0	0	0	0	11	5000	11	5000	1300
2	96	98	138	60	99	0	0	0	0	11	5000	11	5000	1300
2	95	97	136	59	98	0	0	0	0	11	5000	11	5000	1300
2	94	96	135	59	97	0	0	0	0	11	5000	11	5000	1300
2	93	95	134	58	96	0	0	0	0	11	5000	11	5000	1300
2	92	94	132	58	95	0	0	0	0	11	5000	11	5000	1300
2	91	93	131	57	94	0	0	0	0	11	5000	11	5000	1300
2	90	92	129	56	93	0	0	0	0	10	5000	10	5000	1300
2	89	91	128	56	92	0	0	0	0	10	5000	10	5000	1300
2	88	90	127	55	91	0	0	0	0	10	5000	10	5000	1300
2	87	89	125	55	90	0	0	0	0	10	5000	10	5000	1300
2	86	88	124	54	89	0	0	0	0	10	5000	10	5000	1300
2	85	87	122	53	88	0	0	0	0	10	5000	10	5000	1300
2	84	86	121	53	87	0	0	0	0	10	5000	10	5000	1300
2	83	85	120	52	86	0	0	0	0	10	5000	10	5000	1300
2	82	84	118	52	85	0	0	0	0	10	5000	10	5000	1300
2	81	83	117	51	84	0	0	0	0	10	5000	10	5000	1300
2	80	82	115	50	83	0	0	0	0	9	5000	9	5000	1300
2	79	81	114	50	82	0	0	0	0	9	5000	9	5000	1300
2	78	80	113	49	81	0	0	0	0	9	5000	9	5000	1300
2	77	79	111	49	80	0	0	0	0	9	5000	9	5000	1300
2	76	78	110	48	79	0	0	0	0	9	5000	9	5000	1300
2	75	77	108	47	78	0	0	0	0	9	5000	9	5000	1300
2	74	76	107	47	77	0	0	0	0	9	5000	9	5000	1300
2	73	75	106	46	76	0	0	0	0	9	5000	9	5000	1300
2	72	74	104	46	75	0	0	0	0	9	5000	9	5000	1300
2	71	73	103	45	74	0	0	0	0	9	5000	9	5000	1300
2	70	72	101	44	73	0	0	0	0	8	5000	8	5000	1300
2	69	71	100	44	72	0	0	0	0	8	5000	8	5000	1300
2	68	70	99	43	71	0	0	0	0	8	5000	8	5000	1300
2	67	69	97	43	70	0	0	0	0	8	5000	8	5000	1300
2	66	68	96	42	69	0	0	0	0	8	5000	8	5000	1300
2	65	67	94	41	68	0	0	0	0	8	5000	8	5000	1300
2	64	66	93	41	67	0	0	0	0	8	5000	8	5000	1300
2	63	65	92	40	66	0	0	0	0	8	5000	8	5000	1300
2	62	64	90	40	65	0	0	0	0	8	5000	8	5000	1300
2	61	63	89	39	64	0	0	0	0	8	5000	8	5000	1300
2	60	62	87	38	63	0	0	0	0	7	5000	7	5000	1300
2	59	61	86	38	62	0	0	0	0	7	5000	7	5000	1300
2	58	60	85	37	61	0	0	0	0	7	5000	7	5000	1300
2	57	59	83	37	60	0	0	0	0	7	5000	7	5000	1300
2	56	58	82	36	59	0	0	0	0	7	5000	7	5000	1300
2	55	57	80	35	58	0	0	0	0	7	5000	7	5000	1300
2	54	56	79	35	57	0	0	0	0	7	5000	7	5000	1300
2	53	55	78	34	56	0	0	0	0	7	5000	7	5000	1300
2	52	54	76	34	55	0	0	0	0	7	5000	7	5000	1300
2	51	53	75	33	54	0	0	0	0	7	5000	7	5000	1300
2	50	52	73	32	53	0	0	0	0	6	5000	6	5000	1300
2	49	51	72	32	52	0	0	0	0	6	5000	6	5000	1300
2	48	50	71	31	51	0	0	0	0	6	5000	6	5000	1300
2	47	49	69	31	50	0	0	0	0	6	5000	6	5000	1300
2	46	48	68	30	49	0	0	0	0	6	5000	6	5000	1300
2	45	47	66	29	48	0	0	0	0	6	5000	6	5000	1300
2	44	46	65	29	47	0	0	0	0	6	5000	6	5000	1300
2	43	45	64	28	46	0	0	0	0	6	5000	6	5000	1300
2	42	44	62	28	45	0	0	0	0	6	5000	6	5000	1300
2	41	43	61	27	44	0	0	0	0	6	5000	6	5000	1300
2	40	42	59	26	43	0	0	0	0	5	5000	5	5000	1300
2	39	41	58	26	42	0	0	0	0	5	5000	5	5000	1300
2	38	40	57	25	41	0	0	0	0	5	5000	5	5000	1300
2	37	39	55	25	40	0	0	0	0	5	5000	5	5000	1300
2	36	38	54	24	39	0	0	0	0	5	5000	5	5000	1300
2	35	37	52	23	38	0	0	0	0	5	5000	5	5000	1300
2	34	36	51	23	37	0	0	0	0	5	5000	5	5000	1300
2	33	35	50	22	36	0	0	0	0	5	5000	5	5000	1300
2	32	34	48	22	35	0	0	0	0	5	5000	5	5000	1300
2	31	33	47	21	34	0	0	0	0	5	5000	5	5000	1300
2	30	32	45	20	33	0	0	0	0	4	5000	4	5000	1300
2	29	31	44	20	32	0	0	0	0	4	5000	4	5000	1300
2	28	30	43	19	31	0	0	0	0	4	5000	4	5000	1300
2	27	29	41	19	30	0	0	0	0	4	5000	4	5000	1300
2	26	28	40	18	29	0	0	0	0	4	5000	4	5000	1300
2	25	27	38	17	28	0	0	0	0	4	5000	4	5000	1300
2	24	26	37	17	27	0	0	0	0	4	5000	4	5000	1300
2	23	25	36	16	26	0	0	0	0	4	5000	4	5000	1300
2	22	24	34	16	25	0	0	0	0	4	5000	4	5000	1300
2	21	23	33	15	24	0	0	0	0	4	5000	4	5000	1300
2	20	22	31	14	23	0	0	0	0	3	5000	3	5000	1300
2	19	21	30	14	22	0	0	0	0	3	5000	3	5000	1300
2	18	20	29	13	21	0	0	0	0	3	5000	3	5000	1300
2	17	19	27	13	20	0	0	0	0	3	5000	3	5000	1300
2	16	18	26	12	19	0	0	0	0	3	5000	3	5000	1300
2	15	17	24	11	18	0	0	0	0	3	5000	3	5000	1300
2	14	16	23	11	17	0	0	0	0	3	5000	3	5000	1300
2	13	15	22	10	16	0	0	0	0	3	5000	3	5000	1300
2	12	14	20	10	15	0	0	0	0	3	5000	3	5000	1300
2	11	13	19	9	14	0	0	0	0	3	5000	3	5000	1300
2	10	12	17	8	13	0	0	0	0	2	5000	2	5000	1300
2	9	11	16	8	12	0	0	0	0	2	5000	2	5000	1300
2	8	10	15	7	11	0	0	0	0	2	5000	2	5000	1300
2	7	9	13	7	10	0	0	0	0	2	5000	2	5000	1300
2	6	8	12	6	9	0	0	0	0	2	5000	2	5000	1300
2	5	7	10	5	8	0	0	0	0	2	5000	2	5000	1300
2	4	6	9	5	7	0	0	0	0	2	5000	2	5000	1300
2	3	5	8	4	6	0	0	0	0	2	5000	2	5000	1300
2	2	4	6	4	5	0	0	0	0	2	5000	2	5000	1300
2	1	3	5	3	4	0	0	0	0	2	5000	2	5000	1300
1	100	61	82	164	103	0	0	0	0	11	5000	11	5000	1300
1	99	61	82	163	102	0	0	0	0	11	5000	11	5000	1300
1	98	60	81	161	101	0	0	0	0	11	5000	11	5000	1300
1	97	60	80	160	100	0	0	0	0	11	5000	11	5000	1300
1	96	59	79	158	99	0	0	0	0	11	5000	11	5000	1300
1	95	58	78	156	98	0	0	0	0	11	5000	11	5000	1300
1	94	58	78	155	97	0	0	0	0	11	5000	11	5000	1300
1	93	57	77	153	96	0	0	0	0	11	5000	11	5000	1300
1	92	57	76	152	95	0	0	0	0	11	5000	11	5000	1300
1	91	56	75	150	94	0	0	0	0	11	5000	11	5000	1300
1	90	55	74	148	93	0	0	0	0	10	5000	10	5000	1300
1	89	55	74	147	92	0	0	0	0	10	5000	10	5000	1300
1	88	54	73	145	91	0	0	0	0	10	5000	10	5000	1300
1	87	54	72	144	90	0	0	0	0	10	5000	10	5000	1300
1	86	53	71	142	89	0	0	0	0	10	5000	10	5000	1300
1	85	52	70	140	88	0	0	0	0	10	5000	10	5000	1300
1	84	52	70	139	87	0	0	0	0	10	5000	10	5000	1300
1	83	51	69	137	86	0	0	0	0	10	5000	10	5000	1300
1	82	51	68	136	85	0	0	0	0	10	5000	10	5000	1300
1	81	50	67	134	84	0	0	0	0	10	5000	10	5000	1300
1	80	49	66	132	83	0	0	0	0	9	5000	9	5000	1300
1	79	49	66	131	82	0	0	0	0	9	5000	9	5000	1300
1	78	48	65	129	81	0	0	0	0	9	5000	9	5000	1300
1	77	48	64	128	80	0	0	0	0	9	5000	9	5000	1300
1	76	47	63	126	79	0	0	0	0	9	5000	9	5000	1300
1	75	46	62	124	78	0	0	0	0	9	5000	9	5000	1300
1	74	46	62	123	77	0	0	0	0	9	5000	9	5000	1300
1	73	45	61	121	76	0	0	0	0	9	5000	9	5000	1300
1	72	45	60	120	75	0	0	0	0	9	5000	9	5000	1300
1	71	44	59	118	74	0	0	0	0	9	5000	9	5000	1300
1	70	43	58	116	73	0	0	0	0	8	5000	8	5000	1300
1	69	43	58	115	72	0	0	0	0	8	5000	8	5000	1300
1	68	42	57	113	71	0	0	0	0	8	5000	8	5000	1300
1	67	42	56	112	70	0	0	0	0	8	5000	8	5000	1300
1	66	41	55	110	69	0	0	0	0	8	5000	8	5000	1300
1	65	40	54	108	68	0	0	0	0	8	5000	8	5000	1300
1	64	40	54	107	67	0	0	0	0	8	5000	8	5000	1300
1	63	39	53	105	66	0	0	0	0	8	5000	8	5000	1300
1	62	39	52	104	65	0	0	0	0	8	5000	8	5000	1300
1	61	38	51	102	64	0	0	0	0	8	5000	8	5000	1300
1	60	37	50	100	63	0	0	0	0	7	5000	7	5000	1300
1	59	37	50	99	62	0	0	0	0	7	5000	7	5000	1300
1	58	36	49	97	61	0	0	0	0	7	5000	7	5000	1300
1	57	36	48	96	60	0	0	0	0	7	5000	7	5000	1300
1	56	35	47	94	59	0	0	0	0	7	5000	7	5000	1300
1	55	34	46	92	58	0	0	0	0	7	5000	7	5000	1300
1	54	34	46	91	57	0	0	0	0	7	5000	7	5000	1300
1	53	33	45	89	56	0	0	0	0	7	5000	7	5000	1300
1	52	33	44	88	55	0	0	0	0	7	5000	7	5000	1300
1	51	32	43	86	54	0	0	0	0	7	5000	7	5000	1300
1	50	31	42	84	53	0	0	0	0	6	5000	6	5000	1300
1	49	31	42	83	52	0	0	0	0	6	5000	6	5000	1300
1	48	30	41	81	51	0	0	0	0	6	5000	6	5000	1300
1	47	30	40	80	50	0	0	0	0	6	5000	6	5000	1300
1	46	29	39	78	49	0	0	0	0	6	5000	6	5000	1300
1	45	28	38	76	48	0	0	0	0	6	5000	6	5000	1300
1	44	28	38	75	47	0	0	0	0	6	5000	6	5000	1300
1	43	27	37	73	46	0	0	0	0	6	5000	6	5000	1300
1	42	27	36	72	45	0	0	0	0	6	5000	6	5000	1300
1	41	26	35	70	44	0	0	0	0	6	5000	6	5000	1300
1	40	25	34	68	43	0	0	0	0	5	5000	5	5000	1300
1	39	25	34	67	42	0	0	0	0	5	5000	5	5000	1300
1	38	24	33	65	41	0	0	0	0	5	5000	5	5000	1300
1	37	24	32	64	40	0	0	0	0	5	5000	5	5000	1300
1	36	23	31	62	39	0	0	0	0	5	5000	5	5000	1300
1	35	22	30	60	38	0	0	0	0	5	5000	5	5000	1300
1	34	22	30	59	37	0	0	0	0	5	5000	5	5000	1300
1	33	21	29	57	36	0	0	0	0	5	5000	5	5000	1300
1	32	21	28	56	35	0	0	0	0	5	5000	5	5000	1300
1	31	20	27	54	34	0	0	0	0	5	5000	5	5000	1300
1	30	19	26	52	33	0	0	0	0	4	5000	4	5000	1300
1	29	19	26	51	32	0	0	0	0	4	5000	4	5000	1300
1	28	18	25	49	31	0	0	0	0	4	5000	4	5000	1300
1	27	18	24	48	30	0	0	0	0	4	5000	4	5000	1300
1	26	17	23	46	29	0	0	0	0	4	5000	4	5000	1300
1	25	16	22	44	28	0	0	0	0	4	5000	4	5000	1300
1	24	16	22	43	27	0	0	0	0	4	5000	4	5000	1300
1	23	15	21	41	26	0	0	0	0	4	5000	4	5000	1300
1	22	15	20	40	25	0	0	0	0	4	5000	4	5000	1300
1	21	14	19	38	24	0	0	0	0	4	5000	4	5000	1300
1	20	13	18	36	23	0	0	0	0	3	5000	3	5000	1300
1	19	13	18	35	22	0	0	0	0	3	5000	3	5000	1300
1	18	12	17	33	21	0	0	0	0	3	5000	3	5000	1300
1	17	12	16	32	20	0	0	0	0	3	5000	3	5000	1300
1	16	11	15	30	19	0	0	0	0	3	5000	3	5000	1300
1	15	10	14	28	18	0	0	0	0	3	5000	3	5000	1300
1	14	10	14	27	17	0	0	0	0	3	5000	3	5000	1300
1	13	9	13	25	16	0	0	0	0	3	5000	3	5000	1300
1	12	9	12	24	15	0	0	0	0	3	5000	3	5000	1300
1	11	8	11	22	14	0	0	0	0	3	5000	3	5000	1300
1	10	7	10	20	13	0	0	0	0	2	5000	2	5000	1300
1	9	7	10	19	12	0	0	0	0	2	5000	2	5000	1300
1	8	6	9	17	11	0	0	0	0	2	5000	2	5000	1300
1	7	6	8	16	10	0	0	0	0	2	5000	2	5000	1300
1	6	5	7	14	9	0	0	0	0	2	5000	2	5000	1300
1	5	4	6	12	8	0	0	0	0	2	5000	2	5000	1300
1	4	4	6	11	7	0	0	0	0	2	5000	2	5000	1300
1	3	3	5	9	6	0	0	0	0	2	5000	2	5000	1300
1	2	3	4	8	5	0	0	0	0	2	5000	2	5000	1300
1	1	2	3	6	4	0	0	0	0	2	5000	2	5000	1300
