class_level_id	class	level	ruleids
{58,2}	58	2	[616]
{57,2}	57	2	[616]
{56,2}	56	2	[616]
{55,2}	55	2	[616]
{54,2}	54	2	[616]
{53,2}	53	2	[616]
{52,2}	52	2	[616]
{51,2}	51	2	[616]
{50,2}	50	2	[615]
{49,2}	49	2	[615]
{48,2}	48	2	[615]
{47,2}	47	2	[615]
{46,2}	46	2	[615]
{45,2}	45	2	[614]
{44,2}	44	2	[614]
{43,2}	43	2	[614]
{42,2}	42	2	[614]
{41,2}	41	2	[614]
{40,2}	40	2	[613]
{39,2}	39	2	[613]
{38,2}	38	2	[613]
{37,2}	37	2	[613]
{36,2}	36	2	[613]
{35,2}	35	2	[612]
{34,2}	34	2	[612]
{33,2}	33	2	[612]
{32,2}	32	2	[612]
{31,2}	31	2	[612]
{30,2}	30	2	[611]
{29,2}	29	2	[611]
{28,2}	28	2	[611]
{27,2}	27	2	[611]
{26,2}	26	2	[611]
{25,2}	25	2	[610]
{24,2}	24	2	[610]
{23,2}	23	2	[610]
{22,2}	22	2	[610]
{21,2}	21	2	[610]
{20,2}	20	2	[]
{19,2}	19	2	[]
{18,2}	18	2	[]
{17,2}	17	2	[]
{16,2}	16	2	[]
{15,2}	15	2	[]
{14,2}	14	2	[]
{13,2}	13	2	[]
{12,2}	12	2	[]
{11,2}	11	2	[]
{10,2}	10	2	[]
{9,2}	9	2	[]
{8,2}	8	2	[]
{7,2}	7	2	[]
{6,2}	6	2	[]
{5,2}	5	2	[]
{4,2}	4	2	[]
{3,2}	3	2	[]
{2,2}	2	2	[]
{1,2}	1	2	[]
{100,1}	100	1	[617]
{99,1}	99	1	[617]
{98,1}	98	1	[617]
{97,1}	97	1	[617]
{96,1}	96	1	[617]
{95,1}	95	1	[617]
{94,1}	94	1	[617]
{93,1}	93	1	[617]
{92,1}	92	1	[617]
{91,1}	91	1	[617]
{90,1}	90	1	[617]
{89,1}	89	1	[617]
{88,1}	88	1	[617]
{87,1}	87	1	[617]
{86,1}	86	1	[617]
{85,1}	85	1	[617]
{84,1}	84	1	[617]
{83,1}	83	1	[617]
{82,1}	82	1	[617]
{81,1}	81	1	[617]
{80,1}	80	1	[617]
{79,1}	79	1	[617]
{78,1}	78	1	[617]
{77,1}	77	1	[617]
{76,1}	76	1	[617]
{75,1}	75	1	[617]
{74,1}	74	1	[617]
{73,1}	73	1	[617]
{72,1}	72	1	[617]
{71,1}	71	1	[617]
{70,1}	70	1	[616]
{69,1}	69	1	[616]
{68,1}	68	1	[616]
{67,1}	67	1	[616]
{66,1}	66	1	[616]
{65,1}	65	1	[616]
{64,1}	64	1	[616]
{63,1}	63	1	[616]
{62,1}	62	1	[616]
{61,1}	61	1	[616]
{60,1}	60	1	[616]
{59,1}	59	1	[616]
{58,1}	58	1	[616]
{57,1}	57	1	[616]
{56,1}	56	1	[616]
{55,1}	55	1	[616]
{54,1}	54	1	[616]
{53,1}	53	1	[616]
{52,1}	52	1	[616]
{51,1}	51	1	[616]
{50,1}	50	1	[615]
{49,1}	49	1	[615]
{48,1}	48	1	[615]
{47,1}	47	1	[615]
{46,1}	46	1	[615]
{45,1}	45	1	[614]
{44,1}	44	1	[614]
{43,1}	43	1	[614]
{42,1}	42	1	[614]
{41,1}	41	1	[614]
{40,1}	40	1	[613]
{39,1}	39	1	[613]
{38,1}	38	1	[613]
{37,1}	37	1	[613]
{36,1}	36	1	[613]
{35,1}	35	1	[612]
{34,1}	34	1	[612]
{33,1}	33	1	[612]
{32,1}	32	1	[612]
{31,1}	31	1	[612]
{30,1}	30	1	[611]
{29,1}	29	1	[611]
{28,1}	28	1	[611]
{27,1}	27	1	[611]
{26,1}	26	1	[611]
{25,1}	25	1	[610]
{24,1}	24	1	[610]
{23,1}	23	1	[610]
{22,1}	22	1	[610]
{21,1}	21	1	[610]
{20,1}	20	1	[]
{19,1}	19	1	[]
{18,1}	18	1	[]
{17,1}	17	1	[]
{16,1}	16	1	[]
{15,1}	15	1	[]
{14,1}	14	1	[]
{13,1}	13	1	[]
{12,1}	12	1	[]
{11,1}	11	1	[]
{10,1}	10	1	[]
{9,1}	9	1	[]
{8,1}	8	1	[]
{7,1}	7	1	[]
{6,1}	6	1	[]
{5,1}	5	1	[]
{4,1}	4	1	[]
{3,1}	3	1	[]
{2,1}	2	1	[]
{1,1}	1	1	[]
