type_section	power_rewards	spawns	item_rewards	skills_level
{2,41}	3	[{1032117,{65,67}},{1032117,{68,62}},{1032117,{29,30}},{1032117,{32,29}},{1032117,{34,30}},{1032117,{68,65}},{1032117,{65,67}},{1032117,{32,33}},{1032117,{35,31}}]	[]	[]
{2,40}	3	[{1032116,{48,62}}]	[]	[]
{2,39}	3	[{1032115,{65,67}},{1032115,{68,62}},{1032115,{29,30}},{1032115,{32,29}},{1032115,{34,30}},{1032115,{68,65}},{1032115,{65,67}},{1032115,{32,33}},{1032115,{35,31}}]	[]	[]
{2,38}	3	[{1032115,{65,67}},{1032115,{68,62}},{1032115,{29,30}},{1032115,{32,29}},{1032115,{34,30}},{1032115,{68,65}},{1032115,{65,67}},{1032115,{32,33}},{1032115,{35,31}}]	[]	[]
{2,37}	3	[{1032115,{65,67}},{1032115,{68,62}},{1032115,{29,30}},{1032115,{32,29}},{1032115,{34,30}},{1032115,{68,65}},{1032115,{65,67}},{1032115,{32,33}},{1032115,{35,31}}]	[]	[{751000010,4},{751000001,4},{751000002,4},{751000003,4},{751000004,4},{751000018,4}]
{2,36}	3	[{1032114,{65,67}},{1032114,{68,62}},{1032114,{29,30}},{1032114,{32,29}},{1032114,{34,30}},{1032114,{68,65}},{1032114,{65,67}},{1032114,{32,33}},{1032114,{35,31}}]	[]	[]
{2,35}	3	[{1032114,{65,67}},{1032114,{68,62}},{1032114,{29,30}},{1032114,{32,29}},{1032114,{34,30}},{1032114,{68,65}},{1032114,{65,67}},{1032114,{32,33}},{1032114,{35,31}}]	[]	[]
{2,34}	3	[{1032114,{65,67}},{1032114,{68,62}},{1032114,{29,30}},{1032114,{32,29}},{1032114,{34,30}},{1032114,{68,65}},{1032114,{65,67}},{1032114,{32,33}},{1032114,{35,31}}]	[]	[]
{2,33}	3	[{1032113,{65,67}},{1032113,{68,62}},{1032113,{29,30}},{1032113,{32,29}},{1032113,{34,30}},{1032113,{68,65}},{1032113,{65,67}},{1032113,{32,33}},{1032113,{35,31}}]	[]	[]
{2,32}	3	[{1032113,{65,67}},{1032113,{68,62}},{1032113,{29,30}},{1032113,{32,29}},{1032113,{34,30}},{1032113,{68,65}},{1032113,{65,67}},{1032113,{32,33}},{1032113,{35,31}}]	[]	[]
{2,31}	3	[{1032113,{65,67}},{1032113,{68,62}},{1032113,{29,30}},{1032113,{32,29}},{1032113,{34,30}},{1032113,{68,65}},{1032113,{65,67}},{1032113,{32,33}},{1032113,{35,31}}]	[]	[]
{2,30}	3	[{1032112,{48,62}}]	[]	[]
{2,29}	3	[{1032111,{65,67}},{1032111,{68,62}},{1032111,{29,30}},{1032111,{32,29}},{1032111,{34,30}},{1032111,{68,65}},{1032111,{65,67}},{1032111,{32,33}},{1032111,{35,31}}]	[]	[]
{2,28}	3	[{1032111,{65,67}},{1032111,{68,62}},{1032111,{29,30}},{1032111,{32,29}},{1032111,{34,30}},{1032111,{68,65}},{1032111,{65,67}},{1032111,{32,33}},{1032111,{35,31}}]	[]	[]
{2,27}	3	[{1032111,{65,67}},{1032111,{68,62}},{1032111,{29,30}},{1032111,{32,29}},{1032111,{34,30}},{1032111,{68,65}},{1032111,{65,67}},{1032111,{32,33}},{1032111,{35,31}}]	[]	[]
{2,26}	3	[{1032110,{65,67}},{1032110,{68,62}},{1032110,{29,30}},{1032110,{32,29}},{1032110,{34,30}},{1032110,{68,65}},{1032110,{65,67}},{1032110,{32,33}},{1032110,{35,31}}]	[]	[]
{2,25}	3	[{1032110,{65,67}},{1032110,{68,62}},{1032110,{29,30}},{1032110,{32,29}},{1032110,{34,30}},{1032110,{68,65}},{1032110,{65,67}},{1032110,{32,33}},{1032110,{35,31}}]	[]	[]
{2,24}	3	[{1032110,{65,67}},{1032110,{68,62}},{1032110,{29,30}},{1032110,{32,29}},{1032110,{34,30}},{1032110,{68,65}},{1032110,{65,67}},{1032110,{32,33}},{1032110,{35,31}}]	[]	[]
{2,23}	3	[{1032109,{65,67}},{1032109,{68,62}},{1032109,{29,30}},{1032109,{32,29}},{1032109,{34,30}},{1032109,{68,65}},{1032109,{65,67}},{1032109,{32,33}},{1032109,{35,31}}]	[]	[]
{2,22}	3	[{1032109,{65,67}},{1032109,{68,62}},{1032109,{29,30}},{1032109,{32,29}},{1032109,{34,30}},{1032109,{68,65}},{1032109,{65,67}},{1032109,{32,33}},{1032109,{35,31}}]	[]	[{751000010,3},{751000001,3},{751000002,3},{751000003,3},{751000004,3},{751000018,3}]
{2,21}	3	[{1032109,{65,67}},{1032109,{68,62}},{1032109,{29,30}},{1032109,{32,29}},{1032109,{34,30}},{1032109,{68,65}},{1032109,{65,67}},{1032109,{32,33}},{1032109,{35,31}}]	[]	[]
{2,20}	3	[{1032108,{48,62}}]	[]	[]
{2,19}	3	[{1032107,{65,67}},{1032107,{68,62}},{1032107,{29,30}},{1032107,{32,29}},{1032107,{34,30}},{1032107,{68,65}}]	[]	[]
{2,18}	3	[{1032107,{65,67}},{1032107,{68,62}},{1032107,{29,30}},{1032107,{32,29}},{1032107,{34,30}},{1032107,{68,65}}]	[]	[]
{2,17}	3	[{1032107,{65,67}},{1032107,{68,62}},{1032107,{29,30}},{1032107,{32,29}},{1032107,{34,30}},{1032107,{68,65}}]	[]	[{751000010,2},{751000001,2},{751000002,2},{751000003,2},{751000004,2},{751000018,2}]
{2,16}	3	[{1032106,{65,67}},{1032106,{68,62}},{1032106,{29,30}},{1032106,{32,29}},{1032106,{34,30}},{1032106,{68,65}}]	[]	[]
{2,15}	3	[{1032106,{65,67}},{1032106,{68,62}},{1032106,{29,30}},{1032106,{32,29}},{1032106,{34,30}},{1032106,{68,65}}]	[]	[]
{2,14}	3	[{1032106,{65,67}},{1032106,{68,62}},{1032106,{29,30}},{1032106,{32,29}},{1032106,{34,30}},{1032106,{68,65}}]	[]	[]
{2,13}	3	[{1032105,{65,67}},{1032105,{68,62}},{1032105,{29,30}},{1032105,{32,29}},{1032105,{34,30}},{1032105,{68,65}}]	[]	[]
{2,12}	3	[{1032105,{65,67}},{1032105,{68,62}},{1032105,{29,30}},{1032105,{32,29}},{1032105,{34,30}},{1032105,{68,65}}]	[]	[]
{2,11}	3	[{1032105,{65,67}},{1032105,{68,62}},{1032105,{29,30}},{1032105,{32,29}},{1032105,{34,30}},{1032105,{68,65}}]	[]	[]
{2,10}	3	[{1032104,{48,62}}]	[]	[]
{2,9}	3	[{1032103,{65,67}},{1032103,{68,62}},{1032103,{29,30}},{1032103,{32,29}},{1032103,{34,30}},{1032103,{68,65}}]	[]	[]
{2,8}	3	[{1032103,{65,67}},{1032103,{68,62}},{1032103,{29,30}},{1032103,{32,29}},{1032103,{34,30}},{1032103,{68,65}}]	[]	[]
{2,7}	3	[{1032103,{65,67}},{1032103,{68,62}},{1032103,{29,30}},{1032103,{32,29}},{1032103,{34,30}},{1032103,{68,65}}]	[]	[]
{2,6}	3	[{1032102,{65,67}},{1032102,{68,62}},{1032102,{29,30}},{1032102,{32,29}}]	[]	[]
{2,5}	3	[{1032102,{65,67}},{1032102,{68,62}},{1032102,{29,30}},{1032102,{32,29}}]	[]	[]
{2,4}	3	[{1032102,{65,67}},{1032102,{68,62}},{1032102,{29,30}},{1032102,{32,29}}]	[]	[]
{2,3}	3	[{1032101,{65,67}},{1032101,{68,62}},{1032101,{29,30}},{1032101,{32,29}}]	[]	[]
{2,2}	3	[{1032101,{65,67}},{1032101,{68,62}},{1032101,{29,30}},{1032101,{32,29}}]	[]	[]
{2,1}	3	[{1032101,{65,67}},{1032101,{68,62}},{1032101,{29,30}},{1032101,{32,29}}]	[]	[{75100005,0},{75100006,0},{75100007,0},{75100008,0},{75100001,1},{75100002,1},{75100003,1},{75100004,1},{751000018,1},{75100010,1}]
{1,100}	3	[{1032040,{48,62}}]	[]	[]
{1,99}	3	[{1032039,{65,67}},{1032039,{68,62}},{1032039,{29,30}},{1032039,{32,29}},{1032039,{34,30}},{1032039,{68,65}},{1032039,{65,67}},{1032039,{32,33}},{1032039,{35,31}}]	[]	[]
{1,98}	3	[{1032039,{65,67}},{1032039,{68,62}},{1032039,{29,30}},{1032039,{32,29}},{1032039,{34,30}},{1032039,{68,65}},{1032039,{65,67}},{1032039,{32,33}},{1032039,{35,31}}]	[]	[]
{1,97}	3	[{1032039,{65,67}},{1032039,{68,62}},{1032039,{29,30}},{1032039,{32,29}},{1032039,{34,30}},{1032039,{68,65}},{1032039,{65,67}},{1032039,{32,33}},{1032039,{35,31}}]	[]	[]
{1,96}	3	[{1032038,{65,67}},{1032038,{68,62}},{1032038,{29,30}},{1032038,{32,29}},{1032038,{34,30}},{1032038,{68,65}},{1032038,{65,67}},{1032038,{32,33}},{1032038,{35,31}}]	[]	[]
{1,95}	3	[{1032038,{65,67}},{1032038,{68,62}},{1032038,{29,30}},{1032038,{32,29}},{1032038,{34,30}},{1032038,{68,65}},{1032038,{65,67}},{1032038,{32,33}},{1032038,{35,31}}]	[]	[]
{1,94}	3	[{1032038,{65,67}},{1032038,{68,62}},{1032038,{29,30}},{1032038,{32,29}},{1032038,{34,30}},{1032038,{68,65}},{1032038,{65,67}},{1032038,{32,33}},{1032038,{35,31}}]	[]	[{751000010,10},{751000001,10},{751000002,10},{751000003,10},{751000004,10},{751000009,10}]
{1,93}	3	[{1032037,{65,67}},{1032037,{68,62}},{1032037,{29,30}},{1032037,{32,29}},{1032037,{34,30}},{1032037,{68,65}},{1032037,{65,67}},{1032037,{32,33}},{1032037,{35,31}}]	[]	[]
{1,92}	3	[{1032037,{65,67}},{1032037,{68,62}},{1032037,{29,30}},{1032037,{32,29}},{1032037,{34,30}},{1032037,{68,65}},{1032037,{65,67}},{1032037,{32,33}},{1032037,{35,31}}]	[]	[]
{1,91}	3	[{1032037,{65,67}},{1032037,{68,62}},{1032037,{29,30}},{1032037,{32,29}},{1032037,{34,30}},{1032037,{68,65}},{1032037,{65,67}},{1032037,{32,33}},{1032037,{35,31}}]	[]	[]
{1,90}	3	[{1032036,{48,62}}]	[]	[]
{1,89}	3	[{1032035,{65,67}},{1032035,{68,62}},{1032035,{29,30}},{1032035,{32,29}},{1032035,{34,30}},{1032035,{68,65}},{1032035,{65,67}},{1032035,{32,33}},{1032035,{35,31}}]	[]	[]
{1,88}	3	[{1032035,{65,67}},{1032035,{68,62}},{1032035,{29,30}},{1032035,{32,29}},{1032035,{34,30}},{1032035,{68,65}},{1032035,{65,67}},{1032035,{32,33}},{1032035,{35,31}}]	[]	[]
{1,87}	3	[{1032035,{65,67}},{1032035,{68,62}},{1032035,{29,30}},{1032035,{32,29}},{1032035,{34,30}},{1032035,{68,65}},{1032035,{65,67}},{1032035,{32,33}},{1032035,{35,31}}]	[]	[{751000010,9},{751000001,9},{751000002,9},{751000003,9},{751000004,9},{751000009,9}]
{1,86}	3	[{1032034,{65,67}},{1032034,{68,62}},{1032034,{29,30}},{1032034,{32,29}},{1032034,{34,30}},{1032034,{68,65}},{1032034,{65,67}},{1032034,{32,33}},{1032034,{35,31}}]	[]	[]
{1,85}	3	[{1032034,{65,67}},{1032034,{68,62}},{1032034,{29,30}},{1032034,{32,29}},{1032034,{34,30}},{1032034,{68,65}},{1032034,{65,67}},{1032034,{32,33}},{1032034,{35,31}}]	[]	[]
{1,84}	3	[{1032034,{65,67}},{1032034,{68,62}},{1032034,{29,30}},{1032034,{32,29}},{1032034,{34,30}},{1032034,{68,65}},{1032034,{65,67}},{1032034,{32,33}},{1032034,{35,31}}]	[]	[]
{1,83}	3	[{1032033,{65,67}},{1032033,{68,62}},{1032033,{29,30}},{1032033,{32,29}},{1032033,{34,30}},{1032033,{68,65}},{1032033,{65,67}},{1032033,{32,33}},{1032033,{35,31}}]	[]	[]
{1,82}	3	[{1032033,{65,67}},{1032033,{68,62}},{1032033,{29,30}},{1032033,{32,29}},{1032033,{34,30}},{1032033,{68,65}},{1032033,{65,67}},{1032033,{32,33}},{1032033,{35,31}}]	[]	[]
{1,81}	3	[{1032033,{65,67}},{1032033,{68,62}},{1032033,{29,30}},{1032033,{32,29}},{1032033,{34,30}},{1032033,{68,65}},{1032033,{65,67}},{1032033,{32,33}},{1032033,{35,31}}]	[]	[]
{1,80}	3	[{1032032,{48,62}}]	[]	[{751000010,8},{751000001,8},{751000002,8},{751000003,8},{751000004,8},{751000009,8}]
{1,79}	3	[{1032031,{65,67}},{1032031,{68,62}},{1032031,{29,30}},{1032031,{32,29}},{1032031,{34,30}},{1032031,{68,65}},{1032031,{65,67}},{1032031,{32,33}},{1032031,{35,31}}]	[]	[]
{1,78}	3	[{1032031,{65,67}},{1032031,{68,62}},{1032031,{29,30}},{1032031,{32,29}},{1032031,{34,30}},{1032031,{68,65}},{1032031,{65,67}},{1032031,{32,33}},{1032031,{35,31}}]	[]	[]
{1,77}	3	[{1032031,{65,67}},{1032031,{68,62}},{1032031,{29,30}},{1032031,{32,29}},{1032031,{34,30}},{1032031,{68,65}},{1032031,{65,67}},{1032031,{32,33}},{1032031,{35,31}}]	[]	[]
{1,76}	3	[{1032030,{65,67}},{1032030,{68,62}},{1032030,{29,30}},{1032030,{32,29}},{1032030,{34,30}},{1032030,{68,65}},{1032030,{65,67}},{1032030,{32,33}},{1032030,{35,31}}]	[]	[]
{1,75}	3	[{1032030,{65,67}},{1032030,{68,62}},{1032030,{29,30}},{1032030,{32,29}},{1032030,{34,30}},{1032030,{68,65}},{1032030,{65,67}},{1032030,{32,33}},{1032030,{35,31}}]	[]	[]
{1,74}	3	[{1032030,{65,67}},{1032030,{68,62}},{1032030,{29,30}},{1032030,{32,29}},{1032030,{34,30}},{1032030,{68,65}},{1032030,{65,67}},{1032030,{32,33}},{1032030,{35,31}}]	[]	[]
{1,73}	3	[{1032029,{65,67}},{1032029,{68,62}},{1032029,{29,30}},{1032029,{32,29}},{1032029,{34,30}},{1032029,{68,65}},{1032029,{65,67}},{1032029,{32,33}},{1032029,{35,31}}]	[]	[]
{1,72}	3	[{1032029,{65,67}},{1032029,{68,62}},{1032029,{29,30}},{1032029,{32,29}},{1032029,{34,30}},{1032029,{68,65}},{1032029,{65,67}},{1032029,{32,33}},{1032029,{35,31}}]	[]	[]
{1,71}	3	[{1032029,{65,67}},{1032029,{68,62}},{1032029,{29,30}},{1032029,{32,29}},{1032029,{34,30}},{1032029,{68,65}},{1032029,{65,67}},{1032029,{32,33}},{1032029,{35,31}}]	[]	[]
{1,70}	3	[{1032028,{48,62}}]	[]	[]
{1,69}	3	[{1032027,{65,67}},{1032027,{68,62}},{1032027,{29,30}},{1032027,{32,29}},{1032027,{34,30}},{1032027,{68,65}},{1032027,{65,67}},{1032027,{32,33}},{1032027,{35,31}}]	[]	[]
