mapid	map_name	is_instance	map_tag	restrict_items	script	can_flyshoes	linetag	serverdataname	pvptag
5008	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5009	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5011	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5012	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5013	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5014	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5015	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5016	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
6002	九黎祭坛	1	3	[19000300,19000301]	[]	0	[]	6002	0
6010	藏宝洞	1	0	[19000300,19000301]	[]	0	[]	6010	1
6011	藏宝洞	1	0	[19000300,19000301]	[]	0	[]	6010	1
6012	藏宝洞	1	0	[19000300,19000301]	[]	0	[]	6010	1
7001	寒风岭1	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7002	寒风岭2	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7003	寒风岭3	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7004	寒风岭4	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7005	寒风岭5	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7006	寒风岭6	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7007	寒风岭7	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7008	寒风岭8	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7009	寒风岭9	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7010	寒风岭10	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7011	寒风岭11	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7012	寒风岭12	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7013	寒风岭13	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7014	寒风岭14	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7015	寒风岭15	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7016	寒风岭16	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7017	寒风岭17	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7018	寒风岭18	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7019	寒风岭19	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7020	寒风岭20	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7021	寒风岭21	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7022	寒风岭22	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7023	寒风岭23	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7024	寒风岭24	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7025	寒风岭25	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7026	寒风岭26	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7027	寒风岭27	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
7028	寒风岭28	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7001	1
7029	寒风岭29	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7002	1
7030	寒风岭30	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	7003	1
8001	风啸岬1层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	400	1
8002	风啸岬2层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	8002	1
8003	风啸岬3层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	903	1
8004	风啸岬4层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	1401	1
8005	风啸岬5层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	8005	1
8006	风啸岬6层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	1821	1
8007	风啸岬7层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	501	1
8008	风啸岬8层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	1831	1
8009	风啸岬9层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	1824	1
8010	风啸岬10层	1	12	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	1825	1
9101	伏魔域1	1	0	[19000300,19000301]	[]	0	[]	1901	1
9102	伏魔域2	1	0	[19000300,19000301]	[]	0	[]	1901	1
9103	伏魔域3	1	0	[19000300,19000301]	[]	0	[]	1902	1
9104	伏魔域4	1	0	[19000300,19000301]	[]	0	[]	1902	1
9105	伏魔域5	1	0	[19000300,19000301]	[]	0	[]	1910	1
9106	伏魔域6	1	0	[19000300,19000301]	[]	0	[]	1908	1
9107	伏魔域7	1	0	[19000300,19000301]	[]	0	[]	1908	1
9108	伏魔域8	1	0	[19000300,19000301]	[]	0	[]	1909	1
9109	伏魔域9	1	0	[19000300,19000301]	[]	0	[]	1903	1
9110	伏魔域10	1	0	[19000300,19000301]	[]	0	[]	1907	1
9111	伏魔域11	1	0	[19000300,19000301]	[]	0	[]	1911	1
9112	伏魔域12	1	0	[19000300,19000301]	[]	0	[]	1906	1
9113	伏魔域13	1	0	[19000300,19000301]	[]	0	[]	1910	1
9114	伏魔域14	1	0	[19000300,19000301]	[]	0	[]	1903	1
9115	伏魔域15	1	0	[19000300,19000301]	[]	0	[]	1911	1
9116	伏魔域16	1	0	[19000300,19000301]	[]	0	[]	1907	1
9117	伏魔域17	1	0	[19000300,19000301]	[]	0	[]	1905	1
9118	伏魔域18	1	0	[19000300,19000301]	[]	0	[]	1907	1
9119	伏魔域19	1	0	[19000300,19000301]	[]	0	[]	1909	1
9120	伏魔域20	1	0	[19000300,19000301]	[]	0	[]	1902	1
9121	伏魔域21	1	0	[19000300,19000301]	[]	0	[]	1904	1
9122	伏魔域22	1	0	[19000300,19000301]	[]	0	[]	1905	1
9123	伏魔域23	1	0	[19000300,19000301]	[]	0	[]	1911	1
9124	伏魔域24	1	0	[19000300,19000301]	[]	0	[]	1906	1
9125	伏魔域25	1	0	[19000300,19000301]	[]	0	[]	1911	1
9201	无尘境一层	0	0	[19000300,19000301]	[]	1	[]	9201	1
9202	无尘境二层	0	0	[19000300,19000301]	[]	1	[]	1902	1
9203	无尘境三层	0	0	[19000300,19000301]	[]	1	[]	1908	1
9204	无尘境四层	0	0	[19000300,19000301]	[]	1	[]	9204	1
9205	无尘境五层	0	0	[19000300,19000301]	[]	1	[]	1601	1
9206	无尘境六层	0	0	[19000300,19000301]	[]	1	[]	9206	1
9207	无尘境七层	0	0	[19000300,19000301]	[]	1	[]	9207	1
9208	无尘境八层	0	0	[19000300,19000301]	[]	1	[]	1832	1
9209	无尘境九层	0	0	[19000300,19000301]	[]	1	[]	9209	1
9210	无尘境十层	0	0	[19000300,19000301]	[]	1	[]	9210	1
