id	num	states	includeids
703	8	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50},{hpmax,1300}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	7	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	6	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	5	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	4	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	3	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	2	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
703	1	[]	[[12701030,12701031],[12701130,12701131],[12701230,12701231],[12701330,12701331],[12701430,12701431],[12701530,12701531],[12701630,12701631],[12701730,12701731]]
604	8	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60},{hpmax,1500}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	7	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	6	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	5	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	4	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	3	[{magicdefense,60},{rangedefense,60},{meleedefense,60}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	2	[{magicdefense,60},{rangedefense,60},{meleedefense,60}]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
604	1	[]	[[12601040,12601041],[12601140,12601141],[12601240,12601241],[12601340,12601341],[12601440,12601441],[12601540,12601541],[12601640,12601641],[12601740,12601741]]
603	8	[{magicdefense,40},{rangedefense,40},{meleedefense,40},{magicpower,60},{rangepower,60},{meleepower,60},{criticaldestroyrate,40},{hpmax,1100}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	7	[{magicdefense,40},{rangedefense,40},{meleedefense,40},{magicpower,60},{rangepower,60},{meleepower,60},{criticaldestroyrate,40}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	6	[{magicdefense,40},{rangedefense,40},{meleedefense,40},{magicpower,60},{rangepower,60},{meleepower,60},{criticaldestroyrate,40}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	5	[{magicdefense,40},{rangedefense,40},{meleedefense,40},{magicpower,60},{rangepower,60},{meleepower,60}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	4	[{magicdefense,40},{rangedefense,40},{meleedefense,40},{magicpower,60},{rangepower,60},{meleepower,60}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	3	[{magicdefense,40},{rangedefense,40},{meleedefense,40}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	2	[{magicdefense,40},{rangedefense,40},{meleedefense,40}]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
603	1	[]	[[12601030,12601031],[12601130,12601131],[12601230,12601231],[12601330,12601331],[12601430,12601431],[12601530,12601531],[12601630,12601631],[12601730,12601731]]
504	8	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50},{hpmax,1300}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	7	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	6	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	5	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	4	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	3	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	2	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
504	1	[]	[[12501040,12501041],[12501140,12501141],[12501240,12501241],[12501340,12501341],[12501440,12501441],[12501540,12501541],[12501640,12501641],[12501740,12501741]]
503	8	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30},{hpmax,800}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	7	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	6	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	5	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	4	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	3	[{magicdefense,30},{rangedefense,30},{meleedefense,30}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	2	[{magicdefense,30},{rangedefense,30},{meleedefense,30}]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
503	1	[]	[[12501030,12501031],[12501130,12501131],[12501230,12501231],[12501330,12501331],[12501430,12501431],[12501530,12501531],[12501630,12501631],[12501730,12501731]]
554	8	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50},{hpmax,1300}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	7	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	6	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70},{criticaldestroyrate,50}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	5	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	4	[{magicdefense,50},{rangedefense,50},{meleedefense,50},{magicpower,70},{rangepower,70},{meleepower,70}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	3	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	2	[{magicdefense,50},{rangedefense,50},{meleedefense,50}]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
554	1	[]	[[12551040,12551041],[12551140,12551141],[12551240,12551241],[12551340,12551341],[12551440,12551441],[12551540,12551541],[12551640,12551641],[12551740,12551741]]
553	8	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30},{hpmax,800}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	7	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	6	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45},{criticaldestroyrate,30}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	5	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	4	[{magicdefense,30},{rangedefense,30},{meleedefense,30},{magicpower,45},{rangepower,45},{meleepower,45}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	3	[{magicdefense,30},{rangedefense,30},{meleedefense,30}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	2	[{magicdefense,30},{rangedefense,30},{meleedefense,30}]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
553	1	[]	[[12551030,12551031],[12551130,12551131],[12551230,12551231],[12551330,12551331],[12551430,12551431],[12551530,12551531],[12551630,12551631],[12551730,12551731]]
354	8	[{magicdefense,35},{rangedefense,35},{meleedefense,35},{magicpower,50},{rangepower,50},{meleepower,50},{criticaldestroyrate,40},{hpmax,1000}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	7	[{magicdefense,35},{rangedefense,35},{meleedefense,35},{magicpower,50},{rangepower,50},{meleepower,50},{criticaldestroyrate,40}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	6	[{magicdefense,35},{rangedefense,35},{meleedefense,35},{magicpower,50},{rangepower,50},{meleepower,50},{criticaldestroyrate,40}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	5	[{magicdefense,35},{rangedefense,35},{meleedefense,35},{magicpower,50},{rangepower,50},{meleepower,50}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	4	[{magicdefense,35},{rangedefense,35},{meleedefense,35},{magicpower,50},{rangepower,50},{meleepower,50}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	3	[{magicdefense,35},{rangedefense,35},{meleedefense,35}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	2	[{magicdefense,35},{rangedefense,35},{meleedefense,35}]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
354	1	[]	[[12351040,12351041],[12351140,12351141],[12351240,12351241],[12351340,12351341],[12351440,12351441],[12351540,12351541],[12351640,12351641],[12351740,12351741]]
353	8	[{magicdefense,20},{rangedefense,20},{meleedefense,20},{magicpower,30},{rangepower,30},{meleepower,30},{criticaldestroyrate,20},{hpmax,500}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	7	[{magicdefense,20},{rangedefense,20},{meleedefense,20},{magicpower,30},{rangepower,30},{meleepower,30},{criticaldestroyrate,20}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	6	[{magicdefense,20},{rangedefense,20},{meleedefense,20},{magicpower,30},{rangepower,30},{meleepower,30},{criticaldestroyrate,20}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	5	[{magicdefense,20},{rangedefense,20},{meleedefense,20},{magicpower,30},{rangepower,30},{meleepower,30}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	4	[{magicdefense,20},{rangedefense,20},{meleedefense,20},{magicpower,30},{rangepower,30},{meleepower,30}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	3	[{magicdefense,20},{rangedefense,20},{meleedefense,20}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	2	[{magicdefense,20},{rangedefense,20},{meleedefense,20}]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
353	1	[]	[[12351030,12351031],[12351130,12351131],[12351230,12351231],[12351330,12351331],[12351430,12351431],[12351530,12351531],[12351630,12351631],[12351730,12351731]]
