id	type	special_tag	required	datelines	guild_required	qualityrates	refresh_info	rounds_num	clear_time	quests	sections	section_counts	section_rewards	reward_exp_type	quality_extra_rewards	free_recover_interval
54	2	0	{0,60,69}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110054001,110054002,110054003,110054004,110054005,110054006,110054007,110054008,110054009,110054010]	10	1	[{1,[{1,[],1200,[]},{2,[],1200,[]},{3,[],1200,[]},{4,[],1200,[]},{5,[],1200,[]},{6,[],1200,[]},{7,[],1200,[]},{8,[],1200,[]},{9,[],1200,[]},{10,[],1200,[]}]}]	1	[]	0
53	2	0	{0,50,59}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110053001,110053002,110053003,110053004,110053005,110053006,110053007,110053008,110053009,110053010]	10	1	[{1,[{1,[],1200,[]},{2,[],1200,[]},{3,[],1200,[]},{4,[],1200,[]},{5,[],1200,[]},{6,[],1200,[]},{7,[],1200,[]},{8,[],1200,[]},{9,[],1200,[]},{10,[],1200,[]}]}]	1	[]	0
52	2	0	{0,40,49}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110052001,110052002,110052003,110052004,110052005,110052006,110052007,110052008,110052009,110052010]	10	1	[{1,[{1,[],1200,[]},{2,[],1200,[]},{3,[],1200,[]},{4,[],1200,[]},{5,[],1200,[]},{6,[],1200,[]},{7,[],1200,[]},{8,[],1200,[]},{9,[],1200,[]},{10,[],1200,[]}]}]	1	[]	0
51	2	0	{0,38,39}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110051001,110051002,110051003,110051004,110051005,110051006,110051007,110051008,110051009,110051010]	10	1	[{1,[{1,[],1200,[]},{2,[],1200,[]},{3,[],1200,[]},{4,[],1200,[]},{5,[],1200,[]},{6,[],1200,[]},{7,[],1200,[]},{8,[],1200,[]},{9,[],1200,[]},{10,[],1200,[]}]}]	1	[]	0
50	2	0	{0,36,37}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110050001,110050002,110050003,110050004,110050005,110050006,110050007,110050008,110050009,110050010]	10	1	[{1,[{1,[],1200,[]},{2,[],1200,[]},{3,[],1200,[]},{4,[],1200,[]},{5,[],1200,[]},{6,[],1200,[]},{7,[],1200,[]},{8,[],1200,[]},{9,[],1200,[]},{10,[],1200,[]}]}]	1	[]	0
41	1	0	{0,40,100}	[{{{0,0,0},{12,0,0}},{{3000,12,31},{12,4,30}}}]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110041001]	1	1	[{1,[{1,[],0,[]}]}]	2	[]	0
40	2	1	{0,40,100}	[]	{0,20}	[0,30,50,20,0]	{0,[0,30,50,20],2,0,0,78}	5	{1,{0,0,0}}	[110040001]	1	1	[{1,[{1,[],0,[]}]}]	3	[0,40,80,130,200]	0
32	2	0	{0,57,66}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110032001,110032002,110032003,110032004,110032005,110032006,110032007,110032008,110032009,110032010]	10	1	[{1,[{1,[],3840,[]},{2,[],3840,[]},{3,[],3840,[]},{4,[],3840,[]},{5,[],3840,[]},{6,[],3840,[]},{7,[],3840,[]},{8,[],3840,[]},{9,[],3840,[]},{10,[],3840,[]}]}]	1	[]	0
31	2	0	{0,47,56}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110031001,110031002,110031003,110031004,110031005,110031006,110031007,110031008,110031009,110031010]	10	1	[{1,[{1,[],3840,[]},{2,[],3840,[]},{3,[],3840,[]},{4,[],3840,[]},{5,[],3840,[]},{6,[],3840,[]},{7,[],3840,[]},{8,[],3840,[]},{9,[],3840,[]},{10,[],3840,[]}]}]	1	[]	0
30	2	0	{0,39,46}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110030001,110030002,110030003,110030004,110030005,110030006,110030007,110030008,110030009,110030010]	10	1	[{1,[{1,[],3840,[]},{2,[],3840,[]},{3,[],3840,[]},{4,[],3840,[]},{5,[],3840,[]},{6,[],3840,[]},{7,[],3840,[]},{8,[],3840,[]},{9,[],3840,[]},{10,[],3840,[]}]}]	1	[]	0
22	2	0	{0,55,64}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110022001,110022001,110022003,110022004,110022005]	5	1	[{1,[{1,[],6000,[]},{2,[],6000,[]},{3,[],6000,[]},{4,[],6000,[]},{5,[],6000,[]}]}]	1	[]	0
21	2	0	{0,45,54}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110021001,110021002,110021003,110021004,110021005]	5	1	[{1,[{1,[],6000,[]},{2,[],6000,[]},{3,[],6000,[]},{4,[],6000,[]},{5,[],6000,[]}]}]	1	[]	0
20	2	0	{0,35,44}	[]	{0,20}	[]	[]	1	{1,{0,0,0}}	[110020001,110020002,110020003,110020004,110020005]	5	1	[{1,[{1,[],6000,[]},{2,[],6000,[]},{3,[],6000,[]},{4,[],6000,[]},{5,[],6000,[]}]}]	1	[]	0
12	2	0	{0,57,66}	[]	{0,20}	[]	[]	8	{1,{0,0,0}}	[110012001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[]	0
11	2	0	{0,47,56}	[]	{0,20}	[]	[]	8	{1,{0,0,0}}	[110011001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[]	0
10	2	0	{0,37,46}	[]	{0,20}	[]	[]	8	{1,{0,0,0}}	[110010001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[]	0
4	2	0	{0,57,66}	[]	{0,20}	[60,30,5,3,2]	{3,[50,30,15,3,2],0,0,1000,134}	8	{1,{0,0,0}}	[110004001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[0,30,60,100,150]	1200
3	2	0	{0,47,56}	[]	{0,20}	[48,39,7,3,3]	{3,[35,39,20,3,3],0,0,1000,134}	8	{1,{0,0,0}}	[110003001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[0,30,60,100,150]	1200
2	2	0	{0,37,46}	[]	{0,20}	[11,67,11,6,5]	{3,[1,55,33,6,5],0,0,1000,134}	8	{1,{0,0,0}}	[110002001]	1	1	[{1,[{1,[],3600,[]}]}]	1	[0,30,60,100,150]	1200
1	2	0	{0,30,100}	[]	{1,20}	[]	[]	1	{1,{0,0,0}}	[110001001,110001002,110001003,110001004,110001005,110001006,110001007,110001008,110001009,110001010]	10	1	[{1,[{1,[],720,[]},{2,[],720,[]},{3,[],720,[]},{4,[],720,[]},{5,[],720,[]},{6,[],720,[]},{7,[],720,[]},{8,[],720,[]},{9,[],720,[]},{10,[],720,[]}]}]	1	[]	0
