chapter	stage	pre_stage	entry_condition	entry_times	difficulty	class	transportid	monsterslist	type	time_s	killmonsterlist	protectnpclist	defend_sections	first_award_money	first_award_exp	first_award_items	common_award_money	common_award_exp	common_award_items	level_factor	time_factor	designation	section_duration
2	4	{2,3}	[{level,50}]	5	1	1	88818204	[2820401]	5	0	[]	[2820401]	6	3300	300000	[{24000005,3},{22005102,1}]	0	0	[]	37100	6900	8	20
2	3	{2,2}	[{level,50}]	5	1	3	88818203	[2820301,8203001]	4	50	[{1820301,1,[35,102,102,48,48,48,48]}]	[]	0	3200	280000	[{24000002,3},{24000118,3}]	0	0	[]	36400	6300	0	0
2	3	{2,2}	[{level,50}]	5	1	2	88818203	[2820301,8203001]	4	50	[{1820301,1,[35,102,102,48,48,48,48]}]	[]	0	3200	280000	[{24000002,3},{24000118,3}]	0	0	[]	36400	6300	0	0
2	3	{2,2}	[{level,50}]	5	1	1	88818203	[2820301,8203001]	4	50	[{1820301,1,[35,102,102,48,48,48,48]}]	[]	0	3200	280000	[{24000002,3},{24000118,3}]	0	0	[]	36400	6300	0	0
2	2	{2,1}	[{level,50}]	5	1	3	88818202	[2820201,8202001]	3	0	[{1820202,1,[35,102,102,48,48,48,48]}]	[]	0	3100	275000	[{24200057,10},{22005002,1}]	0	0	[]	35700	6300	7	0
2	2	{2,1}	[{level,50}]	5	1	2	88818202	[2820201,8202001]	3	0	[{1820202,1,[35,102,102,48,48,48,48]}]	[]	0	3100	275000	[{24200057,10},{22005002,1}]	0	0	[]	35700	6300	7	0
2	2	{2,1}	[{level,50}]	5	1	1	88818202	[2820201,8202001]	3	0	[{1820202,1,[35,102,102,48,48,48,48]}]	[]	0	3100	275000	[{24200057,10},{22005002,1}]	0	0	[]	35700	6300	7	0
2	1	{1,12}	[{level,50}]	5	1	3	88818201	[2820101,8201001,8201002,8201003]	3	0	[{1820101,2,[35,49,101,57,48,102,102]},{1820102,1,[35,102,102,48,48,48,48]}]	[]	0	3100	270000	[{24000102,2},{24000016,3}]	0	0	[]	35000	4800	0	0
2	1	{1,12}	[{level,50}]	5	1	2	88818201	[2820101,8201001,8201002,8201003]	3	0	[{1820101,2,[35,49,101,57,48,102,102]},{1820102,1,[35,102,102,48,48,48,48]}]	[]	0	3100	270000	[{24000102,2},{24000016,3}]	0	0	[]	35000	4800	0	0
2	1	{1,12}	[{level,50}]	5	1	1	88818201	[2820101,8201001,8201002,8201003]	3	0	[{1820101,2,[35,49,101,57,48,102,102]},{1820102,1,[35,102,102,48,48,48,48]}]	[]	0	3100	270000	[{24000102,2},{24000016,3}]	0	0	[]	35000	4800	0	0
2	0	[]	[]	5	1	1	1	[]	1	0	[]	[]	1	0	0	[]	0	0	[]	[]	[]	0	0
1	12	{1,11}	[{level,45}]	5	1	3	88818112	[8112001]	3	0	[{1811201,1,[35,102,102,48,48,48,48]}]	[]	0	3000	250000	[{24000079,5},{23004107,1}]	0	0	[]	33600	6300	6	20
1	12	{1,11}	[{level,45}]	5	1	2	88818112	[8112001]	3	0	[{1811201,1,[35,102,102,48,48,48,48]}]	[]	0	3000	250000	[{24000079,5},{23004107,1}]	0	0	[]	33600	6300	6	20
1	12	{1,11}	[{level,45}]	5	1	1	88818112	[8112001]	3	0	[{1811201,1,[35,102,102,48,48,48,48]}]	[]	0	3000	250000	[{24000079,5},{23004107,1}]	0	0	[]	33600	6300	6	20
1	11	{1,10}	[{level,42}]	5	1	3	88818111	[8111001]	3	0	[{1811101,1,[35,102,102,48,48,48,48]},{1811102,1,[35,102,102,48,48,48,48]}]	[]	0	2950	240000	[{24100021,5},{22001802,1}]	0	0	[]	32200	5700	0	20
1	11	{1,10}	[{level,42}]	5	1	2	88818111	[8111001]	3	0	[{1811101,1,[35,102,102,48,48,48,48]},{1811102,1,[35,102,102,48,48,48,48]}]	[]	0	2950	240000	[{24100021,5},{22001802,1}]	0	0	[]	32200	5700	0	20
1	11	{1,10}	[{level,42}]	5	1	1	88818111	[8111001]	3	0	[{1811101,1,[35,102,102,48,48,48,48]},{1811102,1,[35,102,102,48,48,48,48]}]	[]	0	2950	240000	[{24100021,5},{22001802,1}]	0	0	[]	32200	5700	0	20
1	10	{1,9}	[{level,42}]	5	1	3	88818110	[2811001]	3	0	[{1811001,1,[35,102,102,48,48,48,48]},{1811002,1,[35,102,102,48,48,48,48]},{1811003,1,[35,102,102,48,48,48,48]},{1811004,1,[35,102,102,48,48,48,48]}]	[]	0	2800	235000	[{24000022,2},{22000702,1}]	0	0	[]	30800	8700	5	0
1	10	{1,9}	[{level,42}]	5	1	2	88818110	[2811001]	3	0	[{1811001,1,[35,102,102,48,48,48,48]},{1811002,1,[35,102,102,48,48,48,48]},{1811003,1,[35,102,102,48,48,48,48]},{1811004,1,[35,102,102,48,48,48,48]}]	[]	0	2800	235000	[{24000022,2},{22000702,1}]	0	0	[]	30800	8700	5	0
1	10	{1,9}	[{level,42}]	5	1	1	88818110	[2811001]	3	0	[{1811001,1,[35,102,102,48,48,48,48]},{1811002,1,[35,102,102,48,48,48,48]},{1811003,1,[35,102,102,48,48,48,48]},{1811004,1,[35,102,102,48,48,48,48]}]	[]	0	2800	235000	[{24000022,2},{22000702,1}]	0	0	[]	30800	8700	5	0
1	9	{1,8}	[{level,42}]	5	1	3	88818109	[]	6	0	[]	[]	5	2700	220000	[{24000020,5},{22000802,1}]	0	0	[]	29400	12600	0	20
1	9	{1,8}	[{level,42}]	5	1	2	88818109	[]	6	0	[]	[]	5	2700	220000	[{24000020,5},{22000802,1}]	0	0	[]	29400	12600	0	20
1	9	{1,8}	[{level,42}]	5	1	1	88818109	[]	6	0	[]	[]	5	2700	220000	[{24000020,5},{22000802,1}]	0	0	[]	29400	12600	0	20
1	8	{1,7}	[{level,40}]	5	1	3	88818108	[8108001,8108002,8108003,8108004,8108005,8108006]	4	120	[{1810801,5,[35,49,101,57,48,102,102]},{1810802,1,[35,102,102,48,48,48,48]}]	[]	1	2500	150000	[{24000106,10},{22001702,1}]	0	0	[]	28700	15000	4	0
1	8	{1,7}	[{level,40}]	5	1	2	88818108	[8108001,8108002,8108003,8108004,8108005,8108006]	4	120	[{1810801,5,[35,49,101,57,48,102,102]},{1810802,1,[35,102,102,48,48,48,48]}]	[]	1	2500	150000	[{24000106,10},{22001702,1}]	0	0	[]	28700	15000	4	0
1	8	{1,7}	[{level,40}]	5	1	1	88818108	[8108001,8108002,8108003,8108004,8108005,8108006]	4	120	[{1810801,5,[35,49,101,57,48,102,102]},{1810802,1,[35,102,102,48,48,48,48]}]	[]	1	2500	150000	[{24000106,10},{22001702,1}]	0	0	[]	28700	15000	4	0
1	7	{1,6}	[{level,40}]	5	1	3	88818107	[8107001,8107002,8107003,8107004,8107005,8107006]	3	0	[{1810701,5,[35,49,101,57,48,102,102]},{1810702,1,[35,102,102,48,48,48,48]}]	[]	1	2200	120000	[{24000103,10},{22001002,1}]	0	0	[]	28000	12600	0	0
1	7	{1,6}	[{level,40}]	5	1	2	88818107	[8107001,8107002,8107003,8107004,8107005,8107006]	3	0	[{1810701,5,[35,49,101,57,48,102,102]},{1810702,1,[35,102,102,48,48,48,48]}]	[]	1	2200	120000	[{24000103,10},{22001002,1}]	0	0	[]	28000	12600	0	0
1	7	{1,6}	[{level,40}]	5	1	1	88818107	[8107001,8107002,8107003,8107004,8107005,8107006]	3	0	[{1810701,5,[35,49,101,57,48,102,102]},{1810702,1,[35,102,102,48,48,48,48]}]	[]	1	2200	120000	[{24000103,10},{22001002,1}]	0	0	[]	28000	12600	0	0
1	6	{1,5}	[{level,38}]	5	1	3	88818106	[8106001,8106002,8106003,8106004,8106005,8106006,8106007,8106008,8106009]	4	120	[{1810601,6,[35,49,101,57,48,102,102]},{1810602,1,[35,102,102,48,48,48,48]}]	[]	1	1800	1800	[{24000007,3},{22000402,1}]	0	0	[]	26600	7500	3	0
1	6	{1,5}	[{level,38}]	5	1	2	88818106	[8106001,8106002,8106003,8106004,8106005,8106006,8106007,8106008,8106009]	4	120	[{1810601,6,[35,49,101,57,48,102,102]},{1810602,1,[35,102,102,48,48,48,48]}]	[]	1	1800	1800	[{24000007,3},{22000402,1}]	0	0	[]	26600	7500	3	0
1	6	{1,5}	[{level,38}]	5	1	1	88818106	[8106001,8106002,8106003,8106004,8106005,8106006,8106007,8106008,8106009]	4	120	[{1810601,6,[35,49,101,57,48,102,102]},{1810602,1,[35,102,102,48,48,48,48]}]	[]	1	1800	1800	[{24000007,3},{22000402,1}]	0	0	[]	26600	7500	3	0
1	5	{1,4}	[{level,35}]	5	1	3	88818105	[8105001,8105005]	4	120	[{1810501,1,[35,102,102,48,48,48,48]},{1810503,1,[35,102,102,48,48,48,48]}]	[]	1	1600	1700	[{24000004,4}]	0	0	[]	24500	15000	0	0
1	5	{1,4}	[{level,35}]	5	1	2	88818105	[8105001,8105005]	4	120	[{1810501,1,[35,102,102,48,48,48,48]},{1810503,1,[35,102,102,48,48,48,48]}]	[]	1	1600	1700	[{24000004,4}]	0	0	[]	24500	15000	0	0
1	5	{1,4}	[{level,35}]	5	1	1	88818105	[8105001,8105005]	4	120	[{1810501,1,[35,102,102,48,48,48,48]},{1810503,1,[35,102,102,48,48,48,48]}]	[]	1	1600	1700	[{24000004,4}]	0	0	[]	24500	15000	0	0
1	4	{1,3}	[{level,33}]	5	1	3	88818104	[8104001,8104002,8104003,8104004,8104005,8104006,8104007]	3	0	[{1810401,6,[35,49,101,57,48,102,102]},{1810403,1,[35,102,102,48,48,48,48]}]	[]	5	1500	1500	[{24000001,4}]	0	0	[]	23100	7500	2	0
1	4	{1,3}	[{level,33}]	5	1	2	88818104	[8104001,8104002,8104003,8104004,8104005,8104006,8104007]	3	0	[{1810401,6,[35,49,101,57,48,102,102]},{1810403,1,[35,102,102,48,48,48,48]}]	[]	5	1500	1500	[{24000001,4}]	0	0	[]	23100	7500	2	0
1	4	{1,3}	[{level,33}]	5	1	1	88818104	[8104001,8104002,8104003,8104004,8104005,8104006,8104007]	3	0	[{1810401,6,[35,49,101,57,48,102,102]},{1810403,1,[35,102,102,48,48,48,48]}]	[]	5	1500	1500	[{24000001,4}]	0	0	[]	23100	7500	2	0
1	3	{1,2}	[{level,33}]	5	1	3	88818103	[2810301]	5	0	[]	[2810301]	5	1200	1400	[{24000118,3}]	0	0	[]	22400	6300	0	20
1	3	{1,2}	[{level,33}]	5	1	2	88818103	[2810301]	5	0	[]	[2810301]	5	1200	1400	[{24000118,3}]	0	0	[]	22400	6300	0	20
1	3	{1,2}	[{level,33}]	5	1	1	88818103	[2810301]	5	0	[]	[2810301]	5	1200	1400	[{24000118,3}]	0	0	[]	22400	6300	0	20
1	2	{1,1}	[{level,33}]	5	1	3	88818102	[2810201,2810202,8102001]	3	0	[{1810201,1,[35,102,102,48,48,48,48]}]	[]	1	1000	1300	[{24000046,5}]	0	0	[]	21700	2400	1	0
1	2	{1,1}	[{level,33}]	5	1	2	88818102	[2810201,2810202,8102001]	3	0	[{1810201,1,[35,102,102,48,48,48,48]}]	[]	1	1000	1300	[{24000046,5}]	0	0	[]	21700	2400	1	0
1	2	{1,1}	[{level,33}]	5	1	1	88818102	[2810201,2810202,8102001]	3	0	[{1810201,1,[35,102,102,48,48,48,48]}]	[]	1	1000	1300	[{24000046,5}]	0	0	[]	21700	2400	1	0
1	1	[]	[{level,30}]	5	1	3	88818101	[8101001,8101002,8101003,8101004,8101005,8101006]	3	0	[{1810101,6,[35,49,101,57,48,102,102]}]	[]	1	799	1200	[{24100054,5}]	0	0	[]	21000	2400	0	0
1	1	[]	[{level,30}]	5	1	2	88818101	[8101001,8101002,8101003,8101004,8101005,8101006]	3	0	[{1810101,6,[35,49,101,57,48,102,102]}]	[]	1	799	1200	[{24100054,5}]	0	0	[]	21000	2400	0	0
1	1	[]	[{level,30}]	5	1	1	88818101	[8101001,8101002,8101003,8101004,8101005,8101006]	3	0	[{1810101,6,[35,49,101,57,48,102,102]}]	[]	1	799	1200	[{24100054,5}]	0	0	[]	21000	2400	0	0
1	0	[]	[]	5	1	1	1	[]	1	0	[]	[]	1	1	1	[]	1	0	[]	[]	[]	0	0
