serial_number	output_bond_item	output_unbond_item	need_items	rate	need_money	output_type
53	12350431	12350430	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
52	12350331	12350330	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
51	12350231	12350230	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
50	12350131	12350130	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
49	12351731	12351730	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
48	12351631	12351630	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
47	12351531	12351530	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
46	12351431	12351430	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
45	12351331	12351330	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
44	12351231	12351230	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
43	12351131	12351130	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
42	12351031	12351030	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110031,13110030],12}]	10000	0	2
41	13110081	13110080	[{[13110071,13110070],10}]	10000	0	2
40	13110071	13110070	[{[13110061,13110060],10}]	10000	0	2
39	13110061	13110060	[{[13110021,13110020],10}]	10000	0	2
38	13110051	13110050	[{[13110041,13110040],10}]	10000	0	2
37	13110041	13110040	[{[13110031,13110030],10}]	10000	0	2
36	13110031	13110030	[{[13110021,13110020],10}]	10000	0	2
35	13110021	13110020	[{[13110011,13110010],10}]	10000	0	2
34	14000711	14000710	[{[14000001,14000000],10}]	10000	0	2
33	14000611	14000610	[{[14000001,14000000],10}]	10000	0	2
32	14000511	14000510	[{[14000001,14000000],10}]	10000	0	2
31	14000411	14000410	[{[14000001,14000000],10}]	10000	0	2
30	14000311	14000310	[{[14000001,14000000],10}]	10000	0	2
29	14000211	14000210	[{[14000001,14000000],10}]	10000	0	2
28	14000111	14000110	[{[14000001,14000000],10}]	10000	0	2
27	14000811	14000810	[{[14000001,14000000],10}]	10000	0	2
26	13080031	13080030	[{[13080021,13080020],10}]	10000	0	2
25	13080021	13080020	[{[13080011,13080010],10}]	10000	0	2
24	13070061	13070060	[{[13070051,13070050],4}]	10000	0	2
23	13070051	13070050	[{[13070041,13070040],4}]	10000	0	2
22	13070041	13070040	[{[13070031,13070030],4}]	10000	0	2
21	13070031	13070030	[{[13070021,13070020],4}]	10000	0	2
20	13070021	13070020	[{[13070011,13070010],4}]	10000	0	2
19	13040011	13040010	[{[13040001,13040000],5}]	10000	0	2
18	13040031	13040030	[{[13040001,13040000],10}]	10000	0	2
17	13040021	13040020	[{[13040001,13040000],10}]	10000	0	2
16	13050031	13050030	[{[13050021,13050020],10}]	10000	0	2
15	13050021	13050020	[{[13050011,13050010],10}]	10000	0	2
14	13050011	13050010	[{[13050001,13050000],10}]	10000	0	2
13	13020111	13020110	[{[13020101,13020100],3}]	10000	5120	2
12	13020101	13020100	[{[13020091,13020090],3}]	10000	2560	2
11	13020091	13020090	[{[13020081,13020080],3}]	10000	1280	2
10	13020081	13020080	[{[13020071,13020070],3}]	10000	640	2
9	13020071	13020070	[{[13020061,13020060],3}]	10000	320	2
8	13020061	13020060	[{[13020051,13020050],3}]	10000	160	2
7	13020051	13020050	[{[13020041,13020040],3}]	10000	80	2
6	13020041	13020040	[{[13020031,13020030],3}]	10000	40	2
5	13020031	13020030	[{[13020021,13020020],3}]	10000	20	2
4	13020021	13020020	[{[13020011,13020010],3}]	10000	10	2
3	13010031	13010030	[{[13010021,13010020],10}]	10000	0	2
2	13010021	13010020	[{[13010011,13010010],10}]	10000	0	2
1	13010011	13010010	[{[13090011,13090010],10}]	10000	0	2
