id	droplist
{71,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{70,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{69,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{68,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{67,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{66,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{65,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{64,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{63,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{62,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{61,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{60,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{59,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{58,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{57,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{56,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{55,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{54,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{53,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{52,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{51,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{50,3}	[{1,60,[10301]},{2,180,[10302]},{3,300,[10303]},{4,600,[10304]},{5,900,[10305]},{6,1800,[10306]},{7,1800,[10307]},{8,1800,[10308]},{9,1800,[10309]},{10,1800,[10310]},{11,1800,[10311]},{12,1800,[10312]}]
{49,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{48,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{47,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{46,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{45,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{44,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{43,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{42,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{41,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{40,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{39,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{38,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{37,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{36,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{35,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{34,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{33,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{32,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{31,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{30,3}	[{1,60,[10201]},{2,180,[10202]},{3,300,[10203]},{4,600,[10204]},{5,900,[10205]},{6,1800,[10206]},{7,1800,[10207]},{8,1800,[10208]},{9,1800,[10209]},{10,1800,[10210]},{11,1800,[10211]},{12,1800,[10212]}]
{29,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{28,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{27,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{26,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{25,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{24,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{23,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{22,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{21,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{20,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{19,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{18,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{17,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{16,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{15,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{14,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{13,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{12,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{11,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{10,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{9,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{8,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{7,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{6,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{5,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{4,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{3,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{2,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{1,3}	[{1,60,[10101]},{2,180,[10102]},{3,300,[10103]},{4,600,[10104]},{5,900,[10105]},{6,1800,[10106]},{7,1800,[10107]},{8,1800,[10108]},{9,1800,[10109]},{10,1800,[10110]},{11,1800,[10111]},{12,1800,[10112]}]
{100,2}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{99,2}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
