level	type	stonelevel	remove
{50,69,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{50,69,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{50,69,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{40,49,39}	[]	8	[13060010,13060011]
{40,49,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{40,49,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{40,49,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{40,49,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{40,49,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{40,49,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{30,39,39}	[]	8	[13060010,13060011]
{30,39,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{30,39,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{30,39,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{30,39,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{30,39,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{30,39,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{20,29,39}	[]	8	[13060010,13060011]
{20,29,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{20,29,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{20,29,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{20,29,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{20,29,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{20,29,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{10,19,39}	[]	8	[13060010,13060011]
{10,19,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{10,19,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{10,19,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{10,19,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{10,19,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{10,19,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
