protoid	type	create_leadertag	create_item	level	membernum	dateline	quests	item_need	can_direct_exit	datetimes	restrict_items	level_mapid	duration_time	nextproto
60007	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5009	0	[]
60006	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5008	0	[]
60005	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5007	0	[]
60003	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5006	0	[]
70030	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7030	86400000	[]
70029	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7029	86400000	[]
70028	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7028	86400000	[]
70027	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7027	86400000	[]
70026	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7026	86400000	[]
70025	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7025	86400000	[]
70024	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7024	86400000	[]
70023	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7023	86400000	[]
70022	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7022	86400000	[]
70021	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7021	86400000	[]
70020	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7020	86400000	[]
70019	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7019	86400000	[]
70018	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7018	86400000	[]
70017	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7017	86400000	[]
70016	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7016	86400000	[]
70015	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7015	86400000	[]
70014	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7014	86400000	[]
70013	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7013	86400000	[]
70012	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7012	86400000	[]
70011	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7011	86400000	[]
70010	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7010	86400000	[]
70009	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7009	86400000	[]
70008	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7008	86400000	[]
70007	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7007	86400000	[]
70006	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7006	86400000	[]
70005	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7005	86400000	[]
70004	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7004	86400000	[]
70003	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7003	86400000	[]
70002	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7002	86400000	[]
70001	10	FALSE	[]	{1,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	7001	86400000	[]
30021	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	321	3000000	[]
30020	1	FALSE	[]	{35,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	320	3000000	[]
20001	1	FALSE	[]	{33,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},3}	[]	2001	3000000	[]
10016	2	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},1}	[]	802	86400000	[]
10015	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	801	86400000	[]
10005	2	TRUE	[]	{40,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	605	86400000	[]
10004	2	TRUE	[]	{70,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},3}	[]	1601	86400000	[]
10003	2	TRUE	[]	{60,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},3}	[]	502	86400000	[]
10002	1	FALSE	[]	{35,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},3}	[]	603	86400000	[]
10001	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},3}	[]	1001	86400000	[]
60100	1	FALSE	[]	{6,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},30}	[]	601	86400000	[]
14003	1	FALSE	[]	{6,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},30}	[]	1403	86400000	[]
60002	9	FALSE	[]	{30,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	6002	86400000	[]
60001	8	FALSE	[]	{30,100}	{0,300}	[]	{[],[]}	[]	1	{0,0}	[]	6001	86400000	[]
18506	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18505	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18504	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18503	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18502	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18501	1	FALSE	[]	{70,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1851	86400000	[]
18410	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18409	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18408	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18407	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18406	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18405	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18404	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18403	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18402	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18401	1	FALSE	[]	{60,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1841	86400000	[]
18310	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1832	86400000	[]
18309	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1834	86400000	[]
18308	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1834	86400000	[]
18307	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1833	86400000	[]
18306	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1833	86400000	[]
18305	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1832	86400000	[]
18304	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1831	86400000	[]
18303	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1831	86400000	[]
18302	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1831	86400000	[]
18301	1	FALSE	[]	{50,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1831	86400000	[]
18210	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1825	86400000	[]
18209	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1825	86400000	[]
18208	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1822	86400000	[]
18207	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1822	86400000	[]
18206	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1824	86400000	[]
18205	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1823	86400000	[]
18204	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1823	86400000	[]
18203	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1822	86400000	[]
18202	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1821	86400000	[]
18201	1	FALSE	[]	{40,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1821	86400000	[]
18112	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1816	86400000	[]
18111	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1816	86400000	[]
18110	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1816	86400000	[]
18109	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1815	86400000	[]
18108	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1815	86400000	[]
18107	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1815	86400000	[]
18106	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1814	86400000	[]
18105	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1813	86400000	[]
18104	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1811	86400000	[]
18103	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1812	86400000	[]
18102	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1811	86400000	[]
18101	1	FALSE	[]	{30,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	1811	86400000	[]
12003	7	FALSE	[]	{40,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	1203	86400000	[]
10011	1	FALSE	[]	{37,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	1201	780000	[]
50006	1	FALSE	[]	{28,100}	{0,1}	[]	{[],[]}	[]	1	{0,0}	[]	5006	86400000	[]
50005	5	FALSE	[]	{36,100}	{0,1}	[]	{[],[]}	[]	0	{0,0}	[]	5005	86400000	[]
50004	5	FALSE	[]	{36,100}	{0,1}	[]	{[],[]}	[]	0	{0,0}	[]	5004	86400000	[]
50003	5	FALSE	[]	{36,100}	{0,1}	[]	{[],[]}	[]	0	{0,0}	[]	5003	86400000	[]
50002	5	FALSE	[]	{36,100}	{0,1}	[]	{[],[]}	[]	0	{0,0}	[]	5002	86400000	[]
50001	5	FALSE	[]	{36,100}	{0,1}	[]	{[],[]}	[]	0	{0,0}	[]	5001	86400000	[]
40008	4	FALSE	[]	{30,100}	{0,30}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4004	19200000	[]
40007	4	FALSE	[]	{90,100}	{0,30}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4004	19200000	[]
40006	4	FALSE	[]	{70,89}	{0,30}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4004	19200000	[]
40005	4	FALSE	[]	{50,69}	{0,30}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4004	19200000	[]
40004	4	FALSE	[]	{30,100}	{0,30}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4004	19200000	[]
10009	4	FALSE	[]	{90,100}	{0,200}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4003	19200000	[]
10008	4	FALSE	[]	{70,89}	{0,200}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4002	19200000	[]
10007	4	FALSE	[]	{50,69}	{0,200}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4001	19200000	[]
10006	4	FALSE	[]	{50,100}	{0,150}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4000	19200000	[]
