id	venation	parent_point	attr_addition	soulpower	money	active_rate	needlevel
{6,4}	6	3	[{criticalrate,6}]	9000	500	70	38
{6,3}	6	2	[{criticalrate,4}]	7000	300	80	37
{6,2}	6	1	[{criticalrate,4}]	5000	200	90	36
{6,1}	6	0	[{criticalrate,4}]	3000	100	100	35
{5,21}	5	20	[{dodge,16}]	184000	17200	25	55
{5,20}	5	19	[{dodge,16}]	179000	16900	30	55
{5,19}	5	18	[{dodge,16}]	153000	14400	32	55
{5,18}	5	17	[{dodge,14}]	132000	12300	35	55
{5,17}	5	16	[{dodge,14}]	110000	9900	36	50
{5,16}	5	15	[{dodge,14}]	85000	7400	37	50
{5,15}	5	14	[{dodge,12}]	69000	5700	38	50
{5,14}	5	13	[{dodge,12}]	58000	4400	39	50
{5,13}	5	12	[{dodge,12}]	44000	3300	40	45
{5,12}	5	11	[{dodge,10}]	33000	2600	42	45
{5,11}	5	10	[{dodge,10}]	29000	2300	44	45
{5,10}	5	9	[{dodge,10}]	24000	2000	46	45
{5,9}	5	8	[{dodge,8}]	19000	1500	48	40
{5,8}	5	7	[{dodge,8}]	16000	1300	50	40
{5,7}	5	6	[{dodge,8}]	15000	1200	55	40
{5,6}	5	5	[{dodge,6}]	14000	1100	60	40
{5,5}	5	4	[{dodge,6}]	13000	800	65	39
{5,4}	5	3	[{dodge,6}]	9000	500	70	38
{5,3}	5	2	[{dodge,4}]	7000	300	80	37
{5,2}	5	1	[{dodge,4}]	5000	200	90	36
{5,1}	5	0	[{dodge,4}]	3000	100	100	35
{4,21}	4	20	[{hitrate,16}]	184000	17200	25	55
{4,20}	4	19	[{hitrate,16}]	179000	16900	30	55
{4,19}	4	18	[{hitrate,16}]	153000	14400	32	55
{4,18}	4	17	[{hitrate,14}]	132000	12300	35	55
{4,17}	4	16	[{hitrate,14}]	110000	9900	36	50
{4,16}	4	15	[{hitrate,14}]	85000	7400	37	50
{4,15}	4	14	[{hitrate,12}]	69000	5700	38	50
{4,14}	4	13	[{hitrate,12}]	58000	4400	39	50
{4,13}	4	12	[{hitrate,12}]	44000	3300	40	45
{4,12}	4	11	[{hitrate,10}]	33000	2600	42	45
{4,11}	4	10	[{hitrate,10}]	29000	2300	44	45
{4,10}	4	9	[{hitrate,10}]	24000	2000	46	45
{4,9}	4	8	[{hitrate,8}]	19000	1500	48	40
{4,8}	4	7	[{hitrate,8}]	16000	1300	50	40
{4,7}	4	6	[{hitrate,8}]	15000	1200	55	40
{4,6}	4	5	[{hitrate,6}]	14000	1100	60	40
{4,5}	4	4	[{hitrate,6}]	13000	800	65	39
{4,4}	4	3	[{hitrate,6}]	9000	500	70	38
{4,3}	4	2	[{hitrate,4}]	7000	300	80	37
{4,2}	4	1	[{hitrate,4}]	5000	200	90	36
{4,1}	4	0	[{hitrate,4}]	3000	100	100	35
{3,21}	3	20	[{hpmax,90}]	184000	17200	25	55
{3,20}	3	19	[{hpmax,90}]	179000	16900	30	55
{3,19}	3	18	[{hpmax,90}]	153000	14400	32	55
{3,18}	3	17	[{hpmax,80}]	132000	12300	35	55
{3,17}	3	16	[{hpmax,80}]	110000	9900	36	50
{3,16}	3	15	[{hpmax,80}]	85000	7400	37	50
{3,15}	3	14	[{hpmax,70}]	69000	5700	38	50
{3,14}	3	13	[{hpmax,70}]	58000	4400	39	50
{3,13}	3	12	[{hpmax,70}]	44000	3300	40	45
{3,12}	3	11	[{hpmax,60}]	33000	2600	42	45
{3,11}	3	10	[{hpmax,60}]	29000	2300	44	45
{3,10}	3	9	[{hpmax,60}]	24000	2000	46	45
{3,9}	3	8	[{hpmax,50}]	19000	1500	48	40
{3,8}	3	7	[{hpmax,50}]	16000	1300	50	40
{3,7}	3	6	[{hpmax,50}]	15000	1200	55	40
{3,6}	3	5	[{hpmax,40}]	14000	1100	60	40
{3,5}	3	4	[{hpmax,40}]	13000	800	65	39
{3,4}	3	3	[{hpmax,40}]	9000	500	70	38
{3,3}	3	2	[{hpmax,30}]	7000	300	80	37
{3,2}	3	1	[{hpmax,30}]	5000	200	90	36
{3,1}	3	0	[{hpmax,30}]	3000	100	100	35
{2,21}	2	20	[{magicdefense,16},{rangedefense,16},{meleedefense,16}]	184000	17200	25	55
{2,20}	2	19	[{magicdefense,16},{rangedefense,16},{meleedefense,16}]	179000	16900	30	55
{2,19}	2	18	[{magicdefense,16},{rangedefense,16},{meleedefense,16}]	153000	14400	32	55
{2,18}	2	17	[{magicdefense,14},{rangedefense,14},{meleedefense,14}]	132000	12300	35	55
{2,17}	2	16	[{magicdefense,14},{rangedefense,14},{meleedefense,14}]	110000	9900	36	50
{2,16}	2	15	[{magicdefense,14},{rangedefense,14},{meleedefense,14}]	85000	7400	37	50
{2,15}	2	14	[{magicdefense,12},{rangedefense,12},{meleedefense,12}]	69000	5700	38	50
{2,14}	2	13	[{magicdefense,12},{rangedefense,12},{meleedefense,12}]	58000	4400	39	50
{2,13}	2	12	[{magicdefense,12},{rangedefense,12},{meleedefense,12}]	44000	3300	40	45
{2,12}	2	11	[{magicdefense,10},{rangedefense,10},{meleedefense,10}]	33000	2600	42	45
{2,11}	2	10	[{magicdefense,10},{rangedefense,10},{meleedefense,10}]	29000	2300	44	45
{2,10}	2	9	[{magicdefense,10},{rangedefense,10},{meleedefense,10}]	24000	2000	46	45
{2,9}	2	8	[{magicdefense,8},{rangedefense,8},{meleedefense,8}]	19000	1500	48	40
{2,8}	2	7	[{magicdefense,8},{rangedefense,8},{meleedefense,8}]	16000	1300	50	40
{2,7}	2	6	[{magicdefense,8},{rangedefense,8},{meleedefense,8}]	15000	1200	55	40
{2,6}	2	5	[{magicdefense,6},{rangedefense,6},{meleedefense,6}]	14000	1100	60	40
{2,5}	2	4	[{magicdefense,6},{rangedefense,6},{meleedefense,6}]	13000	800	65	39
{2,4}	2	3	[{magicdefense,6},{rangedefense,6},{meleedefense,6}]	9000	500	70	38
{2,3}	2	2	[{magicdefense,4},{rangedefense,4},{meleedefense,4}]	7000	300	80	37
{2,2}	2	1	[{magicdefense,4},{rangedefense,4},{meleedefense,4}]	5000	200	90	36
{2,1}	2	0	[{magicdefense,4},{rangedefense,4},{meleedefense,4}]	3000	100	100	35
{1,21}	1	20	[{magicpower,18},{rangepower,18},{meleepower,18}]	184000	17200	25	55
{1,20}	1	19	[{magicpower,18},{rangepower,18},{meleepower,18}]	179000	16900	30	55
{1,19}	1	18	[{magicpower,18},{rangepower,18},{meleepower,18}]	153000	14400	32	55
{1,18}	1	17	[{magicpower,16},{rangepower,16},{meleepower,16}]	132000	12300	35	55
{1,17}	1	16	[{magicpower,16},{rangepower,16},{meleepower,16}]	110000	9900	36	50
{1,16}	1	15	[{magicpower,16},{rangepower,16},{meleepower,16}]	85000	7400	37	50
{1,15}	1	14	[{magicpower,14},{rangepower,14},{meleepower,14}]	69000	5700	38	50
{1,14}	1	13	[{magicpower,14},{rangepower,14},{meleepower,14}]	58000	4400	39	50
{1,13}	1	12	[{magicpower,14},{rangepower,14},{meleepower,14}]	44000	3300	40	45
{1,12}	1	11	[{magicpower,12},{rangepower,12},{meleepower,12}]	33000	2600	42	45
{1,11}	1	10	[{magicpower,12},{rangepower,12},{meleepower,12}]	29000	2300	44	45
{1,10}	1	9	[{magicpower,12},{rangepower,12},{meleepower,12}]	24000	2000	46	45
{1,9}	1	8	[{magicpower,10},{rangepower,10},{meleepower,10}]	19000	1500	48	40
{1,8}	1	7	[{magicpower,10},{rangepower,10},{meleepower,10}]	16000	1300	50	40
{1,7}	1	6	[{magicpower,10},{rangepower,10},{meleepower,10}]	15000	1200	55	40
{1,6}	1	5	[{magicpower,8},{rangepower,8},{meleepower,8}]	14000	1100	60	40
{1,5}	1	4	[{magicpower,8},{rangepower,8},{meleepower,8}]	13000	800	65	39
{1,4}	1	3	[{magicpower,8},{rangepower,8},{meleepower,8}]	9000	500	70	38
{1,3}	1	2	[{magicpower,6},{rangepower,6},{meleepower,6}]	7000	300	80	37
{1,2}	1	1	[{magicpower,6},{rangepower,6},{meleepower,6}]	5000	200	90	36
{1,1}	1	0	[{magicpower,6},{rangepower,6},{meleepower,6}]	3000	100	100	35
