layer	exp	money	bonus	soulpower	instance_proto	type	monsters	time	targetnpclist	bornpos
{20000,1}	160000	0	[]	0	80001	3	[8001023,8001022,8001021,8001020,8001019,8001018,8001017,8001016,8001015,8001014,8001013,8001012,8001011,8001010,8001009,8001008,8001007,8001006,8001005,8001004,8001003,8001002,8001001,8001030,8001029,8001028,8001027,8001026,8001025,8001024]	300	[{1800101,20,[35,48,48,102,102,102,102]},{1800103,5,[35,48,48,102,102,102,102]},{1800104,1,[35,102,102,48,48,48,48]}]	{102,132}
{10000,30}	97500	0	[]	0	70030	3	[7030024,7030025,7030026,7030027,7030028,7030029,7030030,7030031,7030032,7030033,7030034,7030035,7030036,7030037,7030038,7030039,7030001,7030002,7030003,7030004,7030005,7030006,7030007,7030008,7030009,7030010,7030011,7030012,7030013,7030014,7030015,7030016,7030017,7030018,7030019,7030020,7030021,7030022,7030023]	180	[{1703001,30,[35,48,48,102,102,102,102]},{1703002,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,29}	95000	0	[]	0	70029	3	[7029001,7029003,7029004,7029005,7029006,7029007,7029008,7029009,7029010,7029011,7029012,7029013,7029014,7029015,7029016,7029017,7029018,7029019,7029020,7029021,7029022,7029023,7029024,7029025,7029026,7029027,7029028,7029029,7029030,7029031,7029032,7029033,7029034,7029035,7029036,7029037,7029038,7029039]	150	[{1702901,30,[35,48,48,102,102,102,102]}]	{121,133}
{10000,28}	92500	0	[]	0	70028	3	[7028032,7028033,7028034,7028035,7028036,7028037,7028038,7028039,7028040,7028041,7028043,7028001,7028002,7028003,7028004,7028005,7028006,7028007,7028008,7028009,7028010,7028011,7028012,7028013,7028014,7028015,7028017,7028020,7028022,7028023,7028024,7028025,7028026,7028027,7028028,7028029,7028030,7028031]	150	[{1702801,30,[35,48,48,102,102,102,102]}]	{108,122}
{10000,27}	90000	0	[]	0	70027	3	[7027008,7027009,7027010,7027011,7027012,7027013,7027014,7027015,7027016,7027017,7027018,7027019,7027020,7027021,7027022,7027023,7027024,7027025,7027026,7027027,7027028,7027029,7027030,7027031,7027032,7027033,7027034,7027035,7027036,7027037,7027038,7027039,7027001,7027002,7027003,7027004,7027005,7027006,7027007]	180	[{1702701,30,[35,48,48,102,102,102,102]},{1702702,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,26}	87500	0	[]	0	70026	3	[7026024,7026025,7026026,7026027,7026028,7026029,7026030,7026031,7026032,7026033,7026034,7026035,7026036,7026037,7026038,7026001,7026002,7026003,7026004,7026005,7026006,7026007,7026008,7026009,7026010,7026011,7026012,7026013,7026014,7026015,7026016,7026017,7026018,7026019,7026020,7026021,7026022,7026023]	150	[{1702601,30,[35,48,48,102,102,102,102]}]	{121,133}
{10000,25}	85000	0	[]	0	70025	3	[7025024,7025026,7025027,7025028,7025029,7025030,7025031,7025032,7025033,7025034,7025035,7025036,7025037,7025038,7025039,7025040,7025041,7025001,7025002,7025004,7025005,7025006,7025007,7025009,7025010,7025011,7025012,7025013,7025014,7025015,7025016,7025017,7025018,7025019,7025020,7025021,7025022,7025023]	150	[{1702501,30,[35,48,48,102,102,102,102]}]	{108,122}
{10000,24}	82500	0	[]	0	70024	3	[7024001,7024002,7024003,7024004,7024005,7024006,7024007,7024008,7024009,7024010,7024011,7024012,7024013,7024014,7024015,7024016,7024017,7024018,7024019,7024020,7024021,7024022,7024023,7024024,7024025,7024026,7024027,7024028,7024029,7024030,7024032,7024033,7024034,7024035,7024036,7024037,7024038,7024039,7024040]	180	[{1702401,30,[35,48,48,102,102,102,102]},{1702402,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,23}	80000	0	[]	0	70023	3	[7023001,7023002,7023003,7023004,7023005,7023006,7023007,7023008,7023009,7023010,7023011,7023013,7023014,7023015,7023016,7023017,7023018,7023019,7023020,7023021,7023022,7023023,7023024,7023025,7023026,7023027,7023028,7023029,7023030,7023031,7023032,7023033,7023034,7023035,7023036,7023037,7023038,7023039]	150	[{1702301,25,[35,48,48,102,102,102,102]},{1702302,5,[35,48,48,102,102,102,102]}]	{121,133}
{10000,22}	77500	0	[]	0	70022	3	[7022024,7022025,7022026,7022027,7022028,7022029,7022030,7022031,7022032,7022033,7022034,7022035,7022036,7022037,7022038,7022001,7022002,7022003,7022004,7022005,7022006,7022007,7022008,7022009,7022010,7022011,7022012,7022013,7022014,7022015,7022016,7022017,7022018,7022019,7022020,7022021,7022022,7022023]	150	[{1702201,25,[35,48,48,102,102,102,102]},{1702202,5,[35,48,48,102,102,102,102]}]	{108,122}
{10000,21}	75000	0	[]	0	70021	3	[7021024,7021025,7021026,7021027,7021028,7021029,7021030,7021031,7021032,7021033,7021034,7021035,7021036,7021037,7021038,7021039,7021040,7021041,7021001,7021002,7021003,7021004,7021005,7021006,7021007,7021008,7021009,7021010,7021011,7021012,7021013,7021014,7021017,7021018,7021019,7021020,7021021,7021022,7021023]	180	[{1702101,30,[35,48,48,102,102,102,102]},{1702102,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,20}	72500	0	[]	0	70020	3	[7020032,7020033,7020034,7020035,7020036,7020037,7020038,7020001,7020003,7020004,7020005,7020006,7020007,7020010,7020011,7020012,7020013,7020014,7020015,7020016,7020018,7020019,7020020,7020021,7020022,7020023,7020024,7020025,7020026,7020027,7020028,7020029,7020030,7020031]	150	[{1702001,15,[35,48,48,102,102,102,102]},{1702002,15,[35,48,48,102,102,102,102]}]	{121,133}
{10000,19}	70000	0	[]	0	70019	3	[7019008,7019009,7019010,7019011,7019012,7019013,7019014,7019015,7019016,7019017,7019018,7019020,7019021,7019022,7019023,7019024,7019025,7019026,7019027,7019028,7019029,7019030,7019031,7019032,7019033,7019034,7019035,7019036,7019037,7019038,7019039,7019040,7019001,7019002,7019003,7019005,7019006,7019007]	150	[{1701901,15,[35,48,48,102,102,102,102]},{1701902,15,[35,48,48,102,102,102,102]}]	{108,122}
{10000,18}	67500	0	[]	0	70018	3	[7018024,7018025,7018026,7018027,7018028,7018029,7018030,7018031,7018032,7018033,7018034,7018035,7018036,7018037,7018038,7018039,7018001,7018002,7018003,7018004,7018005,7018006,7018007,7018008,7018009,7018010,7018011,7018012,7018013,7018014,7018015,7018016,7018017,7018018,7018019,7018020,7018021,7018022,7018023]	180	[{1701801,30,[35,48,48,102,102,102,102]},{1701802,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,17}	65000	0	[]	0	70017	3	[7017024,7017025,7017026,7017027,7017028,7017029,7017030,7017031,7017032,7017033,7017034,7017035,7017036,7017037,7017038,7017001,7017002,7017003,7017004,7017005,7017006,7017007,7017008,7017009,7017010,7017011,7017012,7017013,7017014,7017015,7017016,7017017,7017018,7017019,7017020,7017021,7017022,7017023]	150	[{1701701,25,[35,48,48,102,102,102,102]},{1701702,5,[35,48,48,102,102,102,102]}]	{121,133}
{10000,16}	62500	0	[]	0	70016	3	[7016001,7016002,7016004,7016005,7016006,7016007,7016008,7016009,7016010,7016011,7016012,7016013,7016014,7016015,7016016,7016017,7016018,7016019,7016020,7016021,7016022,7016023,7016024,7016025,7016026,7016027,7016028,7016029,7016030,7016031,7016032,7016033,7016034,7016035,7016036,7016037,7016038,7016039]	150	[{1701601,25,[35,48,48,102,102,102,102]},{1701602,5,[35,48,48,102,102,102,102]}]	{108,122}
{10000,15}	60000	0	[]	0	70015	3	[7015024,7015025,7015040,7015041,7015042,7015029,7015030,7015031,7015032,7015033,7015026,7015027,7015036,7015037,7015038,7015039,7015034,7015035,7015003,7015004,7015005,7015006,7015007,7015008,7015009,7015010,7015011,7015012,7015013,7015014,7015015,7015016,7015017,7015018,7015019,7015020,7015021,7015022,7015023]	180	[{1701501,30,[35,48,48,102,102,102,102]},{1701502,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,14}	57500	0	[]	0	70014	3	[7014024,7014025,7014026,7014027,7014028,7014029,7014030,7014031,7014032,7014033,7014034,7014035,7014036,7014037,7014038,7014001,7014002,7014003,7014004,7014005,7014006,7014007,7014008,7014009,7014010,7014011,7014012,7014013,7014014,7014015,7014016,7014017,7014018,7014019,7014020,7014021,7014022,7014023]	150	[{1701401,25,[35,48,48,102,102,102,102]},{1701402,5,[35,48,48,102,102,102,102]}]	{121,133}
{10000,13}	55000	0	[]	0	70013	3	[7013024,7013025,7013026,7013027,7013028,7013029,7013030,7013031,7013032,7013033,7013034,7013035,7013036,7013037,7013038,7013039,7013040,7013041,7013001,7013002,7013003,7013004,7013005,7013006,7013007,7013008,7013009,7013010,7013011,7013012,7013013,7013014,7013015,7013017,7013019,7013020,7013022,7013023]	150	[{1701301,25,[35,48,48,102,102,102,102]},{1701302,5,[35,48,48,102,102,102,102]}]	{108,122}
{10000,12}	52500	0	[]	0	70012	3	[7012032,7012033,7012034,7012035,7012036,7012037,7012038,7012001,7012002,7012003,7012004,7012005,7012006,7012007,7012008,7012009,7012010,7012011,7012012,7012013,7012014,7012015,7012016,7012017,7012018,7012019,7012020,7012021,7012022,7012023,7012024,7012025,7012026,7012027,7012028,7012029,7012030,7012031]	180	[{1701201,30,[35,48,48,102,102,102,102]},{1701202,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,11}	50000	0	[]	0	70011	3	[7011008,7011009,7011010,7011011,7011012,7011013,7011014,7011015,7011016,7011017,7011018,7011019,7011020,7011021,7011022,7011023,7011024,7011025,7011026,7011027,7011028,7011029,7011030,7011031,7011032,7011033,7011034,7011035,7011036,7011037,7011038,7011039,7011040,7011041,7011042,7011001,7011002,7011003,7011004,7011005,7011006,7011007]	150	[{1701101,35,[35,48,48,102,102,102,102]}]	{121,133}
{10000,10}	47500	0	[]	0	70010	3	[7010002,7010003,7010004,7010005,7010006,7010007,7010008,7010009,7010010,7010011,7010012,7010013,7010014,7010015,7010016,7010017,7010018,7010019,7010020,7010021,7010022,7010023,7010024,7010001,7010026,7010027,7010028,7010029,7010030,7010031,7010032,7010025,7010034,7010035,7010036,7010037,7010033]	150	[{1701001,30,[35,48,48,102,102,102,102]}]	{108,122}
{10000,9}	45000	0	[]	0	70009	3	[7009024,7009025,7009026,7009027,7009028,7009029,7009030,7009031,7009032,7009033,7009034,7009035,7009036,7009037,7009038,7009039,7009040,7009041,7009042,7009043,7009001,7009002,7009003,7009004,7009005,7009006,7009007,7009008,7009009,7009010,7009011,7009012,7009013,7009014,7009015,7009016,7009017,7009018,7009019,7009020,7009021,7009022,7009023]	180	[{1700901,35,[35,48,48,102,102,102,102]},{1700902,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,8}	42500	0	[]	0	70008	3	[7008024,7008025,7008026,7008027,7008028,7008029,7008030,7008031,7008032,7008033,7008034,7008035,7008036,7008037,7008038,7008039,7008040,7008041,7008001,7008002,7008003,7008004,7008005,7008006,7008007,7008008,7008009,7008010,7008011,7008012,7008013,7008014,7008015,7008016,7008017,7008018,7008019,7008020,7008021,7008022,7008023]	150	[{1700801,35,[35,48,48,102,102,102,102]}]	{121,133}
{10000,7}	40000	0	[]	0	70007	3	[7007001,7007002,7007003,7007004,7007005,7007006,7007007,7007008,7007009,7007010,7007011,7007012,7007013,7007014,7007015,7007016,7007017,7007018,7007019,7007020,7007021,7007022,7007023,7007024,7007025,7007026,7007027,7007028,7007029,7007030,7007031,7007032,7007033,7007034,7007035,7007036,7007037]	150	[{1700701,30,[35,48,48,102,102,102,102]}]	{108,122}
{10000,6}	37500	0	[]	0	70006	3	[7006024,7006025,7006026,7006027,7006028,7006029,7006030,7006031,7006032,7006033,7006034,7006035,7006036,7006037,7006038,7006039,7006040,7006042,7006043,7006044,7006045,7006001,7006002,7006003,7006004,7006005,7006006,7006007,7006008,7006009,7006010,7006011,7006012,7006013,7006014,7006015,7006017,7006018,7006019,7006020,7006021,7006022,7006023]	180	[{1700601,35,[35,48,48,102,102,102,102]},{1700602,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,5}	35000	0	[]	0	70005	3	[7005001,7005002,7005003,7005004,7005005,7005007,7005008,7005009,7005010,7005011,7005012,7005013,7005014,7005015,7005016,7005017,7005018,7005019,7005020,7005021,7005022,7005023,7005024,7005025,7005026,7005027,7005028,7005029,7005030,7005031,7005032,7005033,7005034,7005035,7005036,7005037,7005038,7005039,7005040,7005041,7005042,7005043]	150	[{1700501,35,[35,48,48,102,102,102,102]}]	{121,133}
{10000,4}	32500	0	[]	0	70004	3	[7004024,7004025,7004026,7004027,7004028,7004029,7004030,7004031,7004032,7004033,7004034,7004035,7004036,7004037,7004038,7004039,7004040,7004001,7004002,7004003,7004004,7004005,7004006,7004008,7004011,7004012,7004013,7004014,7004015,7004016,7004017,7004018,7004019,7004020,7004021,7004022,7004023]	150	[{1700401,30,[35,48,48,102,102,102,102]}]	{108,122}
{10000,3}	30000	0	[]	0	70003	3	[7003023,7003022,7003021,7003020,7003019,7003018,7003017,7003016,7003015,7003014,7003013,7003012,7003011,7003010,7003009,7003008,7003007,7003006,7003005,7003004,7003003,7003002,7003001,7003044,7003043,7003042,7003041,7003040,7003039,7003038,7003037,7003036,7003035,7003034,7003033,7003032,7003031,7003030,7003029,7003028,7003027,7003026,7003025,7003024]	180	[{1700301,35,[35,48,48,102,102,102,102]},{1700302,1,[35,102,102,48,48,48,48]}]	{102,116}
{10000,2}	27500	0	[]	0	70002	3	[7002023,7002022,7002021,7002020,7002019,7002018,7002017,7002016,7002015,7002014,7002013,7002012,7002011,7002010,7002009,7002008,7002007,7002006,7002005,7002004,7002003,7002002,7002001,7002049,7002048,7002047,7002045,7002044,7002041,7002040,7002039,7002038,7002037,7002035,7002034,7002032,7002031,7002029,7002028,7002027,7002026,7002025,7002024]	150	[{1700201,35,[35,48,48,102,102,102,102]}]	{121,133}
{10000,1}	25000	0	[]	0	70001	3	[7001023,7001022,7001021,7001020,7001019,7001018,7001017,7001016,7001015,7001014,7001013,7001012,7001011,7001010,7001009,7001008,7001007,7001006,7001005,7001004,7001003,7001002,7001001,7001038,7001037,7001036,7001035,7001034,7001033,7001032,7001031,7001030,7001029,7001028,7001027,7001026,7001025,7001024]	150	[{1700101,30,[35,48,48,102,102,102,102]}]	{108,122}
