equipid	needitem	needitemcount	needmoney	resultid
12601741	[13080020,13080021]	80	200000	12701741
12601740	[13080020,13080021]	80	200000	12701740
12601641	[13080020,13080021]	80	200000	12701641
12601640	[13080020,13080021]	80	200000	12701640
12601541	[13080020,13080021]	80	200000	12701541
12601540	[13080020,13080021]	80	200000	12701540
12601441	[13080020,13080021]	80	200000	12701441
12601440	[13080020,13080021]	80	200000	12701440
12601341	[13080020,13080021]	80	200000	12701341
12601340	[13080020,13080021]	80	200000	12701340
12601241	[13080020,13080021]	80	200000	12701241
12601240	[13080020,13080021]	80	200000	12701240
12601141	[13080020,13080021]	80	200000	12701141
12601140	[13080020,13080021]	80	200000	12701140
12601041	[13080020,13080021]	80	200000	12701041
12601040	[13080020,13080021]	80	200000	12701040
12351741	[13080010,13080011]	40	100000	12501741
12351740	[13080010,13080011]	40	100000	12501740
12351641	[13080010,13080011]	40	100000	12501641
12351640	[13080010,13080011]	40	100000	12501640
12351541	[13080010,13080011]	40	100000	12501541
12351540	[13080010,13080011]	40	100000	12501540
12351441	[13080010,13080011]	40	100000	12501441
12351440	[13080010,13080011]	40	100000	12501440
12351341	[13080010,13080011]	40	100000	12501341
12351340	[13080010,13080011]	40	100000	12501340
12351241	[13080010,13080011]	40	100000	12501241
12351240	[13080010,13080011]	40	100000	12501240
12351141	[13080010,13080011]	40	100000	12501141
12351140	[13080010,13080011]	40	100000	12501140
12351041	[13080010,13080011]	40	100000	12501041
12351040	[13080010,13080011]	40	100000	12501040
