npcid	rate	ruleids
1120119	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120118	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120117	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120116	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120114	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120113	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120112	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120111	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120109	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120108	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120107	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120106	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120104	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120103	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120102	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120101	100	[{30,39,[22142]},{40,49,[22143]},{50,59,[22144]},{60,89,[22145]}]
1120120	100	[{30,39,[22138,22162]},{40,49,[22139,22162]},{50,59,[22140,22162]},{60,89,[22141,22162]}]
1120115	100	[{30,39,[22138,22162]},{40,49,[22139,22162]},{50,59,[22140,22162]},{60,89,[22141,22162]}]
1120110	100	[{30,39,[22138,22162]},{40,49,[22139,22162]},{50,59,[22140,22162]},{60,89,[22141,22162]}]
1120105	100	[{30,39,[22138,22162]},{40,49,[22139,22162]},{50,59,[22140,22162]},{60,89,[22141,22162]}]
4410901	100	[22065,22066,22067,22068,22070,22071,22072,22005,22005,22005]
4410801	100	[22057,22058,22059,22060,22062,22063,22064,22005,22005,22005]
4410701	100	[22049,22050,22051,22052,22054,22055,22056,22005,22005,22005]
4410601	100	[22041,22042,22043,22044,22046,22047,22048,22005,22005]
4410501	100	[22033,22034,22035,22036,22038,22039,22040,22005,22005]
4410401	100	[22025,22026,22027,22028,22030,22031,22032,22005,22005]
4410301	100	[22017,22018,22019,22020,22022,22023,22024,22005]
4410201	100	[22009,22010,22011,22012,22014,22015,22016,22005]
4410101	100	[22001,22002,22003,22004,22005,22006,22007,22008]
1801002	100	[21082,21083,21088,21090,22153,21086,21087,22168,22170]
1800906	100	[21082,21083,21088,21090,22153,21086,21087,22168,22170]
1800804	100	[21082,21083,21088,21090,21070,21080,21081,22168,22170]
1800704	100	[21076,21077,21090,21070,21080,21081,22167,22170]
1800602	100	[21076,21077,21090,21070,21074,21075,22166,22170]
1800505	100	[21076,21077,21090,21070,21074,21075,22166,22170]
1800403	100	[21077,21090,21070,21074,21075,22165,22170]
1800305	100	[21072,21090,21070,21071,22164,22170]
1800202	100	[21072,21089,21070,21071,22163,22170]
1800104	100	[21069,21089,21070,21071,22163,22170]
1703002	100	[21036,21037,21038,21039,21040,21041,21058,22152,21067,21061,21068,22170]
1702702	100	[21036,21037,21038,21039,21040,21041,21058,21063,21067,21061,21068,22170]
1702402	100	[21036,21037,21038,21039,21040,21041,21058,21063,21067,21061,21068,22170]
1702102	100	[21029,21030,21031,21032,21058,21063,21064,21061,22150,22170]
1701802	100	[21029,21030,21031,21032,21058,21063,21064,21061,22150,22170]
1701502	100	[21029,21030,21031,21032,21058,21063,21064,21061,22150,22170]
1701202	100	[21029,21030,21031,21032,21058,21059,21064,21061,22150,22170]
1700902	100	[21024,21058,21059,21060,21061,22150,22170]
1700602	100	[21024,21058,21059,21060,21061,22150,22170]
1700302	100	[21024,21058,21059,21060,21061,22150]
1032140	100	[21022,21023,21045,21046,21047,21048,21049,21050,21051,21055,21053]
1032136	100	[21022,21023,21045,21046,21047,21048,21049,21050,21051,21055,21053]
1032132	100	[21022,21023,21036,21037,21038,21039,21040,21041,21042,21055,21044,21071]
1032128	100	[21022,21023,21036,21037,21038,21039,21040,21041,21042,21055,21044,21071]
1032124	100	[21022,21023,21036,21037,21038,21039,21042,21055,21044,21071]
1032120	100	[21022,21023,21029,21030,21031,21032,21033,21054,21035,21071]
1032116	100	[21022,21023,21029,21030,21031,21032,21033,21054,21035,21071]
1032112	100	[21022,21023,21029,21030,21031,21032,21033,21054,21035,21071]
1032108	100	[21022,21023,21024,21026,21054,21028]
1032104	100	[21022,21023,21024,21026,21054,21028]
1032040	100	[21022,21023,21045,21046,21047,21048,21049,21050,21051,21034,21053,22169]
1032036	100	[21022,21023,21045,21046,21047,21048,21049,21050,21051,21034,21053,22169]
1032032	100	[21022,21023,21036,21037,21038,21039,21040,21041,21042,21034,21044,22137,22169]
1032028	100	[21022,21023,21036,21037,21038,21039,21042,21034,21044,22137,22169]
1032024	100	[21022,21023,21029,21030,21031,21032,21033,21034,21035,22137,22149,22169]
1032020	100	[21022,21023,21029,21030,21031,21032,21033,21027,21035,22137,22149,22169]
1032016	100	[21022,21023,21029,21030,21031,21032,21033,21027,21035,22137,22149,22169]
1032012	100	[21022,21023,21024,21026,21027,21028,22137,22169]
1032008	100	[21022,21023,21024,21026,21027,21028,22137]
1032004	100	[21022,21023,21024,21026,21027,21028,22137]
1160104	100	[21015,21004,21019,21016,21020,21013,21017,21021,21006,21007,21008,21102,22173]
1160103	100	[21015]
1160102	100	[21001]
1160101	100	[21001]
1050205	100	[21015,21004,21012,21016,21013,21017,21006,21007,21008,21102,22173]
1050204	100	[21001]
1050203	100	[21015]
1050202	100	[21001]
1050201	100	[21001]
1080205	100	[21003,21004,22154,21006,21007,21008,21091,22138,21101,22173]
1080204	100	[21001]
1080203	100	[21009,21092,22138]
1080202	100	[21001]
1080201	100	[21001]
1080105	100	[21003,21004,22154,21006,21007,21008,21091,22138,21100,22173]
1080104	100	[21001]
1080103	100	[21009,21092,22138]
1080102	100	[21001]
1080101	100	[21001]
1060505	100	[21003,21004,21005,21010,21011,22154,21006,21007,21008,21101,22173]
1060504	100	[21001]
1060503	100	[21001]
1060502	100	[21002,21009]
1060501	100	[21001]
1060305	100	[21003,21004,21005,21010,21011,22154,21006,21007,21008,21100,22173]
1060304	100	[21001]
1060303	100	[21001]
1060302	100	[21002,21009]
1060301	100	[21001]
1100105	100	[21003,21004,21005,21006,21007,21008,21100,22173]
1100104	100	[21001]
1100103	100	[21002,21003,21004]
1100102	100	[21001]
1100101	100	[21001]
1100004	100	[20001,20002]
